,DENSITY,count_target,count_deidentified
0,7,7400.0,0.0
1,0,5526.0,0.0
2,8,4526.0,0.0
3,10,3694.0,0.0
4,13,2117.0,0.0
5,11,1574.0,0.0
6,9,1365.0,0.0
7,12,1051.0,0.0
8,16289,0.0,1.0
9,16493,0.0,1.0
10,16471,0.0,1.0
11,16468,0.0,1.0
12,16429,0.0,1.0
13,16342,0.0,1.0
14,16319,0.0,1.0
15,16295,0.0,1.0
16,16138,0.0,1.0
17,16234,0.0,1.0
18,16214,0.0,1.0
19,16143,0.0,1.0
20,16504,0.0,1.0
21,16113,0.0,1.0
22,16094,0.0,1.0
23,16087,0.0,1.0
24,16498,0.0,1.0
25,16742,0.0,1.0
26,16573,0.0,1.0
27,16670,0.0,1.0
28,30462,0.0,1.0
29,30432,0.0,1.0
30,30428,0.0,1.0
31,30062,0.0,1.0
32,29982,0.0,1.0
33,29937,0.0,1.0
34,29921,0.0,1.0
35,29912,0.0,1.0
36,29828,0.0,1.0
37,29815,0.0,1.0
38,29795,0.0,3281.0
39,16783,0.0,2613.0
40,16760,0.0,2.0
41,16049,0.0,1.0
42,16674,0.0,1.0
43,16079,0.0,1.0
44,15941,0.0,1.0
45,16026,0.0,1.0
46,16015,0.0,1.0
47,15327,0.0,1.0
48,15296,0.0,1.0
49,15265,0.0,1.0
50,15232,0.0,1.0
51,15219,0.0,1.0
52,15178,0.0,1.0
53,15177,0.0,1.0
54,14991,0.0,1.0
55,14978,0.0,1.0
56,14955,0.0,1.0
57,14893,0.0,1.0
58,14890,0.0,1.0
59,14830,0.0,1.0
60,14812,0.0,1.0
61,14738,0.0,1.0
62,15335,0.0,1.0
63,15399,0.0,1.0
64,15434,0.0,1.0
65,15828,0.0,1.0
66,15968,0.0,1.0
67,30619,0.0,1.0
68,15908,0.0,1.0
69,15889,0.0,1.0
70,15870,0.0,1.0
71,15840,0.0,1.0
72,15725,0.0,1.0
73,15448,0.0,1.0
74,15722,0.0,1.0
75,15676,0.0,1.0
76,15635,0.0,1.0
77,15609,0.0,1.0
78,15597,0.0,1.0
79,15521,0.0,1.0
80,30484,0.0,1.0
81,30896,0.0,1.0
82,30718,0.0,1.0
83,36284,0.0,1.0
84,35997,0.0,1.0
85,35992,0.0,1.0
86,35843,0.0,1.0
87,35687,0.0,1.0
88,35636,0.0,1.0
89,35608,0.0,1.0
90,35577,0.0,1.0
91,35473,0.0,1.0
92,35148,0.0,1.0
93,35134,0.0,1.0
94,35098,0.0,1.0
95,35029,0.0,1.0
96,34977,0.0,1.0
97,34802,0.0,1.0
98,34747,0.0,1.0
99,36127,0.0,1.0
100,36855,0.0,1.0
101,34592,0.0,1.0
102,36969,0.0,1.0
103,52620,0.0,1.0
104,52290,0.0,1.0
105,51067,0.0,1.0
106,49666,0.0,1.0
107,49402,0.0,1.0
108,47581,0.0,1.0
109,45057,0.0,616.0
110,37413,0.0,1824.0
111,37291,0.0,1.0
112,37274,0.0,1.0
113,37232,0.0,2.0
114,37192,0.0,1.0
115,37115,0.0,1.0
116,37098,0.0,1.0
117,37091,0.0,1.0
118,34746,0.0,1.0
119,34389,0.0,1.0
120,30750,0.0,1.0
121,32004,0.0,1.0
122,31861,0.0,1.0
123,31787,0.0,1.0
124,31778,0.0,1.0
125,31659,0.0,1.0
126,31641,0.0,1.0
127,31527,0.0,1.0
128,31499,0.0,1.0
129,31450,0.0,1.0
130,31214,0.0,1.0
131,31077,0.0,1.0
132,31071,0.0,1.0
133,31028,0.0,1.0
134,30911,0.0,1.0
135,14717,0.0,1.0
136,30836,0.0,1.0
137,31937,0.0,1.0
138,32110,0.0,1.0
139,34275,0.0,1.0
140,32128,0.0,1.0
141,34201,0.0,1.0
142,34055,0.0,1.0
143,34031,0.0,1.0
144,33859,0.0,1.0
145,33775,0.0,1.0
146,33673,0.0,1.0
147,33225,0.0,1.0
148,33092,0.0,1.0
149,33081,0.0,1.0
150,32698,0.0,1.0
151,32614,0.0,1.0
152,32521,0.0,1.0
153,32360,0.0,1.0
154,32350,0.0,1.0
155,32267,0.0,1.0
156,14719,0.0,1.0
157,14587,0.0,1.0
158,14675,0.0,1.0
159,10671,0.0,1.0
160,10648,0.0,1.0
161,10635,0.0,1.0
162,10560,0.0,1.0
163,10498,0.0,1.0
164,10497,0.0,1.0
165,10426,0.0,1.0
166,10387,0.0,1.0
167,10352,0.0,1.0
168,10339,0.0,1.0
169,10337,0.0,1.0
170,10317,0.0,1.0
171,10287,0.0,1.0
172,10217,0.0,1.0
173,10156,0.0,2542.0
174,10134,0.0,1.0
175,10660,0.0,1.0
176,10717,0.0,1.0
177,9026,0.0,1.0
178,10718,0.0,1.0
179,11114,0.0,1.0
180,11064,0.0,1.0
181,11059,0.0,1.0
182,11054,0.0,1.0
183,11031,0.0,1.0
184,11004,0.0,1.0
185,10931,0.0,1.0
186,10925,0.0,1.0
187,10910,0.0,2.0
188,10909,0.0,1.0
189,10883,0.0,1.0
190,10803,0.0,2.0
191,10800,0.0,1.0
192,10786,0.0,1.0
193,10754,0.0,1.0
194,9584,0.0,1.0
195,8692,0.0,1.0
196,14628,0.0,1.0
197,3344,0.0,1.0
198,3028,0.0,1.0
199,2833,0.0,1.0
200,2485,0.0,1.0
201,2284,0.0,1.0
202,1969,0.0,1.0
203,1944,0.0,1.0
204,1852,0.0,1.0
205,1822,0.0,1.0
206,1819,0.0,1.0
207,1776,0.0,1.0
