"","AGEP","SEX","MSP","RAC1P","EDU","PINCP_DECILE","DVET","DREM","HOUSING_TYPE","OWN_RENT"
"1","39","2","4","1","8","5","N","2","1","2"
"2","4","2","N","1","1","N","N","N","1","1"
"3","17","1","6","1","4","1","N","2","1","2"
"4","26","1","1","1","7","7","N","2","1","1"
"5","26","2","6","1","10","8","N","2","1","1"
"6","88","2","3","1","7","5","N","1","3","0"
"7","4","2","N","3","1","N","N","N","1","1"
"8","58","1","1","1","11","9","N","2","1","1"
"9","54","2","6","1","10","9","N","2","1","1"
"10","81","2","3","2","5","5","N","1","1","1"
"11","23","2","6","1","9","3","N","2","1","2"
"12","61","1","1","2","5","0","N","2","1","2"
"13","76","2","4","1","7","3","N","2","1","2"
"14","33","1","5","2","7","5","N","2","1","2"
"15","19","2","6","1","7","1","N","2","1","2"
"16","69","2","4","3","7","7","N","2","1","1"
"17","48","2","1","5","4","0","N","2","1","1"
"18","27","2","6","8","5","2","N","2","1","2"
"19","61","1","1","1","5","7","N","2","1","1"
"20","12","1","N","2","3","N","N","2","1","1"
"21","26","2","6","8","5","0","N","1","2","0"
"22","49","2","4","2","9","2","N","2","1","2"
"23","73","2","1","1","9","6","N","2","1","1"
"24","18","1","6","8","7","1","N","2","3","0"
"25","29","1","6","1","9","8","N","2","1","1"
"26","33","2","6","1","9","0","N","2","1","1"
"27","16","2","6","9","4","1","N","2","1","1"
"28","43","1","1","1","6","3","N","2","1","1"
"29","44","1","6","1","7","9","N","2","1","1"
"30","9","1","N","1","3","N","N","2","1","1"
"31","72","1","6","1","11","8","N","2","1","1"
"32","50","2","1","1","6","6","N","2","1","1"
"33","42","2","1","1","7","6","N","2","1","1"
"34","41","1","4","2","7","6","N","2","1","2"
"35","6","1","N","1","2","N","N","2","1","1"
"36","50","1","4","1","9","9","N","2","1","1"
"37","59","2","6","2","6","0","N","1","3","0"
"38","28","1","6","1","9","0","N","2","1","2"
"39","51","2","6","1","10","6","N","2","1","1"
"40","22","1","6","3","5","2","N","2","1","2"
"41","17","2","2","6","4","0","N","2","1","2"
"42","19","1","6","2","5","3","N","2","1","2"
"43","9","2","N","2","3","N","N","2","1","2"
"44","60","2","1","1","10","8","N","2","1","1"
"45","3","2","N","1","1","N","N","N","1","2"
"46","7","1","N","2","2","N","N","2","1","1"
"47","57","2","6","1","1","0","N","1","3","0"
"48","41","1","1","1","4","0","N","2","1","2"
"49","39","1","1","1","9","8","N","2","1","1"
"50","45","1","1","1","10","8","N","2","1","1"
"51","28","2","2","1","8","7","N","2","1","1"
"52","26","1","3","1","5","3","N","2","1","2"
"53","36","2","1","1","9","9","N","2","1","1"
"54","59","2","6","2","7","0","N","2","1","2"
"55","13","1","N","1","3","N","N","2","1","1"
"56","31","1","4","2","9","4","N","2","1","2"
"57","54","2","1","1","11","8","N","2","1","1"
"58","11","2","N","1","3","N","N","2","1","1"
"59","34","1","6","2","3","2","N","2","1","2"
"60","52","2","1","1","5","7","N","2","1","1"
"61","37","2","6","1","4","4","N","1","1","2"
"62","47","2","1","1","7","5","N","2","1","2"
"63","72","2","6","2","4","4","N","2","1","1"
"64","30","1","6","2","5","1","N","2","1","2"
"65","83","2","6","1","9","9","N","2","1","1"
"66","71","1","6","2","11","7","N","2","1","1"
"67","75","2","1","1","5","2","N","2","1","1"
"68","71","2","3","1","5","4","N","2","1","2"
"69","56","1","1","1","10","8","N","2","1","1"
"70","64","1","1","2","5","3","N","2","1","1"
"71","58","2","1","2","8","0","N","2","1","1"
"72","84","2","1","1","7","4","N","2","1","1"
"73","54","2","1","1","9","4","N","2","1","1"
"74","33","2","6","1","9","7","N","2","1","2"
"75","15","2","6","2","3","0","N","2","1","2"
"76","53","1","6","1","4","0","N","1","2","0"
"77","84","2","3","1","5","3","N","2","1","2"
"78","60","1","6","2","6","7","N","1","1","2"
"79","86","2","3","1","9","3","N","2","1","1"
"80","51","2","6","2","3","3","N","2","1","2"
"81","22","2","6","2","5","3","N","2","1","1"
"82","79","1","6","6","9","3","N","1","1","2"
"83","17","2","6","1","4","1","N","1","1","2"
"84","11","2","N","1","3","N","N","2","1","1"
"85","75","1","1","1","10","9","N","2","1","1"
"86","21","1","6","1","7","0","N","2","1","1"
"87","10","2","N","6","3","N","N","2","1","1"
"88","56","2","2","1","10","1","N","2","1","1"
"89","50","2","1","1","9","5","N","2","1","2"
"90","39","2","5","2","7","6","N","2","3","0"
"91","61","2","1","2","10","6","N","2","1","1"
"92","11","1","N","1","3","N","N","2","1","1"
"93","77","2","3","6","3","4","N","1","1","2"
"94","11","2","N","2","3","N","N","2","1","2"
"95","18","2","6","1","7","3","N","2","3","0"
"96","0","1","N","1","N","N","N","N","1","1"
"97","9","2","N","1","3","N","N","2","1","1"
"98","36","2","1","1","9","4","N","2","1","1"
"99","29","2","1","8","5","2","N","1","1","2"
"100","48","2","1","1","7","5","N","2","1","1"
"101","48","2","1","1","9","9","N","2","1","2"
"102","37","2","1","3","6","3","N","2","1","2"
"103","48","2","1","1","9","9","N","2","1","1"
"104","15","1","6","1","4","0","N","2","2","0"
"105","48","1","1","1","9","9","N","2","1","2"
"106","66","2","1","1","5","2","N","2","1","1"
"107","52","1","1","1","4","4","N","2","1","2"
"108","29","2","6","2","7","4","N","2","1","1"
"109","41","1","1","8","4","0","N","2","1","2"
"110","49","1","1","1","11","8","N","2","1","1"
"111","69","2","1","1","4","0","N","2","1","2"
"112","0","2","N","1","N","N","N","N","1","1"
"113","25","1","6","1","7","5","N","2","1","2"
"114","59","1","1","2","9","8","N","2","1","2"
"115","35","2","4","2","8","5","N","2","1","2"
"116","18","2","6","1","5","3","N","2","1","1"
"117","67","2","1","1","10","7","N","2","1","1"
"118","55","2","4","2","7","6","N","1","1","1"
"119","33","1","6","1","9","8","N","2","1","2"
"120","3","2","N","1","1","N","N","N","1","1"
"121","64","2","1","1","9","3","N","2","1","2"
"122","18","1","6","2","7","5","N","2","1","2"
"123","21","1","6","1","7","0","N","2","3","0"
"124","16","1","6","1","4","0","N","2","1","1"
"125","72","2","4","1","9","6","N","1","1","1"
"126","50","2","1","1","9","8","N","2","1","2"
"127","28","1","6","2","9","8","N","2","1","2"
"128","10","2","N","8","3","N","N","2","1","2"
"129","21","2","6","2","7","0","N","2","3","0"
"130","22","2","6","2","4","1","N","2","1","2"
"131","32","1","1","3","7","7","5","2","1","2"
"132","19","1","6","1","7","8","N","2","1","1"
"133","77","2","1","1","6","6","N","2","1","1"
"134","43","1","6","2","5","5","N","2","1","2"
"135","48","1","1","3","4","0","N","2","1","2"
"136","35","1","6","6","5","4","N","2","2","0"
"137","44","2","4","1","12","9","N","2","1","1"
"138","68","1","1","1","7","7","N","2","1","1"
"139","64","2","4","1","8","1","N","2","1","2"
"140","36","2","1","1","10","6","N","2","1","1"
"141","80","2","1","1","9","8","N","2","1","1"
"142","45","2","6","2","10","8","N","2","1","2"
"143","40","2","6","3","3","5","N","2","1","1"
"144","74","2","3","1","7","2","N","1","3","0"
"145","67","1","6","2","5","3","N","2","1","2"
"146","65","1","1","1","5","3","N","2","1","2"
"147","11","2","N","1","3","N","N","2","1","2"
"148","47","2","1","1","12","8","N","2","1","1"
