,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE,DEYE
PUMA,4.551914400963142e-15,0.03091931413300689,0.04419940738243527,-0.03701125716527741,-0.026109260759943763,0.057104027440536886,0.038528492106386855,0.09644346516572723,-0.035185094212515824,-0.020886297764408628,-0.024491228260284215
AGEP,0.03091931413300689,-1.887379141862766e-15,-0.05043418164303677,0.025149498215968416,0.18075684510800666,0.1655678700159696,0.09546182549426613,0.13236011029624906,0.20293937810207177,-0.06723170429093556,0.13902826461043347
SEX,0.04419940738243527,-0.05043418164303677,-1.7763568394002505e-15,0.03878971077139426,0.014328928230204185,0.015574779580258196,0.04267574222028807,0.051109657010658206,0.005179066786078601,0.00676858279522638,0.037254540242252505
MSP,-0.03701125716527741,0.025149498215968416,0.03878971077139426,1.3322676295501878e-15,0.031455793502829454,0.03164819547590501,0.15782293352256116,0.27902065448168634,-0.03902685698946257,0.056054941584984475,0.0015579724217204688
HISP,-0.026109260759943763,0.18075684510800666,0.014328928230204185,0.031455793502829454,-9.992007221626409e-16,-0.2061438428566407,-0.15918766835270745,-0.13880377247541617,-0.09506528498800719,0.1141964718230796,-0.00017888328954611572
RAC1P,0.057104027440536886,0.1655678700159696,0.015574779580258196,0.03164819547590501,-0.2061438428566407,5.10702591327572e-15,-0.11723995427361217,-0.11481348542381514,0.015369656595417384,0.08563103084766047,-0.09174931542770276
NOC,0.038528492106386855,0.09546182549426613,0.04267574222028807,0.15782293352256116,-0.15918766835270745,-0.11723995427361217,-2.220446049250313e-15,-0.0964347331689065,-0.19389434830916746,0.11876146071799579,-0.07678286035031767
NPF,0.09644346516572723,0.13236011029624906,0.051109657010658206,0.27902065448168634,-0.13880377247541617,-0.11481348542381514,-0.0964347331689065,-2.3314683517128287e-15,-0.02398975487355509,0.15122668857220076,-0.014526319989498472
OWN_RENT,-0.035185094212515824,0.20293937810207177,0.005179066786078601,-0.03902685698946257,-0.09506528498800719,0.015369656595417384,-0.19389434830916746,-0.02398975487355509,-1.4432899320127035e-15,0.05481675940553589,-0.057287963055783826
PINCP_DECILE,-0.020886297764408628,-0.06723170429093556,0.00676858279522638,0.056054941584984475,0.1141964718230796,0.08563103084766047,0.11876146071799579,0.15122668857220076,0.05481675940553589,3.3306690738754696e-16,0.024102843035122765
DEYE,-0.024491228260284215,0.13902826461043347,0.037254540242252505,0.0015579724217204688,-0.00017888328954611572,-0.09174931542770276,-0.07678286035031767,-0.014526319989498472,-0.057287963055783826,0.024102843035122765,-4.551914400963142e-15
