,Target samples,Deid. samples
0,21,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,1120,118
11,0,0
12,201,27
13,399,60
14,110,18
15,0,0
16,0,0
17,0,0
18,0,0
19,22,5
20,94,23
21,103,27
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,140,61
31,0,0
32,1680,806
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,10,6
39,0,0
40,382,253
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,967,896
49,0,0
50,139,141
51,0,0
52,259,278
53,1364,1515
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,63,94
61,54,84
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,1,2
68,29,62
69,0,0
70,0,0
71,0,0
72,0,0
73,72,193
74,0,0
75,0,0
76,0,0
77,37,127
78,0,0
79,38,147
80,235,921
81,3,13
82,0,0
83,0,0
84,45,231
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,11,106
92,15,182
93,16,198
94,0,0
95,0,0
96,0,0
97,2,74
98,0,0
99,2,966
