,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,27,2,7,2,2,2,N,10,0,1,3,1,1,3,1,77000.0,8,501,48-02510,1,2,27,2,7,2,2,2,N,1,1,3,77000.0,8,501,100.0
1,42,2,7,2,2,2,N,4,4,1,N,1,3,5,1,0.0,0,183,48-02507,1,2,42,2,7,2,2,2,N,1,3,5,0.0,0,183,100.0
2,30,2,7,2,2,2,N,10,0,1,N,1,2,4,1,0.0,0,323,48-02507,2,2,30,2,7,2,2,2,N,1,2,4,0.0,0,323,100.0
3,42,2,2,2,2,2,N,7,0,1,2,1,2,5,2,86800.0,8,480,48-02102,1,1,42,2,2,2,2,2,N,1,2,5,86800.0,8,480,100.0
4,24,2,6,2,2,2,N,7,1,1,6,5,0,2,2,7200.0,2,311,48-02515,1,2,24,2,6,2,2,2,N,1,0,2,7200.0,2,311,100.0
5,2,2,7,2,N,N,N,N,0,1,N,N,3,5,1,N,N,146,48-02510,6,1,2,2,7,2,N,N,N,1,3,5,N,N,146,100.0
6,32,2,7,2,2,2,N,9,0,1,10,2,0,N,2,80000.0,8,501,48-02507,1,1,32,2,7,2,2,2,N,1,0,N,80000.0,8,501,100.0
7,16,2,6,2,2,2,N,4,0,1,12,6,3,5,1,2500.0,1,404,48-02515,1,1,16,2,6,2,2,2,N,1,3,5,2500.0,1,404,100.0
8,76,2,2,1,1,2,N,3,1,1,N,6,0,3,1,9000.0,2,407,48-02101,1,2,76,2,2,1,1,2,N,1,0,3,9000.0,2,407,100.0
9,46,2,7,2,2,2,N,8,0,1,11,6,0,N,2,36000.0,6,275,48-02507,2,1,46,2,7,2,2,2,N,1,0,N,36000.0,6,275,100.0
10,33,2,2,2,2,2,N,8,0,1,12,1,2,4,1,27000.0,5,501,48-02102,6,1,33,2,2,2,2,2,N,1,2,4,27000.0,5,501,100.0
11,20,2,7,2,2,1,N,7,0,1,14,6,0,4,1,20000.0,4,501,48-02510,6,2,20,2,7,2,2,1,N,1,0,4,20000.0,4,501,100.0
12,15,2,5,2,2,2,N,3,4,1,N,6,2,4,1,0.0,0,501,48-02516,1,2,15,2,5,2,2,2,N,1,2,4,0.0,0,501,100.0
13,22,2,7,2,2,2,N,6,0,1,14,6,0,3,1,4200.0,2,501,48-02507,1,1,22,2,7,2,2,2,N,1,0,3,4200.0,2,501,100.0
14,16,2,2,2,2,2,N,4,0,1,N,6,2,6,2,0.0,0,500,48-02101,1,2,16,2,2,2,2,2,N,1,2,6,0.0,0,500,100.0
15,25,2,5,2,2,2,N,7,0,1,15,6,0,4,2,12500.0,3,501,48-02516,1,1,25,2,5,2,2,2,N,1,0,4,12500.0,3,501,100.0
16,29,2,7,2,2,2,N,9,0,1,11,1,1,3,2,70000.0,8,340,48-02507,2,1,29,2,7,2,2,2,N,1,1,3,70000.0,8,340,100.0
17,30,2,2,2,2,1,N,5,0,1,13,4,0,5,1,3000.0,1,295,48-02101,1,2,30,2,2,2,2,1,N,1,0,5,3000.0,1,295,100.0
18,38,2,2,2,2,2,N,1,0,1,N,6,7,8,2,0.0,0,0,48-02102,1,2,38,2,2,2,2,2,N,1,7,8,0.0,0,0,100.0
