,feature,divergence
14,PINCP,3.9271553640958796
23,WGTP,3.4559393608376507
15,PINCP_DECILE,3.386403350204869
1,AGEP,2.6091038146265504
22,PWGTP,2.4481529911735866
13,EDU,1.3772102408680134
11,INDP,1.232387048276015
16,POVPIP,1.1039699019299265
7,NPF,0.6128055209104312
12,INDP_CAT,0.5121158063836885
6,NOC,0.28147146098173015
3,MSP,0.2641466680399629
5,RAC1P,0.26413315820984373
0,PUMA,0.17467377977969933
4,HISP,0.14369932025600282
9,OWN_RENT,0.12362236708655884
2,SEX,0.08780770485458922
18,DREM,0.05346685692648442
19,DPHY,0.044987785523308954
10,DENSITY,0.03470472991883571
21,DEAR,0.03296451176160654
20,DEYE,0.02694721299372462
17,DVET,0.014958044509303174
8,HOUSING_TYPE,0.007532719674931522
