,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE
PUMA,0.0,0.021842422676690478,0.00987949554060851,0.05871293534302025,-0.10200461132894327,0.07772132652355604,-0.060286600316267244,-0.06882980540585037,0.011463379940111882,0.003516373354676086
AGEP,0.021842422676690478,0.0,-0.03019842638034246,-0.07120405422930356,0.09074989683684193,0.0695954374535746,0.3203025592471409,0.26706868594954786,0.10365953263830381,-0.39940185286914204
SEX,0.00987949554060851,-0.030198426380342463,0.0,-0.028566705482452232,-0.0030037052692756523,-0.015220979106734752,-0.003501623094380367,0.014873815425434578,-0.04373054461682731,0.06304248313320122
MSP,0.05871293534302025,-0.07120405422930356,-0.028566705482452232,-1.1102230246251565e-16,-0.009813156407244908,-0.012340026103334713,0.3755956902368084,0.3945294783151581,0.028603257733704153,-0.1755639665246191
HISP,-0.10200461132894327,0.09074989683684193,-0.003003705269275652,-0.00981315640724491,2.220446049250313e-16,-0.08093163950004206,-0.05032297241132867,-0.07143152868531452,-0.11056737120387489,0.08685537177837678
RAC1P,0.07772132652355604,0.06959543745357462,-0.015220979106734752,-0.012340026103334713,-0.08093163950004206,0.0,-0.028457498729846268,-0.08378615109281,-0.09749851810972295,0.12674019933057015
NOC,-0.060286600316267244,0.3203025592471409,-0.0035016230943803635,0.3755956902368084,-0.05032297241132867,-0.028457498729846264,0.0,-0.600448554930207,-0.2238494595486078,0.19354435265891426
NPF,-0.06882980540585037,0.26706868594954786,0.014873815425434582,0.3945294783151581,-0.07143152868531451,-0.08378615109281001,-0.6004485549302069,0.0,-0.05033266915746196,0.21198140847908525
OWN_RENT,0.011463379940111882,0.1036595326383038,-0.04373054461682731,0.028603257733704153,-0.11056737120387489,-0.09749851810972296,-0.2238494595486078,-0.05033266915746195,1.1102230246251565e-16,0.01076210802561954
PINCP_DECILE,0.003516373354676087,-0.39940185286914204,0.06304248313320122,-0.1755639665246191,0.08685537177837678,0.12674019933057015,0.19354435265891423,0.21198140847908525,0.010762108025619544,-2.220446049250313e-16
