,AGEP_x,DEYE_x,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,AGEP_y,DEYE_y,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
0,15,2,N,3,1,6,1,0,2,2,15,2,N,1,0,100.0
1,77,2,N,10,1,2,2,9,2,1,52,2,5,1,9,60.0
2,92,2,N,5,1,3,2,5,2,1,78,2,N,1,4,60.0
3,20,2,N,5,3,6,0,2,2,2,60,2,N,2,0,40.0
4,65,2,N,3,1,4,1,4,8,2,55,2,N,1,5,60.0
5,29,2,N,12,1,6,2,8,6,1,29,2,N,1,8,100.0
6,33,2,N,7,1,6,2,5,8,1,31,2,N,1,4,60.0
7,56,2,N,7,1,4,1,7,3,2,79,2,N,1,7,80.0
8,59,2,N,8,2,6,0,2,2,1,23,2,N,2,2,80.0
9,55,2,N,1,1,1,1,3,9,1,88,2,N,1,3,80.0
10,71,2,N,11,1,1,1,9,2,2,47,2,N,1,9,80.0
11,42,2,2,1,1,6,1,6,2,1,33,2,N,1,6,60.0
12,29,2,N,5,1,1,2,7,9,1,25,2,N,1,5,60.0
13,59,2,N,8,1,4,1,1,6,1,31,2,N,1,1,80.0
14,26,2,N,1,1,6,1,0,1,2,37,2,N,1,0,80.0
15,77,2,N,3,1,1,1,0,3,2,42,2,N,1,0,80.0
16,38,2,N,9,1,1,2,5,3,1,49,2,N,1,6,60.0
17,32,2,N,8,1,6,2,6,6,1,24,2,N,1,4,60.0
18,40,2,N,3,1,1,2,6,1,1,78,2,N,1,3,60.0
19,59,2,N,9,1,4,2,7,6,2,53,2,N,1,3,60.0
20,57,2,N,10,1,4,2,7,2,1,42,2,N,1,7,80.0
21,41,2,N,10,1,2,2,9,2,2,40,2,N,1,7,60.0
22,59,2,N,9,1,4,2,7,9,2,36,2,N,1,8,60.0
23,31,2,N,4,1,1,2,5,2,2,53,2,N,1,3,60.0
24,20,2,N,7,3,6,0,1,6,2,21,2,N,3,2,60.0
25,43,2,N,4,2,2,0,0,2,1,43,2,N,2,0,100.0
26,69,2,N,5,1,3,1,5,8,2,86,1,N,1,4,40.0
27,62,2,N,4,1,3,1,3,8,2,62,2,N,1,5,80.0
28,55,2,N,12,1,4,1,8,1,1,71,2,N,1,8,80.0
29,62,2,N,9,3,6,0,3,1,2,60,2,N,2,3,60.0
30,48,2,N,6,2,6,0,2,8,1,28,2,N,2,2,80.0
31,92,2,N,11,1,3,1,6,1,1,76,2,N,1,5,60.0
32,37,2,N,6,1,2,1,3,1,2,82,2,N,1,6,60.0
33,6,2,N,2,1,N,2,N,8,1,3,2,N,1,N,80.0
34,92,2,N,10,1,2,2,7,1,1,60,2,N,1,7,80.0
35,3,2,N,2,1,N,2,N,9,2,4,2,N,1,N,80.0
36,64,2,N,3,1,4,2,7,8,1,64,2,N,1,7,100.0
37,3,2,N,2,1,N,2,N,8,2,6,2,N,1,N,80.0
38,44,2,N,7,1,1,2,6,8,1,29,2,N,1,6,80.0
39,77,1,N,8,3,4,0,3,1,1,63,2,N,2,0,20.0
40,71,2,N,8,1,1,2,3,9,1,85,2,N,1,3,80.0
41,39,2,N,5,1,2,1,4,6,2,35,2,N,1,0,60.0
42,38,2,N,11,1,1,1,9,8,1,38,2,N,1,9,100.0
43,28,2,N,5,2,6,0,0,8,2,19,2,N,3,0,60.0
44,20,2,N,7,1,5,1,4,2,1,30,2,N,1,4,80.0
45,16,2,N,4,1,6,1,0,7,1,16,2,N,1,0,100.0
46,57,2,N,3,1,1,1,6,9,1,58,2,N,1,4,60.0
47,46,2,2,8,1,1,1,7,9,1,69,2,2,1,3,60.0
48,56,2,N,10,1,1,2,9,9,1,48,2,N,1,6,60.0
49,41,2,N,3,1,6,1,0,6,2,41,2,N,1,0,100.0
50,20,2,N,7,1,2,1,3,8,1,20,2,N,1,3,100.0
51,40,2,N,8,1,6,2,0,2,1,46,2,N,1,6,60.0
52,79,2,N,7,3,3,0,2,2,1,72,2,N,2,3,40.0
53,62,2,N,4,1,3,1,3,2,2,77,2,N,1,2,60.0
54,60,2,N,3,1,4,1,7,8,1,65,2,N,1,3,60.0
55,31,2,N,4,1,5,1,3,1,2,53,1,N,1,3,60.0
56,31,2,N,5,1,1,1,0,5,2,56,2,N,1,2,60.0
57,57,2,N,6,1,4,1,3,6,2,56,2,N,1,8,60.0
