,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE
PUMA,-8.881784197001252e-16,-0.017434464628639984,-0.0294590926828674,-0.023689713828942943,-0.03437412090507436,0.009055007633248568,0.001142180797642632,0.005487786981391712,-0.0124217916430521,-0.03961537655746392
AGEP,-0.017434464628639984,0.0,0.011069257985148712,-0.009581092912446826,-0.020871878561342733,-0.024564697496379823,-0.00723600987097861,0.001325630928474708,-0.0369845934312486,0.016519051756028635
SEX,-0.0294590926828674,0.011069257985148712,5.10702591327572e-15,0.022044208231210467,-0.027514377403071062,-0.013846170059240569,-0.02445516516959674,-0.019314657815135583,-0.009739030717001027,0.05288275009365791
MSP,-0.023689713828942943,-0.009581092912446826,0.022044208231210467,2.1094237467877974e-15,-0.04076906667083474,-0.024963733251402713,-0.014681751469413085,-0.02120567589840877,0.007815757434204311,-0.004289683241530201
HISP,-0.03437412090507436,-0.020871878561342733,-0.027514377403071062,-0.04076906667083474,0.0,-0.03464303046406457,0.07502202795416907,0.046775035613214604,0.005461186637670826,-0.0006429586882835681
RAC1P,0.009055007633248568,-0.024564697496379823,-0.013846170059240569,-0.024963733251402713,-0.03464303046406457,-2.220446049250313e-15,0.023941115824560558,0.010260371451619475,0.006481028044674805,-0.008226374067018372
NOC,0.001142180797642632,-0.00723600987097861,-0.02445516516959674,-0.014681751469413085,0.07502202795416907,0.023941115824560558,1.887379141862766e-15,0.013807839236757546,0.03995513477846928,-0.020002361247007605
NPF,0.005487786981391712,0.001325630928474708,-0.019314657815135583,-0.02120567589840877,0.046775035613214604,0.010260371451619475,0.013807839236757546,-1.1102230246251565e-15,0.029895833648880384,-0.025611343242275708
OWN_RENT,-0.0124217916430521,-0.0369845934312486,-0.009739030717001027,0.007815757434204311,0.005461186637670826,0.006481028044674805,0.03995513477846928,0.029895833648880384,-5.551115123125783e-16,-0.03185987962541391
PINCP_DECILE,-0.03961537655746392,0.016519051756028635,0.05288275009365791,-0.004289683241530201,-0.0006429586882835681,-0.008226374067018372,-0.020002361247007605,-0.025611343242275708,-0.03185987962541391,0.0
