,AGEP_x,DEYE_x,HISP,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,DEYE_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,46,2,0,1,0,8,2,5,197,48-02515,2,1,27,2,0,2,7,326,33.33333333333333
1,45,2,1,1,0,6,1,5,321,48-02516,9,1,48,2,0,3,8,501,33.33333333333333
2,79,2,1,6,0,3,1,6,157,48-02510,9,1,21,2,0,3,3,501,50.0
3,31,2,1,1,1,3,2,5,0,48-02510,8,1,35,2,3,5,6,340,16.666666666666664
4,53,2,4,1,1,3,1,6,336,48-02515,9,1,74,2,0,2,2,43,16.666666666666664
5,48,2,2,6,0,3,2,7,150,48-02507,1,1,15,2,3,6,0,449,16.666666666666664
6,74,2,0,1,0,3,1,4,276,48-02102,3,1,49,2,0,3,8,501,50.0
7,65,2,0,1,1,3,2,4,409,48-02510,3,2,25,2,1,3,0,154,50.0
8,56,2,0,1,2,2,2,6,221,48-02507,8,2,33,2,3,5,4,319,16.666666666666664
9,35,2,1,1,0,3,1,8,98,48-02510,5,1,63,2,0,2,5,178,33.33333333333333
10,24,2,4,1,7,2,1,9,460,48-02510,2,2,42,2,3,5,9,501,33.33333333333333
11,48,2,2,1,0,6,1,1,501,48-02516,8,2,38,2,3,5,5,261,16.666666666666664
12,44,2,0,3,0,4,0,0,126,48-02516,1,2,92,2,N,N,4,190,16.666666666666664
13,36,2,0,6,0,3,0,5,237,48-02507,1,1,21,2,N,N,2,26,16.666666666666664
14,63,2,0,1,0,3,2,5,467,48-02102,9,2,41,2,2,4,3,147,16.666666666666664
15,19,2,0,4,1,4,1,4,106,48-02507,9,2,66,2,0,N,6,398,16.666666666666664
16,58,2,0,4,0,2,2,0,272,48-02507,6,2,53,2,0,N,3,123,33.33333333333333
17,57,2,1,6,2,4,1,2,428,48-02101,9,1,18,2,1,6,1,501,16.666666666666664
18,65,2,1,5,0,2,2,7,213,48-02510,1,2,49,2,0,4,4,292,33.33333333333333
19,32,2,0,2,0,6,0,0,114,48-02510,1,1,79,2,N,N,3,N,16.666666666666664
20,57,2,0,3,1,4,0,6,106,48-02507,2,1,86,2,N,N,2,N,16.666666666666664
21,61,2,0,6,0,5,2,7,225,48-02516,9,2,48,2,0,2,6,366,33.33333333333333
22,58,2,0,4,0,2,1,0,88,48-02507,6,1,41,2,0,2,8,501,50.0
23,50,2,2,6,0,4,2,3,426,48-02515,1,1,28,2,0,N,4,190,33.33333333333333
24,17,2,0,6,0,2,1,5,443,48-02516,3,2,25,2,0,4,8,304,33.33333333333333
25,18,2,1,6,0,6,2,0,197,48-02515,8,1,31,2,0,N,4,182,33.33333333333333
26,35,2,0,6,1,2,2,9,451,48-02101,9,2,25,2,2,3,0,0,16.666666666666664
27,12,2,0,4,1,2,1,7,154,48-02516,2,1,46,2,2,3,4,113,16.666666666666664
28,15,2,0,6,0,3,2,7,297,48-02510,7,1,59,2,0,N,8,501,33.33333333333333
29,63,2,1,2,1,7,1,4,136,48-02102,8,2,19,2,3,7,2,197,33.33333333333333
