,feature,divergence
1,AGEP,1.350189198486412
13,PINCP,0.5396613339567815
14,PINCP_DECILE,0.4293109782572392
12,EDU,0.2924355645411718
11,INDP_CAT,0.16250237146651486
7,NPF,0.1103173625651763
3,MSP,0.08531135076761426
2,SEX,0.08065376888027842
15,POVPIP,0.05288906148038128
18,DPHY,0.02927444440118194
5,RAC1P,0.02626606198034771
6,NOC,0.01917989417989417
17,DREM,0.016743571794918914
8,HOUSING_TYPE,0.010607441351836899
9,OWN_RENT,0.009493691972073268
4,HISP,0.00847964161514683
16,DVET,0.005244571964576379
0,PUMA,0.003337791101880705
10,DENSITY,0.003337791101880705
20,DEAR,0.001694577352472089
19,DEYE,0.00021167101963547735
