,AGEP_x,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,AGEP_y,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
0,23,1,4,2,6,1,2,7,2,17,N,1,0,0.0
1,83,N,6,1,2,2,9,6,2,39,N,1,4,50.0
2,66,N,8,1,3,1,1,8,2,82,N,1,3,50.0
3,29,N,3,1,N,0,0,2,2,8,N,2,N,25.0
4,65,N,10,1,3,1,8,3,1,86,N,1,8,75.0
5,85,N,8,1,6,2,9,7,1,54,N,1,5,50.0
6,78,3,5,1,2,2,6,3,2,44,N,1,4,25.0
7,37,N,10,1,2,2,5,8,2,37,N,1,3,75.0
8,60,N,4,1,3,2,2,8,1,76,N,1,3,50.0
9,41,N,12,1,4,2,8,8,1,52,N,1,3,50.0
10,24,N,5,1,3,0,8,2,1,79,N,2,5,25.0
11,57,N,1,1,3,1,6,8,1,76,N,1,0,50.0
12,80,N,1,1,4,2,8,8,1,40,N,1,3,50.0
13,49,N,8,1,2,2,2,9,2,40,N,1,7,50.0
14,58,N,12,1,5,1,7,6,2,49,N,1,9,50.0
15,49,N,4,1,3,2,6,9,1,80,N,1,3,50.0
16,47,N,7,1,6,0,7,8,1,25,2,3,5,0.0
17,46,N,11,1,6,0,3,2,2,25,N,3,0,25.0
18,67,N,7,1,5,2,3,8,1,31,N,1,3,75.0
19,65,N,5,1,6,0,0,7,2,21,N,3,1,25.0
20,85,N,3,1,5,0,6,2,2,77,N,3,4,25.0
21,60,N,3,1,2,1,8,8,2,45,N,1,8,75.0
22,50,N,6,1,5,0,8,1,1,51,N,2,0,25.0
23,52,N,6,1,6,1,5,7,1,25,N,1,7,50.0
24,47,N,7,1,4,2,0,9,1,61,N,1,3,50.0
25,68,N,5,1,4,2,7,7,1,48,N,1,0,50.0
26,66,N,1,1,4,1,5,8,2,40,N,1,5,75.0
27,45,N,11,1,4,2,6,2,2,80,N,1,7,50.0
28,73,N,4,3,1,1,5,5,1,67,N,1,6,25.0
29,68,6,7,1,2,1,8,8,1,36,N,1,3,25.0
30,25,N,10,1,2,0,6,1,2,35,N,3,3,25.0
31,60,N,9,1,3,2,9,6,1,69,N,1,4,50.0
32,42,N,8,1,4,1,0,9,1,59,N,1,3,50.0
33,77,N,9,1,2,1,6,9,1,46,N,1,9,50.0
34,68,N,10,1,5,2,8,9,1,43,N,1,7,50.0
35,51,N,10,1,6,2,3,7,2,25,N,1,0,50.0
36,72,N,10,1,5,2,1,8,2,60,N,1,2,50.0
37,38,N,10,1,2,2,3,9,2,56,N,1,9,50.0
38,53,N,3,1,2,0,2,2,2,44,N,3,0,25.0
39,76,N,11,1,3,1,1,6,2,66,N,1,9,50.0
40,48,N,7,1,5,1,4,3,1,62,N,1,3,50.0
41,49,N,6,1,1,1,0,4,2,26,N,1,4,50.0
42,25,N,12,1,6,0,N,1,1,72,N,3,5,25.0
43,50,N,3,1,3,0,8,2,2,78,N,2,0,25.0
44,24,N,6,1,5,1,3,2,2,59,N,1,3,75.0
45,57,N,5,1,6,2,6,5,1,59,N,1,3,50.0
46,61,N,5,1,5,0,2,2,1,56,N,3,1,25.0
47,63,N,8,1,4,0,2,1,2,36,N,2,0,25.0
48,37,N,4,1,4,1,1,5,2,29,N,1,4,50.0
49,29,N,3,1,5,1,3,6,2,65,N,1,0,50.0
50,63,N,5,1,3,1,8,5,2,65,N,1,9,50.0
51,24,N,12,1,1,2,1,9,2,48,N,1,0,50.0
52,4,N,7,1,3,2,3,9,2,64,N,1,3,75.0
53,63,N,12,1,2,2,3,3,2,36,N,1,3,75.0
54,66,N,4,1,N,1,6,8,2,14,N,1,N,50.0
55,20,N,3,1,3,2,6,5,2,54,N,1,0,50.0
56,3,N,3,1,3,2,9,3,1,80,N,1,4,50.0
57,69,N,5,1,4,0,3,9,1,36,N,2,0,25.0
58,28,N,5,1,5,2,3,9,1,31,N,1,2,50.0
59,75,N,5,1,2,1,3,8,2,30,N,1,5,50.0
60,59,N,8,1,2,1,4,5,2,39,N,1,7,50.0
61,22,N,5,1,6,1,4,7,1,21,N,1,0,50.0
62,58,N,3,1,5,2,8,5,1,64,N,1,4,50.0
63,46,N,1,1,2,1,6,5,2,35,N,1,7,50.0
64,27,N,11,1,5,2,4,2,1,71,N,1,2,50.0
65,60,4,5,1,4,1,4,7,2,49,N,1,7,25.0
66,54,N,8,1,1,2,1,9,2,57,N,1,0,50.0
67,54,N,7,1,6,2,2,5,1,34,N,1,5,50.0
68,50,N,10,1,2,1,5,9,2,34,N,1,0,50.0
69,74,N,6,1,1,2,8,3,2,39,N,1,4,50.0
70,28,N,10,1,2,0,0,2,1,34,N,3,9,25.0
71,71,N,3,1,4,0,5,2,1,70,N,2,1,25.0
72,63,5,6,1,4,2,3,6,1,64,N,1,5,25.0
73,22,N,9,1,5,2,6,9,1,41,N,1,9,50.0
74,16,N,3,3,6,2,0,5,1,15,N,1,0,50.0
75,76,N,1,1,6,1,1,8,2,44,N,1,7,50.0
76,41,N,11,1,6,2,3,5,1,29,N,1,3,75.0
77,48,N,3,1,2,2,0,6,1,28,N,1,1,50.0
78,51,5,5,1,6,0,3,9,2,19,N,3,1,0.0
79,82,N,9,1,2,0,7,2,2,55,N,2,2,25.0
