,AGEP_x,DEYE_x,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,AGEP_y,DEYE_y,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
0,59,2,N,7,1,2,1,4,6,1,59,2,N,1,4,100.0
1,70,2,N,5,3,2,0,5,9,1,70,2,N,3,5,100.0
2,37,2,N,10,1,2,2,3,8,2,37,2,N,1,3,100.0
3,47,2,N,7,1,1,1,4,5,1,47,2,N,1,4,100.0
4,56,1,N,4,3,5,0,1,1,1,56,1,N,3,1,100.0
5,45,2,N,5,1,1,2,7,7,1,45,2,N,1,7,100.0
6,44,2,N,1,1,2,2,4,8,1,44,2,N,1,4,100.0
7,24,2,N,7,3,2,0,1,9,2,24,2,N,3,1,100.0
8,55,2,N,7,3,4,0,2,6,1,55,2,N,3,2,100.0
9,41,2,N,5,1,4,1,5,8,1,41,2,N,1,5,100.0
10,62,2,N,3,2,4,0,0,8,2,62,2,N,2,0,100.0
11,48,2,N,12,1,1,2,0,9,2,48,2,N,1,0,100.0
12,46,2,N,4,1,4,1,7,9,1,46,2,N,1,7,100.0
13,68,2,N,3,1,3,2,2,8,1,68,2,N,1,2,100.0
14,10,2,N,3,1,N,1,N,4,1,10,2,N,1,N,100.0
15,30,2,N,10,1,1,2,0,8,2,30,2,N,1,0,100.0
16,81,1,N,9,1,3,1,4,3,1,81,1,N,1,4,100.0
17,27,2,N,3,1,2,1,2,6,1,27,2,N,1,2,100.0
18,70,2,N,3,2,4,0,1,2,1,70,2,N,2,1,100.0
19,54,2,N,8,1,1,1,6,5,2,54,2,N,1,6,100.0
20,32,2,N,6,1,1,2,0,9,2,32,2,N,1,0,100.0
21,57,2,N,3,2,4,0,3,5,2,57,2,N,2,3,100.0
22,56,2,N,10,1,2,2,9,9,2,56,2,N,1,9,100.0
23,30,2,N,8,3,5,0,0,8,1,30,2,N,3,0,100.0
24,63,1,N,4,1,3,2,1,9,2,63,1,N,1,1,100.0
25,18,2,N,7,3,6,0,1,3,2,18,2,N,3,1,100.0
26,43,2,N,10,1,5,2,7,9,1,43,2,N,1,7,100.0
27,35,2,N,9,1,6,1,8,5,2,35,2,N,1,8,100.0
28,64,2,N,8,1,5,2,3,6,1,64,2,N,1,3,100.0
29,77,1,N,10,2,4,0,2,1,1,77,1,N,2,2,100.0
30,14,2,N,4,1,N,1,N,1,1,14,2,N,1,N,100.0
31,71,2,N,11,1,5,2,2,2,1,71,2,N,1,2,100.0
32,35,2,N,4,1,4,1,7,8,2,35,2,N,1,7,100.0
33,44,2,N,11,1,3,1,1,2,1,44,2,N,1,1,100.0
34,61,2,N,7,1,4,2,3,9,1,61,2,N,1,3,100.0
35,16,2,N,4,1,5,1,0,2,2,16,2,N,1,0,100.0
36,64,2,N,4,1,5,1,0,8,2,64,2,N,1,0,100.0
37,49,2,N,1,1,4,1,2,6,2,49,2,N,1,2,100.0
38,66,2,N,11,1,3,1,9,6,2,66,2,N,1,9,100.0
39,70,2,N,3,1,4,2,5,9,1,70,2,N,1,5,100.0
40,46,2,N,11,1,5,1,8,6,2,46,2,N,1,8,100.0
41,65,2,N,3,1,5,1,0,6,2,65,2,N,1,0,100.0
42,55,2,N,7,1,4,2,7,7,1,55,2,N,1,7,100.0
43,32,2,N,5,1,2,1,2,8,1,32,2,N,1,2,100.0
44,48,2,N,5,1,1,2,5,5,1,48,2,N,1,5,100.0
45,24,2,N,8,1,1,2,9,9,1,24,2,N,1,9,100.0
46,15,2,N,3,1,6,2,0,5,1,15,2,N,1,0,100.0
47,65,2,N,9,1,3,2,4,2,1,65,2,N,1,4,100.0
48,73,2,N,1,1,4,2,2,6,2,73,2,N,1,2,100.0
49,54,2,N,3,3,5,0,1,1,2,54,2,N,3,1,100.0
50,19,2,N,5,3,6,0,0,3,1,19,2,N,3,0,100.0
51,79,2,N,5,2,3,0,5,2,1,79,2,N,2,5,100.0
52,81,2,N,12,1,3,1,2,9,1,81,2,N,1,2,100.0
53,75,2,N,11,1,1,1,9,3,1,75,2,N,1,9,100.0
54,63,2,N,3,1,6,2,0,6,2,63,2,N,1,0,100.0
55,36,2,N,12,1,4,2,6,6,2,36,2,N,1,6,100.0
56,36,2,N,8,2,4,0,0,1,2,36,2,N,2,0,100.0
57,76,2,N,4,1,3,2,3,8,1,76,2,N,1,3,100.0
58,42,2,N,9,2,4,0,0,8,2,42,2,N,2,0,100.0
59,37,2,N,11,1,2,1,6,2,2,37,2,N,1,6,100.0
60,47,2,N,9,1,4,2,6,3,2,47,2,N,1,6,100.0
61,27,2,N,7,1,5,1,4,6,2,27,2,N,1,4,100.0
62,41,2,N,9,1,5,2,9,9,1,41,2,N,1,9,100.0
63,44,1,N,8,1,1,1,1,5,1,44,1,N,1,1,100.0
64,25,2,N,11,3,6,0,0,2,2,25,2,N,3,0,100.0
65,76,2,N,5,1,3,1,2,8,2,76,2,N,1,2,100.0
66,39,2,N,8,1,2,1,7,5,2,39,2,N,1,7,100.0
67,68,1,N,6,1,4,2,3,3,1,68,1,N,1,3,100.0
68,62,2,N,8,1,4,2,2,9,1,62,2,N,1,2,100.0
69,64,2,N,3,1,5,2,4,5,1,64,2,N,1,4,100.0
70,21,2,N,4,1,6,2,3,5,2,21,2,N,1,3,100.0
71,79,2,N,6,1,6,2,5,6,2,79,2,N,1,5,100.0
72,23,2,N,4,3,2,0,3,8,2,23,2,N,3,3,100.0
73,42,2,N,4,1,5,2,4,8,1,42,2,N,1,4,100.0
74,79,2,N,5,1,2,1,5,9,2,79,2,N,1,5,100.0
75,34,2,N,10,3,2,0,9,2,1,34,2,N,3,9,100.0
76,18,2,N,5,1,6,1,0,5,2,18,2,N,1,0,100.0
77,57,2,4,7,2,5,0,4,9,1,57,2,4,2,4,100.0
78,25,2,N,6,1,4,1,2,9,1,25,2,N,1,2,100.0
79,8,2,N,3,2,N,0,N,2,2,8,2,N,2,N,100.0
80,50,2,N,6,3,5,0,1,5,2,50,2,N,3,1,100.0
81,26,2,N,7,2,2,0,5,8,2,26,2,N,2,5,100.0
82,30,2,N,5,2,2,0,0,6,1,30,2,N,2,0,100.0
83,48,2,N,12,1,1,1,9,9,2,48,2,N,1,9,100.0
84,78,2,N,3,2,3,0,0,2,2,78,2,N,2,0,100.0
85,67,2,N,8,2,4,0,2,3,2,67,2,N,2,2,100.0
86,60,2,N,8,1,4,1,7,8,2,60,2,N,1,7,100.0
87,63,2,N,8,1,5,2,1,9,2,63,2,N,1,1,100.0
88,22,2,N,6,1,6,2,2,9,1,22,2,N,1,2,100.0
89,89,2,N,3,1,3,1,6,6,1,89,2,N,1,6,100.0
90,15,1,N,3,1,6,1,0,9,2,15,1,N,1,0,100.0
91,54,2,N,8,1,6,2,5,7,1,54,2,N,1,5,100.0
92,51,2,N,4,1,3,2,3,6,1,51,2,N,1,3,100.0
93,61,2,N,6,1,1,1,0,5,2,61,2,N,1,0,100.0
94,73,2,N,1,2,3,0,3,8,2,73,2,N,2,3,100.0
95,14,2,N,4,1,N,2,N,9,1,14,2,N,1,N,100.0
96,25,2,2,7,3,6,0,5,8,1,25,2,2,3,5,100.0
97,67,2,N,10,1,3,1,2,5,1,67,2,N,1,2,100.0
98,46,2,N,9,1,2,1,9,9,1,46,2,N,1,9,100.0
99,68,2,N,6,1,3,2,3,1,1,68,2,N,1,3,100.0
100,75,2,N,9,2,5,0,5,1,2,75,2,N,2,5,100.0
101,57,2,N,6,1,1,1,9,8,2,57,2,N,1,9,100.0
102,47,2,N,5,1,3,2,1,3,1,47,2,N,1,1,100.0
103,86,2,N,10,1,3,1,8,3,1,86,2,N,1,8,100.0
104,54,2,N,4,1,4,1,9,8,1,54,2,N,1,9,100.0
105,29,2,N,12,1,2,2,0,6,2,29,2,N,1,0,100.0
106,50,2,N,7,2,2,0,0,6,1,50,2,N,2,0,100.0
107,42,2,N,4,1,2,2,4,6,1,42,2,N,1,4,100.0
108,35,2,N,10,1,4,2,7,3,2,35,2,N,1,7,100.0
109,60,2,N,11,1,5,2,6,6,2,60,2,N,1,6,100.0
110,49,2,N,7,1,5,2,2,3,2,49,2,N,1,2,100.0
111,14,2,N,4,1,N,2,N,3,1,14,2,N,1,N,100.0
112,36,2,N,5,2,4,0,0,9,1,36,2,N,2,0,100.0
113,28,2,N,7,1,2,2,0,5,2,28,2,N,1,0,100.0
114,72,2,N,12,3,6,0,5,1,1,72,2,N,3,5,100.0
115,38,2,N,8,1,4,1,6,8,1,38,2,N,1,6,100.0
116,15,2,N,4,1,6,1,0,7,1,15,2,N,1,0,100.0
117,36,2,N,5,1,5,2,2,3,1,36,2,N,1,2,100.0
118,40,2,N,8,1,6,2,0,5,2,40,2,N,1,0,100.0
119,39,2,N,6,1,1,2,4,3,2,39,2,N,1,4,100.0
120,77,2,N,3,1,4,1,4,7,2,77,2,N,1,4,100.0
121,33,2,N,12,1,6,2,8,2,1,33,2,N,1,8,100.0
122,54,2,N,11,1,5,2,9,6,1,54,2,N,1,9,100.0
123,4,2,N,1,3,N,0,N,9,1,4,2,N,3,N,100.0
124,55,2,N,10,2,2,0,7,6,1,55,2,N,2,7,100.0
125,63,2,N,7,1,3,2,9,8,1,63,2,N,1,9,100.0
126,54,1,N,3,1,3,2,0,5,2,54,1,N,1,0,100.0
127,59,2,N,6,1,2,2,2,8,1,59,2,N,1,2,100.0
128,51,1,N,12,1,1,2,3,8,1,51,1,N,1,3,100.0
129,50,2,N,8,1,2,1,2,6,2,50,2,N,1,2,100.0
130,51,2,N,6,2,5,0,0,1,1,51,2,N,2,0,100.0
131,62,2,N,9,1,1,1,0,7,2,62,2,N,1,0,100.0
132,60,2,N,3,2,2,0,0,2,1,60,2,N,2,0,100.0
133,25,2,N,6,1,6,1,7,7,1,25,2,N,1,7,100.0
134,45,2,N,7,2,4,0,3,5,1,45,2,N,2,3,100.0
135,56,2,N,1,1,4,2,6,8,2,56,2,N,1,6,100.0
136,2,2,N,N,3,N,0,N,2,2,2,2,N,3,N,100.0
137,59,2,N,6,1,5,1,3,2,2,59,2,N,1,3,100.0
138,29,2,N,11,1,6,2,3,5,1,29,2,N,1,3,100.0
139,51,2,N,8,1,2,2,9,1,2,51,2,N,1,9,100.0
140,80,2,N,10,1,3,2,4,9,2,80,2,N,1,4,100.0
141,25,2,N,10,1,6,2,0,7,2,25,2,N,1,0,100.0
142,56,2,N,9,3,6,0,1,9,1,56,2,N,3,1,100.0
143,71,2,5,6,2,3,0,2,1,1,71,2,5,2,2,100.0
144,68,2,N,1,1,2,1,0,6,2,68,2,N,1,0,100.0
145,72,2,N,7,1,1,1,6,5,2,72,2,N,1,6,100.0
146,13,2,N,4,1,N,2,N,8,1,13,2,N,1,N,100.0
147,19,2,N,6,3,6,0,0,8,2,19,2,N,3,0,100.0
148,53,2,N,9,2,3,0,8,2,1,53,2,N,2,8,100.0
149,69,2,N,11,1,6,1,7,9,1,69,2,N,1,7,100.0
150,58,2,N,6,1,4,2,4,3,2,58,2,N,1,4,100.0
151,45,2,N,11,1,4,1,6,8,2,45,2,N,1,6,100.0
152,52,2,N,7,1,2,1,4,9,1,52,2,N,1,4,100.0
153,38,2,N,6,1,1,1,4,9,2,38,2,N,1,4,100.0
154,25,2,N,1,1,6,2,9,7,1,25,2,N,1,9,100.0
155,50,2,N,12,1,5,2,9,1,1,50,2,N,1,9,100.0
156,15,2,N,2,1,6,1,0,1,1,15,2,N,1,0,100.0
157,42,2,N,10,1,4,1,9,9,1,42,2,N,1,9,100.0
158,48,1,N,6,3,5,0,0,9,2,48,1,N,3,0,100.0
159,31,2,N,8,1,6,1,6,6,2,31,2,N,1,6,100.0
160,57,2,N,1,1,2,2,1,6,1,57,2,N,1,1,100.0
161,47,2,N,5,1,4,2,0,5,2,47,2,N,1,0,100.0
162,22,2,N,11,1,2,2,0,2,2,22,2,N,1,0,100.0
163,93,1,N,12,1,3,1,9,2,1,93,1,N,1,9,100.0
164,12,2,N,3,2,N,0,N,6,1,12,2,N,2,N,100.0
165,60,2,N,3,3,6,0,0,6,2,60,2,N,3,0,100.0
166,4,2,N,1,1,N,1,N,5,1,4,2,N,1,N,100.0
167,43,2,N,7,1,2,2,4,7,1,43,2,N,1,4,100.0
168,64,2,N,10,1,1,1,0,5,2,64,2,N,1,0,100.0
169,38,2,N,5,1,4,2,1,3,2,38,2,N,1,1,100.0
170,62,2,N,1,1,1,2,6,1,1,62,2,N,1,6,100.0
171,19,2,N,5,3,6,0,1,9,2,19,2,N,3,1,100.0
172,39,2,N,7,3,6,0,1,8,2,39,2,N,3,1,100.0
