,AGEP_x,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,AGEP_y,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
0,28,N,9,1,6,1,4,3,2,35,N,1,0,50.0
1,44,N,7,3,4,0,3,6,1,55,N,3,2,50.0
2,10,N,3,2,N,0,N,9,1,10,N,2,N,100.0
3,81,N,7,1,2,1,1,6,2,60,N,1,0,50.0
4,27,N,5,1,2,2,3,3,2,44,N,1,4,50.0
5,12,N,N,1,N,1,N,5,2,1,N,1,N,75.0
6,82,N,1,1,4,2,3,2,2,38,N,1,1,50.0
7,70,N,11,1,3,1,6,6,2,66,N,1,9,50.0
8,86,N,6,1,3,1,4,3,1,61,N,1,1,50.0
9,64,N,1,1,2,1,5,8,1,61,N,1,6,50.0
10,3,N,N,1,N,1,N,5,1,2,N,1,N,75.0
11,61,5,11,1,5,2,8,6,1,54,N,1,9,25.0
12,66,N,8,1,4,1,6,6,1,44,N,1,6,75.0
13,5,N,3,3,N,0,N,2,2,8,N,2,N,50.0
14,51,N,3,3,4,0,0,8,2,62,N,2,0,50.0
15,26,N,6,2,6,0,5,6,1,52,N,2,2,50.0
16,52,N,11,1,5,1,9,2,1,66,N,1,5,50.0
17,54,N,9,1,2,1,5,3,2,42,N,1,7,50.0
18,69,N,1,1,4,2,4,8,1,40,N,1,3,50.0
19,82,N,8,1,3,2,3,9,2,51,N,1,8,50.0
20,54,N,11,1,5,2,9,6,2,60,N,1,6,50.0
21,85,N,9,1,3,1,9,3,1,81,N,1,4,50.0
22,43,N,12,1,2,2,9,6,2,29,N,1,0,50.0
23,1,N,3,1,5,2,N,2,1,52,N,1,0,50.0
24,28,N,7,1,1,1,4,5,1,47,N,1,4,75.0
25,19,N,1,1,6,1,0,8,2,44,N,1,7,50.0
26,63,N,8,1,5,2,5,9,2,63,N,1,1,75.0
27,72,N,5,1,3,2,4,3,1,47,N,1,1,50.0
28,10,N,3,1,N,1,N,4,1,10,N,1,N,100.0
29,67,N,5,3,2,0,4,9,1,70,N,3,5,50.0
30,65,N,3,1,2,2,2,1,1,60,N,1,6,50.0
31,10,N,2,1,6,1,N,1,1,15,N,1,0,50.0
32,15,N,4,3,6,0,0,5,1,22,N,2,1,25.0
33,35,N,10,1,2,1,8,9,2,34,N,1,0,50.0
34,1,N,3,1,5,2,N,2,2,74,N,1,2,50.0
35,28,N,8,1,6,1,9,8,2,21,N,1,3,50.0
36,53,N,1,1,4,1,0,3,1,37,N,1,2,50.0
37,71,N,5,1,2,1,4,3,1,41,N,1,0,50.0
38,55,N,10,2,2,0,2,2,1,34,N,3,9,25.0
39,49,N,10,1,1,1,9,5,2,64,N,1,0,50.0
40,36,N,4,1,4,1,2,8,2,35,N,1,7,50.0
