,INDP,count_target,count_deidentified
9,1070,3,0.0
26,1080,2,0.0
30,1090,5,0.0
28,1170,2,0.0
18,1180,4,0.0
5,1190,4,0.0
0,1270,7,0.0
22,1280,2,0.0
1,1370,2,0.0
7,1691,1,0.0
32,1790,1,0.0
35,1870,3,0.0
39,1880,2,0.0
4,1990,5,0.0
25,2070,2,0.0
51,2170,1,0.0
29,2180,1,0.0
34,2190,6,0.0
40,2280,4,0.0
10,2290,2,0.0
13,2370,3,0.0
47,2390,1,0.0
33,2480,3,0.0
36,2490,1,0.0
23,2570,2,0.0
24,2670,2,0.0
19,2690,2,0.0
42,2770,1,0.0
17,2870,3,0.0
11,2880,4,0.0
37,2890,2,0.0
44,2970,2,0.0
43,2980,2,0.0
21,3070,4,0.0
15,3080,7,0.0
49,3095,1,0.0
41,3180,2,0.0
8,3291,8,0.0
50,3365,2,0.0
3,3370,2,0.0
38,3380,6,0.0
16,3390,3,0.0
31,3490,8,0.0
27,3570,7,0.0
20,3580,15,0.0
46,3590,1,0.0
45,3680,4,0.0
48,3790,1,0.0
12,3895,8,0.0
14,3960,1,0.0
2,3980,3,0.0
6,3990,2,0.0
