PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR
48-02101,39,1,1,0,1,0,3,1,1,6370,7,5,35000.0,5,259,N,2,2,2,2
48-02102,56,1,1,0,1,0,3,1,1,6170,7,5,41000.0,6,234,N,2,2,2,2
48-02101,60,2,4,0,1,0,N,1,1,2490,4,5,80200.0,8,501,N,2,2,2,2
48-02507,63,2,6,1,1,0,2,1,1,N,N,5,6200.0,2,164,N,2,1,2,2
48-02101,24,2,6,0,2,0,3,1,1,6870,9,9,2000.0,1,501,N,2,2,2,2
48-02510,19,2,6,0,1,2,4,1,1,5391,6,7,12000.0,3,501,N,2,2,2,2
48-02510,40,1,1,0,1,1,3,1,1,6370,7,5,23900.0,4,117,N,2,2,2,2
48-02507,0,1,N,1,1,0,5,1,1,N,N,N,N,N,408,N,N,N,2,2
48-02102,0,2,N,0,1,2,4,1,1,N,N,N,N,N,501,N,N,N,2,2
48-02102,41,2,1,0,1,2,4,1,1,7970,12,6,38000.0,6,252,N,2,2,2,2
48-02101,60,2,3,0,1,0,N,1,1,N,N,5,0.0,0,0,N,1,1,2,2
48-02516,65,2,4,0,6,0,N,1,1,6870,9,9,30000.0,5,247,N,2,2,2,2
48-02516,63,2,4,0,1,0,N,1,1,6070,7,5,10000.0,2,75,N,2,2,2,2
48-02516,5,1,N,0,1,4,6,1,1,N,N,2,N,N,501,N,2,2,2,2
48-02101,45,1,1,0,1,3,5,1,1,7190,9,10,90000.0,8,495,N,2,2,2,2
48-02516,13,2,N,0,1,3,5,1,1,N,N,3,N,N,361,N,2,2,2,2
48-02101,11,1,N,1,1,2,4,1,1,N,N,3,N,N,191,N,2,2,2,2
48-02102,67,2,1,0,1,0,2,1,1,5170,6,4,25000.0,4,501,N,2,2,2,2
48-02507,33,2,1,1,1,2,4,1,2,N,N,1,8000.0,2,85,N,2,2,2,2
48-02102,41,2,1,0,9,2,4,1,1,8470,13,9,20000.0,4,200,N,2,2,2,2
48-02516,8,2,N,0,1,3,5,1,1,N,N,3,N,N,501,N,2,2,2,2
48-02516,56,1,1,0,2,0,4,1,1,8191,12,7,9000.0,2,0,N,2,2,2,2
48-02516,11,1,N,1,1,2,4,1,1,N,N,3,N,N,490,N,2,2,2,2
48-02507,25,1,6,1,1,0,N,1,2,9160,15,9,2000.0,1,12,N,2,1,2,2
48-02507,83,1,3,0,2,0,5,1,2,N,N,1,9300.0,2,346,N,1,1,2,2
48-02515,27,1,6,0,1,0,N,1,2,N,N,9,42000.0,6,320,N,2,1,2,2
48-02102,23,2,6,1,1,0,3,1,1,8191,12,5,35000.0,5,142,N,2,2,2,2
48-02102,8,2,N,0,1,0,5,1,1,N,N,3,N,N,376,N,2,2,2,2
48-02101,77,2,1,0,1,0,2,1,1,N,N,8,22600.0,4,451,N,2,2,2,2
48-02515,38,2,4,0,9,1,3,1,2,7380,10,9,190000.0,9,501,N,2,2,2,2
48-02515,47,1,1,1,8,0,2,1,2,8580,14,8,46200.0,6,439,N,2,2,2,2
48-02507,59,1,4,1,8,0,2,1,1,6370,7,5,25000.0,4,501,N,2,2,2,2
48-02515,18,1,6,0,1,1,5,1,2,8680,14,5,4800.0,2,437,N,2,2,2,2
48-02510,13,1,N,1,1,2,3,1,1,N,N,3,N,N,292,N,2,2,2,2
48-02515,68,2,1,0,1,0,3,1,2,8561,14,7,0.0,0,501,N,2,2,2,2
48-02510,72,1,1,0,1,0,2,1,1,N,N,9,163200.0,9,501,N,2,2,2,2
48-02510,13,2,N,0,1,4,6,1,1,N,N,3,N,N,224,N,2,2,2,2
48-02515,59,2,4,0,1,0,3,1,2,N,N,9,15600.0,3,501,N,1,2,2,2
48-02101,7,2,N,1,1,2,4,1,1,N,N,3,N,N,450,N,2,2,2,2
48-02507,70,2,1,0,1,0,2,1,1,N,N,9,312100.0,9,501,N,2,2,2,2
48-02102,7,2,N,0,2,1,3,1,2,N,N,3,N,N,220,N,2,2,2,2
48-02102,48,2,1,0,1,3,7,1,1,7860,11,10,135000.0,9,501,N,2,2,2,2
48-02516,19,1,6,4,1,0,6,1,1,7290,10,9,7700.0,2,501,N,1,2,2,2
48-02101,3,2,N,0,1,3,5,1,2,N,N,1,N,N,206,N,N,N,2,2
48-02507,36,2,1,0,1,4,7,1,1,5580,6,7,19700.0,4,323,N,2,2,2,2
48-02101,50,2,1,0,1,1,5,1,1,770,3,7,-6300.0,0,251,N,2,2,2,2
48-02102,66,1,1,0,1,0,2,1,1,N,N,10,83200.0,8,501,N,2,2,2,2
48-02516,51,1,1,1,1,1,3,1,1,6290,7,5,34000.0,5,60,N,2,2,2,2
48-02516,76,2,4,0,1,0,2,1,1,N,N,4,14600.0,3,145,N,2,2,2,2
48-02507,54,1,1,0,2,0,3,1,1,8180,12,10,80000.0,8,501,4,2,2,2,2
48-02515,37,1,1,0,1,0,2,1,1,4270,5,9,48400.0,7,501,N,2,2,2,2
48-02101,73,1,2,0,1,0,4,1,1,7770,10,8,42000.0,6,210,N,2,2,2,2
48-02516,16,1,6,0,1,2,3,1,2,4890,6,4,6000.0,2,190,N,2,2,2,2
48-02515,57,1,5,0,1,0,2,1,1,6970,9,11,135000.0,9,501,N,2,2,2,2
48-02102,33,1,1,0,1,1,3,1,1,7280,10,11,79200.0,8,501,5,2,2,2,2
48-02516,21,1,6,0,2,0,6,1,1,9290,15,7,4500.0,2,460,N,2,2,2,2
48-02515,92,2,3,0,1,0,N,1,1,N,N,5,20000.0,4,164,N,2,1,2,1
48-02102,15,1,6,0,1,0,3,1,1,N,N,3,-2100.0,0,501,N,2,2,2,2
48-02510,20,2,6,0,1,0,2,1,2,5391,6,8,12000.0,3,307,N,2,2,2,2
48-02101,34,1,1,0,1,0,3,1,1,6680,8,9,35000.0,5,214,N,2,2,2,2
48-02515,63,1,1,0,1,0,2,1,1,3580,4,9,57600.0,7,501,N,2,2,2,2
48-02102,73,2,3,0,1,0,N,1,1,N,N,5,25000.0,4,208,N,2,1,2,2
48-02102,67,2,4,0,1,0,6,1,1,N,N,4,14100.0,3,443,N,2,2,2,2
48-02510,79,2,4,0,1,0,N,1,1,7072,9,7,21000.0,4,163,N,2,2,2,2
48-02101,11,1,N,0,2,4,6,1,1,N,N,3,N,N,257,N,2,2,2,2
48-02510,57,1,4,0,1,0,N,1,2,5690,6,7,40700.0,6,328,N,2,1,2,2
48-02515,29,1,1,1,1,3,4,1,2,770,3,7,59600.0,7,321,N,2,2,2,2
48-02102,57,2,1,0,1,0,5,1,1,7580,10,5,22400.0,4,501,N,2,2,2,2
48-02507,58,1,1,0,1,0,4,1,1,7860,11,10,71010.0,8,501,N,2,2,2,2
48-02101,11,2,N,1,1,2,4,1,1,N,N,3,N,N,501,N,2,2,2,2
48-02507,85,2,3,0,1,0,N,1,1,N,N,6,80000.0,8,501,N,2,2,2,2
48-02101,52,2,1,0,1,0,3,1,1,7860,11,9,55000.0,7,501,N,2,2,2,2
48-02510,38,2,1,0,1,2,4,1,1,7980,12,10,61000.0,7,501,N,2,2,2,2
48-02101,92,2,3,1,1,0,N,1,1,N,N,5,10500.0,3,72,N,2,1,2,2
48-02102,73,1,1,0,1,0,2,1,1,N,N,9,4800.0,2,108,N,2,2,2,2
48-02102,14,1,N,0,1,0,7,1,1,N,N,3,N,N,309,N,2,2,2,2
48-02516,48,2,1,0,1,1,3,1,1,N,N,9,13200.0,3,324,N,2,2,2,2
48-02101,23,2,6,1,1,2,3,1,2,7370,10,7,45000.0,6,285,N,2,2,2,2
48-02510,55,1,1,0,1,1,3,1,1,3095,4,9,105000.0,9,501,N,2,2,2,2
48-02510,40,2,1,0,1,2,4,1,1,7860,11,10,55000.0,7,501,N,2,2,2,2
48-02510,2,1,N,0,1,3,4,1,1,N,N,N,N,N,501,N,N,N,2,2
48-02101,4,2,N,0,1,3,5,1,1,N,N,2,N,N,252,N,N,N,2,2
48-02507,2,2,N,0,2,0,5,1,1,N,N,N,N,N,501,N,N,N,2,2
48-02510,74,1,4,0,1,0,N,1,1,N,N,9,40200.0,6,330,N,2,1,2,2
48-02101,12,2,N,0,1,3,5,1,1,N,N,3,N,N,394,N,2,2,2,2
48-02102,18,1,6,1,8,2,7,1,1,8680,14,4,1700.0,1,245,N,2,2,2,2
48-02102,4,1,N,0,1,2,4,1,1,N,N,1,N,N,324,N,N,N,2,2
48-02516,70,2,1,0,1,0,2,1,1,7860,11,7,20000.0,4,425,N,2,1,2,1
48-02102,71,1,3,0,1,0,2,1,1,N,N,6,14100.0,3,123,N,2,1,2,2
48-02507,15,1,6,0,1,4,6,1,1,N,N,4,0.0,0,207,N,2,2,2,2
48-02515,15,2,6,0,1,2,4,1,1,N,N,4,180.0,1,117,N,2,2,2,2
48-02102,53,2,1,4,8,1,3,1,1,8080,12,9,67000.0,8,501,N,2,2,1,2
48-02516,72,1,4,0,1,0,N,1,1,N,N,7,78200.0,8,501,2,2,2,2,2
48-02515,40,1,2,3,1,0,3,1,2,4770,6,5,12300.0,3,501,N,2,2,2,2
48-02101,13,2,N,0,1,1,5,1,1,N,N,3,N,N,197,N,2,2,2,2
48-02101,2,2,N,1,1,4,6,1,1,N,N,N,N,N,221,N,N,N,2,2
48-02516,67,1,4,0,1,0,N,1,1,6190,7,9,24000.0,4,184,N,2,2,2,2
48-02516,19,2,6,1,1,0,4,1,1,8590,14,7,12000.0,3,326,N,2,2,2,2
