"SEX","MSP","RAC1P","OWN_RENT","PINCP_DECILE","HISP","PUMA","AGEP","NOC","NPF","POVPIP"
1,"1",1,1,"7",0,"48-02510",77,"0","2","381"
2,"6",1,1,"4",0,"48-02102",29,"0","N","152"
1,"1",1,1,"9",0,"48-02101",58,"1","3","501"
1,"N",1,1,"N",0,"48-02101",6,"2","3","184"
1,"3",1,1,"6",0,"48-02102",84,"0","N","319"
1,"4",1,1,"7",0,"48-02515",56,"3","4","377"
2,"1",1,1,"5",0,"48-02101",38,"2","4","468"
2,"1",1,1,"2",0,"48-02101",84,"0","2","186"
2,"1",1,1,"2",0,"48-02101",44,"3","5","279"
1,"6",1,2,"6",0,"48-02515",25,"0","N","296"
2,"1",1,1,"0",0,"48-02102",32,"2","4","337"
2,"1",1,1,"5",0,"48-02510",64,"0","2","501"
1,"6",1,2,"0",0,"48-02102",19,"0","2","334"
2,"4",1,1,"8",0,"48-02101",57,"0","N","501"
1,"4",1,1,"8",0,"48-02102",38,"3","7","257"
2,"N",1,2,"N",0,"48-02101",0,"1","3","501"
1,"4",1,1,"7",1,"48-02102",47,"0","3","501"
2,"6",1,2,"3",0,"48-02101",22,"1","2","166"
1,"N",1,1,"N",2,"48-02507",13,"2","4","115"
2,"2",1,0,"1",0,"48-02102",61,"N","N","N"
2,"1",1,1,"2",0,"48-02516",28,"2","4","501"
2,"1",1,1,"9",0,"48-02507",46,"3","6","501"
1,"2",1,0,"1",0,"48-02515",40,"N","N","0"
1,"N",1,1,"N",0,"48-02102",0,"2","4","467"
2,"6",6,1,"0",0,"48-02102",41,"0","2","150"
1,"6",1,0,"6",0,"48-02515",47,"N","N","N"
1,"1",1,1,"7",0,"48-02507",46,"2","4","437"
2,"1",8,1,"0",1,"48-02101",44,"0","5","412"
1,"6",1,2,"5",0,"48-02515",33,"0","N","202"
1,"N",1,2,"N",0,"48-02101",12,"1","2","166"
2,"1",6,1,"0",0,"48-02516",72,"0","3","304"
2,"3",1,1,"4",0,"48-02510",68,"0","N","149"
2,"3",1,1,"8",0,"48-02510",78,"0","N","501"
2,"6",1,2,"8",1,"48-02101",27,"0","N","501"
2,"1",1,1,"0",0,"48-02515",60,"0","4","501"
1,"1",1,1,"4",0,"48-02102",79,"0","2","416"
1,"1",1,1,"9",0,"48-02102",32,"3","5","465"
2,"4",1,1,"8",0,"48-02510",61,"0","N","501"
2,"N",1,2,"N",2,"48-02516",8,"3","5","33"
2,"6",1,1,"8",0,"48-02101",37,"0","3","501"
1,"1",1,1,"7",0,"48-02101",71,"0","2","272"
2,"6",1,1,"4",1,"48-02101",23,"1","5","254"
1,"4",1,1,"3",0,"48-02510",30,"0","2","422"
1,"1",1,1,"9",0,"48-02515",68,"0","3","501"
2,"N",1,1,"N",0,"48-02507",11,"3","5","338"
1,"N",1,1,"N",0,"48-02101",3,"0","6","197"
2,"6",1,2,"6",1,"48-02101",23,"1","2","340"
1,"N",1,1,"N",1,"48-02101",11,"2","4","86"
2,"1",1,1,"0",0,"48-02101",59,"0","4","501"
2,"1",1,1,"5",0,"48-02507",33,"1","3","280"
1,"4",2,1,"8",0,"48-02507",56,"0","N","501"
1,"5",1,2,"6",1,"48-02102",46,"0","N","301"
2,"4",1,1,"9",0,"48-02510",57,"0","N","501"
2,"N",1,1,"N",0,"48-02515",0,"2","3","501"
1,"6",1,1,"8",0,"48-02102",63,"0","N","501"
1,"6",1,1,"6",0,"48-02101",51,"0","2","501"
1,"1",1,2,"7",1,"48-02510",30,"2","5","422"
1,"1",1,1,"9",0,"48-02507",56,"0","2","501"
2,"1",1,1,"8",0,"48-02510",72,"0","2","501"
2,"2",1,0,"2",0,"48-02101",79,"N","N","N"
1,"6",1,1,"2",0,"48-02507",37,"0","2","501"
1,"N",1,1,"N",0,"48-02101",13,"0","7","382"
2,"6",1,1,"9",0,"48-02102",54,"0","N","501"
2,"1",1,1,"9",0,"48-02102",78,"0","3","501"
1,"1",1,1,"9",0,"48-02510",36,"2","4","501"
2,"N",8,2,"N",4,"48-02516",12,"3","4","89"
2,"6",1,1,"4",0,"48-02101",21,"0","3","501"
1,"6",1,1,"3",0,"48-02515",37,"0","N","88"
2,"1",1,1,"0",0,"48-02516",58,"0","3","501"
2,"1",1,1,"4",0,"48-02101",71,"0","2","501"
1,"6",1,1,"3",0,"48-02507",48,"0","N","107"
