SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP,target
1,1,1,1,6,0,48-02101,74,0,2,5,1686
1,1,1,1,N,1,48-02102,42,0,5,219,8514
1,1,1,1,6,0,48-02101,46,0,2,500,1890
2,4,1,0,6,0,48-02102,73,6,2,5,6875
1,4,1,1,5,1,48-02101,45,0,6,480,1905
1,1,1,1,5,0,48-02102,74,0,N,35,375
2,1,1,1,6,0,48-02101,42,3,3,500,8454
2,3,1,1,5,1,48-02102,72,0,N,66,0
1,1,1,1,0,3,48-02516,70,0,3,500,6607
1,1,1,1,6,0,48-02516,76,0,2,496,1424
2,1,1,1,6,1,48-02101,42,0,3,5,2491
2,N,1,1,9,1,48-02102,7,4,6,499,5092
1,1,1,1,6,0,48-02102,73,0,2,5,1355
2,N,1,1,N,1,48-02510,9,2,6,500,8813
1,6,1,2,6,1,48-02101,29,0,N,372,0
2,N,1,2,9,0,48-02101,6,4,6,122,8744
1,1,1,1,6,0,48-02101,74,0,2,499,1596
1,1,1,1,6,0,48-02101,76,0,3,500,1803
1,1,1,1,6,4,48-02101,40,4,6,57,615
1,3,1,0,5,0,48-02101,71,0,N,489,0
1,1,1,1,5,0,48-02102,72,N,2,471,1099
1,1,1,1,6,0,48-02101,78,0,2,498,1290
2,6,1,2,4,4,48-02102,27,0,N,337,600
1,1,1,1,8,1,48-02101,76,0,2,5,1863
1,1,1,1,6,0,48-02101,77,0,2,499,136
2,2,1,1,5,0,48-02102,69,0,N,125,497
1,2,6,1,5,2,48-02507,42,1,4,52,4316
1,1,1,1,7,0,48-02101,79,0,2,498,912
1,1,1,1,5,0,48-02102,71,0,4,501,1909
2,N,1,1,N,1,48-02101,6,1,8,5,8745
1,3,1,0,5,0,48-02102,75,0,N,493,0
1,N,1,1,N,1,48-02101,3,4,7,500,8762
2,N,1,2,N,0,48-02101,3,3,6,211,8909
1,1,1,1,5,0,48-02510,62,0,2,500,2179
1,1,1,1,6,0,48-02101,77,0,2,5,702
2,N,1,1,6,1,48-02515,72,3,3,330,6538
1,3,1,0,6,1,48-02101,58,0,2,132,432
1,4,1,2,2,0,48-02101,8,N,4,234,1709
1,1,1,1,7,0,48-02101,70,0,2,5,587
1,1,1,1,7,0,48-02510,73,0,3,498,5666
1,1,1,1,6,0,48-02510,73,0,3,5,1960
1,1,1,1,8,0,48-02510,39,4,5,500,8503
1,6,9,2,N,0,48-02510,6,N,8,484,7017
2,3,1,0,0,1,48-02507,71,0,N,233,268
1,N,1,1,9,0,48-02510,9,3,3,500,8266
1,1,1,1,8,0,48-02515,60,0,2,135,1790
1,1,1,1,6,0,48-02102,69,0,2,5,1825
1,1,1,1,7,0,48-02101,76,0,2,500,1669
1,1,1,1,6,1,48-02510,73,0,2,499,2007
2,1,1,1,6,0,48-02101,77,0,2,207,75
1,1,1,1,7,0,48-02507,75,0,2,499,1176
1,1,1,1,6,0,48-02507,60,0,3,500,174
1,1,8,1,6,0,48-02101,73,0,2,499,2595
2,1,1,1,0,1,48-02516,9,N,8,118,4883
2,N,1,1,3,0,48-02101,11,3,7,499,8290
1,1,1,1,7,0,48-02101,43,0,2,499,1098
1,1,1,1,6,1,48-02102,69,0,2,500,1515
1,3,1,0,5,1,48-02507,75,0,N,371,401
1,1,1,1,7,0,48-02101,81,0,2,498,890
1,3,1,1,5,0,48-02102,71,0,N,64,678
1,1,8,1,9,0,48-02101,7,1,3,345,7649
1,1,1,1,5,0,48-02102,71,2,5,364,458
1,N,1,1,N,1,48-02101,6,3,4,5,8385
1,3,1,1,5,1,48-02102,75,0,N,364,0
1,1,1,1,6,0,48-02101,77,0,2,500,667
2,N,1,1,9,0,48-02102,56,0,3,215,8251
1,1,1,1,7,0,48-02102,75,0,2,499,965
1,1,1,1,6,0,48-02101,79,0,2,500,1536
1,1,1,1,6,1,48-02101,43,0,7,500,4451
1,1,1,1,7,0,48-02102,79,0,2,499,71
1,N,1,1,9,0,48-02101,8,2,6,24,8738
1,1,1,1,6,1,48-02101,76,0,3,501,1471
2,N,1,1,N,1,48-02102,7,3,6,5,8809
1,1,1,1,N,4,48-02510,25,4,7,500,6635
2,6,1,2,5,0,48-02101,71,0,N,362,259
1,N,1,1,5,0,48-02101,8,0,N,501,399
1,1,1,1,7,0,48-02102,78,0,2,499,0
1,1,1,1,7,0,48-02507,78,0,3,499,1297
1,1,1,1,6,0,48-02101,76,0,2,378,0
2,1,1,1,5,0,48-02101,75,0,8,400,6534
1,1,1,1,6,4,48-02102,79,0,3,343,1263
2,N,1,1,N,0,48-02101,3,3,6,207,8627
1,1,1,1,7,0,48-02102,75,0,6,499,1403
1,1,1,1,6,0,48-02101,66,0,2,497,1065
1,1,1,1,6,0,48-02101,62,0,2,5,1588
1,1,1,1,9,0,48-02102,83,0,2,498,744
1,1,1,1,5,0,48-02101,70,0,2,501,1340
1,1,1,1,8,0,48-02515,78,0,2,497,1204
1,4,1,1,6,0,48-02101,74,0,2,347,5781
1,1,1,1,6,0,48-02101,77,0,6,500,508
1,1,1,1,6,0,48-02102,72,0,2,499,838
1,1,1,1,6,0,48-02101,69,0,3,5,1867
1,1,1,1,9,0,48-02516,57,0,2,499,4543
2,N,1,2,9,1,48-02101,6,3,7,222,8414
2,N,1,1,N,1,48-02101,1,3,6,211,8687
2,1,1,1,6,1,48-02101,78,0,2,499,1530
2,N,1,1,N,0,48-02101,2,3,7,219,8916
1,1,1,1,5,0,48-02102,75,0,2,500,1948
1,1,1,0,6,0,48-02101,70,0,3,331,441
2,1,1,1,6,0,48-02101,74,0,7,501,775
2,1,1,1,6,0,48-02101,71,0,3,348,172
1,1,1,1,6,0,48-02101,46,0,2,499,6269
1,4,1,1,5,0,48-02510,72,0,3,5,271
