PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP,target
48-02516,11,2,N,0,1,0,6,1,0,357.4,9870,N,2,N,9,5,N,N,N,2,2,107,227,7959
48-02516,53,2,1,0,1,0,2,1,1,357.4,7290,N,5,N,8,298,N,2,2,2,2,329,215,5717
48-02515,81,2,1,0,1,0,2,1,2,357.4,4680,N,3,21700.0,0,357,N,2,2,2,1,55,38,3934
48-02507,81,1,6,0,1,0,2,1,1,450.9,9920,N,3,168300.0,9,35,1,1,2,2,2,99,36,8173
48-02510,64,1,1,1,1,0,13,1,2,2134.8,1490,8,1,N,8,157,N,2,2,2,2,107,56,3795
48-02102,38,1,1,0,9,1,2,1,1,1338.4,6991,14,5,840000.0,5,297,N,2,2,2,2,306,346,3585
48-02510,52,1,1,0,1,0,4,1,1,1338.4,6590,13,6,N,6,498,N,2,2,2,2,107,145,3476
48-02102,9,1,N,0,1,3,3,1,1,450.9,9870,N,3,N,9,3,N,2,2,2,2,63,69,7613
48-02516,48,1,1,0,1,0,N,1,0,357.4,7490,11,4,53000.0,4,481,3,1,N,2,2,158,253,3848
48-02516,53,1,1,1,1,2,7,1,1,1338.4,6690,18,8,N,5,457,N,2,2,2,2,321,248,6106
48-02102,92,1,3,0,1,0,2,1,1,450.9,9790,N,8,2700.0,5,311,N,1,2,2,1,62,12,961
48-02101,11,2,N,1,1,N,5,1,1,357.4,9790,N,3,N,N,500,N,2,N,2,2,89,66,8318
48-02516,50,2,6,0,2,2,3,1,1,1338.4,7680,13,10,73900.0,0,192,N,2,2,2,2,317,69,1014
48-02101,64,2,1,0,1,0,5,2,1,357.4,6870,12,9,54700.0,8,219,N,2,2,1,2,42,41,8233
48-02510,50,2,N,0,3,3,4,1,2,3092.4,7580,11,7,100.0,7,121,6,2,2,2,2,470,39,446
48-02102,47,1,3,0,1,N,2,1,1,3731.1,4585,N,8,27020.0,8,499,N,2,2,2,2,64,20,771
48-02515,84,2,5,1,2,0,N,1,1,450.9,9920,N,10,18700.0,2,330,N,1,1,2,2,60,131,180
48-02102,76,1,1,0,1,0,N,1,1,450.9,7270,N,4,124500.0,4,322,N,2,2,2,2,62,20,0
48-02101,11,1,N,0,1,2,5,1,1,357.4,9870,N,3,N,9,236,N,2,2,2,2,98,87,8002
48-02101,11,1,N,1,1,0,3,1,1,3092.4,9920,N,3,N,9,5,N,N,N,2,2,94,37,8326
48-02516,31,2,6,1,8,3,3,1,1,1338.4,9870,16,3,10800.0,2,240,N,2,2,2,2,147,277,8208
48-02507,31,1,1,1,9,1,N,1,2,1338.4,6880,12,9,72030.0,5,150,N,2,2,2,2,196,188,2830
48-02102,28,1,1,0,1,0,3,1,1,3092.4,7080,11,4,30400.0,6,355,N,2,2,2,2,145,49,3868
48-02516,50,1,1,0,2,N,2,1,1,1338.4,6991,16,6,N,4,5,N,2,2,2,2,305,32,4027
48-02516,51,1,N,0,1,2,2,1,1,357.4,7080,16,5,74200.0,6,499,N,2,2,2,2,152,307,406
48-02516,11,1,N,1,1,2,3,1,1,357.4,9870,N,3,N,9,234,N,2,2,2,2,275,85,8240
48-02101,53,1,1,0,1,0,3,1,1,3092.4,7990,N,7,16100.0,1,106,N,1,2,1,2,62,87,0
48-02516,49,1,1,0,1,2,4,1,1,1338.4,5593,13,8,N,5,497,N,2,2,2,2,92,72,3372
48-02507,11,1,N,0,1,1,5,1,2,450.9,6970,N,7,N,0,332,N,N,2,2,2,52,212,8261
48-02102,36,1,3,3,9,0,7,1,0,450.9,8080,7,6,59000.0,8,374,N,2,2,2,1,93,81,336
48-02510,73,2,1,0,1,0,3,1,1,3092.4,6280,N,6,N,8,498,N,2,2,2,2,106,70,2802
48-02101,34,2,N,1,1,2,5,1,1,1338.4,6490,N,2,80200.0,6,113,N,2,2,2,2,274,155,8187
48-02515,66,1,1,0,1,0,2,1,1,3092.4,1070,N,7,124400.0,8,497,N,2,2,2,2,54,24,18
48-02507,72,2,1,0,1,0,2,1,1,3731.1,7770,N,3,N,5,294,N,2,2,2,2,62,19,1492
48-02510,71,1,1,0,1,0,6,3,1,3092.4,670,N,1,N,8,116,N,2,2,2,2,309,19,0
48-02516,44,2,1,1,1,11,3,1,2,3731.1,7570,15,9,83000.0,2,31,N,N,2,2,2,349,247,3904
48-02102,92,2,3,1,1,0,2,1,1,450.9,9790,N,9,25650.0,N,347,N,1,1,2,2,50,10,1333
48-02102,83,1,1,0,1,0,N,1,1,3731.1,7181,N,1,N,8,108,N,2,2,1,2,102,286,2796
48-02507,60,1,1,0,1,0,N,1,1,3731.1,6470,14,6,N,5,275,N,2,2,2,2,218,23,2463
48-02102,66,1,1,0,1,0,4,1,1,3731.1,4780,N,8,N,8,497,N,2,2,2,2,93,7,153
48-02102,20,1,1,0,1,0,2,1,2,450.9,9870,N,7,24300.0,0,498,N,1,2,2,2,51,0,736
48-02516,45,2,6,0,3,4,4,1,1,1338.4,6890,18,4,64880.0,6,261,N,2,2,2,2,105,60,1518
48-02102,76,1,3,0,1,0,N,1,1,450.9,9870,N,4,N,2,348,N,1,2,1,2,59,34,135
48-02507,40,1,1,0,1,0,2,1,1,3731.1,5381,14,5,N,5,254,N,2,2,2,2,367,42,2605
48-02516,47,1,1,0,1,4,6,1,1,3731.1,6380,16,9,64830.0,8,498,N,2,2,2,2,280,38,3178
48-02516,36,1,6,1,6,2,6,1,2,357.4,7680,12,5,N,2,318,N,1,2,2,2,400,102,6185
48-02101,9,1,N,0,1,3,5,1,1,357.4,9790,N,3,N,9,2,N,N,N,2,2,103,80,7754
48-02102,40,1,6,0,1,N,2,1,1,450.9,6780,14,5,990.0,4,177,N,2,2,2,2,109,205,0
48-02102,34,2,3,1,1,0,7,1,1,3092.4,4490,17,7,60000.0,8,497,N,2,1,2,2,41,13,222
48-02101,4,2,N,0,1,6,6,1,1,357.4,9790,N,N,N,N,465,N,1,2,2,2,98,60,5924
48-02516,49,1,4,0,1,0,N,1,1,1338.4,7270,12,8,79600.0,5,194,N,2,2,2,2,100,37,3464
48-02507,45,1,4,0,1,0,2,1,1,3092.4,580,7,1,61000.0,5,498,N,2,2,2,2,43,23,2941
48-02101,92,1,1,0,1,0,2,1,2,2134.8,4090,N,1,N,8,326,N,2,2,2,2,57,1,2878
48-02515,83,1,6,0,9,0,4,1,0,3731.1,9920,N,8,23800.0,0,221,N,2,2,2,2,60,61,3535
48-02101,10,1,N,1,1,2,5,1,2,357.4,9790,N,2,N,N,135,N,N,2,2,2,97,77,8119
48-02101,30,2,1,1,9,1,5,1,1,1338.4,6991,14,5,82800.0,5,448,N,2,2,2,2,182,205,3018
48-02516,39,1,1,0,9,4,3,1,1,3731.1,6870,17,7,107400.0,8,498,N,2,2,2,2,318,249,1269
48-02510,60,1,1,0,1,0,4,1,1,3092.4,2670,7,8,180.0,8,56,N,2,2,2,2,77,68,6562
48-02510,9,1,1,0,9,2,2,1,2,357.4,9790,N,5,N,9,500,N,1,2,2,2,53,89,6107
48-02515,69,1,1,0,1,0,2,1,1,3731.1,9770,17,5,N,5,496,N,2,2,2,2,51,0,2680
48-02507,56,1,6,0,2,1,2,1,1,3731.1,6695,9,6,117300.0,5,490,N,2,2,2,2,70,45,972
48-02510,52,1,1,0,1,0,3,1,2,3731.1,7370,12,8,56200.0,2,317,N,2,2,2,2,313,77,3325
48-02507,63,2,N,0,9,0,4,1,1,450.9,9870,N,9,N,9,368,N,2,1,2,2,64,27,1196
48-02102,90,1,1,0,1,0,2,1,1,450.9,1070,N,4,N,4,499,N,2,2,2,2,65,12,3207
