,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE,DEYE
PUMA,0.0,0.025858424349433536,0.0068953127355586945,0.05694868675861244,-0.08113709598309596,0.0016925889845258585,-0.05187939852303554,-0.052964676420510615,0.04514654194762235,0.00237643125923236,-0.007736424270955382
AGEP,0.025858424349433536,0.0,-0.042683789223634756,-0.005239396497342334,0.09017150485644035,0.05772575176392926,0.19959371440538123,0.11978479475807377,0.1316961349694568,-0.3571598795580988,0.11185242583091885
SEX,0.0068953127355586945,-0.04268378922363476,0.0,-0.0045914449696007695,0.00024403101367418203,-0.024435586364395964,-0.014879244643530586,-0.005422039654547018,-0.00679010351293596,0.062045592335249956,-0.009653789821728025
MSP,0.05694868675861244,-0.005239396497342327,-0.0045914449696007695,-2.220446049250313e-16,-0.005227324248666432,-0.04313090805220618,0.11275210069342301,0.0018930049955810935,-0.08823398037885653,-0.1694343283112273,0.03255495174020765
HISP,-0.08113709598309596,0.09017150485644035,0.00024403101367418203,-0.005227324248666432,2.220446049250313e-16,-0.0693937464306221,-0.06704581379254677,-0.0802899288985829,-0.08728736565146647,0.040800217583426446,-0.016364961040112258
RAC1P,0.0016925889845258585,0.05772575176392927,-0.024435586364395964,-0.04313090805220618,-0.0693937464306221,0.0,-0.03157420066243277,-0.09070896192021861,-0.14162552633690173,0.10798733019670069,0.0017464830124754131
NOC,-0.05187939852303554,0.19959371440538126,-0.014879244643530585,0.11275210069342301,-0.06704581379254677,-0.031574200662432765,0.0,-0.0070666842921846,-0.18986993944194633,0.19518182487799757,-0.055503145825532
NPF,-0.05296467642051062,0.11978479475807374,-0.005422039654547018,0.0018930049955810935,-0.08028992889858289,-0.09070896192021863,-0.007066684292184489,0.0,0.00442156876166656,0.2216030888638204,-0.05737781060910936
OWN_RENT,0.04514654194762235,0.13169613496945679,-0.00679010351293596,-0.08823398037885655,-0.08728736565146647,-0.14162552633690173,-0.18986993944194633,0.00442156876166656,1.1102230246251565e-16,-0.0024851022158104523,0.0062570933973825245
PINCP_DECILE,0.002376431259232361,-0.3571598795580988,0.062045592335249956,-0.1694343283112273,0.04080021758342644,0.10798733019670068,0.19518182487799754,0.2216030888638204,-0.0024851022158104454,0.0,0.005047014890461315
DEYE,-0.007736424270955382,0.11185242583091885,-0.009653789821728025,0.03255495174020766,-0.016364961040112258,0.0017464830124754131,-0.055503145825532,-0.05737781060910936,0.006257093397382523,0.0050470148904613165,2.220446049250313e-16
