,AGEP_x,DEYE_x,HISP,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,DEYE_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,17,2,3,N,0,2,2,3,103,06-07502,1,1,12,2,3,5,N,371,16.666666666666664
1,51,2,1,N,0,4,1,3,501,38-00100,8,1,14,2,4,6,N,501,33.33333333333333
2,68,2,0,4,0,5,1,8,501,29-01901,6,1,81,2,0,N,9,501,50.0
3,1,2,4,N,2,3,2,N,501,51-01301,1,1,12,2,1,2,N,108,33.33333333333333
4,67,2,4,2,0,N,1,N,282,38-00100,1,2,41,2,1,7,0,501,16.666666666666664
5,38,2,1,6,3,3,2,8,177,51-51255,1,2,38,2,0,N,9,501,33.33333333333333
6,34,2,4,2,0,2,1,3,416,51-01301,1,2,16,2,1,4,1,501,16.666666666666664
7,35,2,1,6,0,5,1,2,302,08-00803,9,2,28,2,1,4,2,501,33.33333333333333
8,7,2,4,N,2,N,2,6,501,17-03531,1,1,13,2,1,4,N,298,16.666666666666664
9,14,2,0,5,2,N,0,0,95,51-01301,2,1,56,2,N,N,1,15,33.33333333333333
10,28,2,0,2,2,N,0,6,129,40-00200,1,2,84,2,N,N,3,N,33.33333333333333
11,10,2,4,6,3,4,1,1,501,13-04600,1,1,33,2,0,N,2,45,16.666666666666664
12,16,2,4,4,2,3,2,7,317,30-00600,1,2,52,2,2,3,8,360,50.0
13,15,2,0,3,1,N,1,8,109,17-03531,8,2,82,2,0,N,3,119,33.33333333333333
14,5,2,1,6,3,7,1,6,341,51-01301,1,2,62,2,0,2,2,123,16.666666666666664
15,35,2,4,N,0,2,1,6,231,06-07502,1,2,4,2,1,3,N,501,16.666666666666664
16,56,2,2,6,0,2,2,1,501,38-00100,9,2,19,2,0,N,1,52,50.0
17,20,2,0,5,N,2,2,0,216,40-00200,1,2,48,2,0,4,2,34,16.666666666666664
18,75,2,0,2,0,2,1,0,35,06-08507,1,1,45,2,0,N,2,81,33.33333333333333
19,75,2,2,4,0,N,2,2,116,17-03531,2,2,40,2,1,2,7,304,16.666666666666664
20,44,2,0,1,0,2,1,7,501,26-02702,9,2,48,2,1,3,9,501,33.33333333333333
21,33,2,0,3,1,3,1,6,501,06-08507,2,1,53,2,2,3,9,501,50.0
22,28,2,1,1,0,10,1,3,24,13-04600,8,2,57,1,0,3,0,261,16.666666666666664
23,26,2,4,6,0,6,0,3,103,26-02702,1,2,22,2,N,N,4,N,16.666666666666664
24,32,2,4,N,0,2,2,N,501,17-03529,1,1,1,2,4,5,N,191,33.33333333333333
25,73,2,1,5,0,3,1,0,501,32-00405,8,2,64,2,0,2,0,28,50.0
26,46,2,1,6,0,8,1,0,130,26-02702,1,1,57,2,0,2,1,259,33.33333333333333
27,10,2,0,N,3,N,0,0,75,19-01700,2,2,8,2,N,N,N,N,33.33333333333333
28,24,2,0,4,0,N,2,7,109,17-03529,8,2,55,1,0,N,1,27,33.33333333333333
29,47,2,0,4,0,N,2,5,0,24-01004,9,2,80,2,0,N,5,360,66.66666666666666
30,58,2,1,N,0,N,1,8,451,30-00600,9,2,12,2,3,6,N,63,16.666666666666664
31,26,2,0,4,0,3,1,9,501,32-00405,3,1,66,2,0,5,3,370,33.33333333333333
32,2,2,0,N,3,2,1,N,417,32-00405,8,2,8,2,4,6,N,102,33.33333333333333
33,88,2,2,1,0,5,2,N,501,51-01301,1,1,42,2,2,4,7,282,16.666666666666664
34,61,2,4,3,1,2,2,6,210,51-01301,1,2,56,2,0,2,5,187,33.33333333333333
35,9,2,1,1,N,2,2,0,417,28-01100,9,2,33,2,0,2,9,501,33.33333333333333
36,39,2,1,6,0,5,0,3,501,17-03529,1,2,18,2,N,N,0,N,16.666666666666664
37,41,2,0,5,2,N,2,0,367,24-01004,3,2,76,2,0,N,3,146,33.33333333333333
38,20,2,0,5,N,2,2,0,56,28-01100,1,2,33,2,1,2,5,114,33.33333333333333
39,31,2,2,6,0,N,1,9,N,51-51255,1,1,56,2,0,N,9,501,66.66666666666666
40,32,2,4,N,3,N,2,4,N,32-00405,9,2,0,2,5,6,N,71,16.666666666666664
41,32,2,2,1,3,4,2,5,501,32-00405,1,2,28,2,3,5,0,3,33.33333333333333
42,16,2,2,6,0,2,2,N,N,17-03531,1,1,61,2,0,N,2,68,33.33333333333333
43,83,2,4,6,0,2,1,9,N,17-03529,2,2,25,2,0,2,2,118,50.0
44,8,2,4,1,N,4,2,5,501,38-00100,9,1,23,2,1,3,9,501,33.33333333333333
45,15,2,0,3,1,7,1,1,73,36-03710,2,1,60,2,0,N,4,157,16.666666666666664
46,29,2,0,4,2,2,2,9,501,24-01004,9,1,84,2,0,N,7,501,33.33333333333333
47,12,2,4,N,0,N,1,0,501,19-01700,1,2,14,2,3,4,N,233,16.666666666666664
48,26,2,1,N,0,2,2,N,501,30-00600,1,2,7,2,1,2,N,218,50.0
49,51,2,1,2,0,2,2,N,501,32-00405,1,1,53,2,1,3,3,157,16.666666666666664
50,6,2,0,2,2,2,1,9,315,19-01700,6,1,56,2,1,6,5,390,16.666666666666664
51,81,2,0,2,2,2,2,N,501,51-01301,1,1,43,2,1,2,9,501,50.0
