SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP_CAT
1.0,1,1.0,1.0,0,8,0.0,48-02101,N
1.0,1,1.0,1.0,0,8,0.0,48-02101,N
1.0,1,1.0,1.0,0,8,0.0,48-02101,N
1.0,1,1.0,1.0,0,8,0.0,48-02101,N
1.0,1,1.0,1.0,0,8,0.0,48-02102,N
1.0,1,1.0,1.0,0,8,0.0,48-02102,N
1.0,1,1.0,1.0,0,8,0.0,48-02102,N
1.0,1,1.0,1.0,0,8,0.0,48-02510,N
1.0,1,1.0,1.0,0,8,0.0,48-02510,N
1.0,1,1.0,1.0,0,8,0.0,48-02515,N
1.0,1,1.0,1.0,0,8,0.0,48-02515,N
1.0,1,1.0,1.0,0,8,0.0,48-02515,N
1.0,1,1.0,1.0,0,8,0.0,48-02515,N
1.0,1,1.0,1.0,0,8,1.0,48-02101,N
1.0,1,1.0,1.0,0,8,1.0,48-02101,N
1.0,1,1.0,1.0,0,8,1.0,48-02102,N
1.0,1,1.0,1.0,0,8,1.0,48-02102,N
1.0,1,1.0,1.0,0,8,1.0,48-02515,N
1.0,1,1.0,1.0,0,8,1.0,48-02515,N
1.0,1,1.0,1.0,0,9,0.0,48-02101,6
1.0,1,1.0,1.0,0,9,0.0,48-02101,N
1.0,1,1.0,1.0,0,9,0.0,48-02101,N
1.0,1,1.0,1.0,0,9,0.0,48-02101,N
1.0,1,1.0,1.0,0,9,0.0,48-02101,N
1.0,1,1.0,1.0,0,9,0.0,48-02101,N
1.0,1,1.0,1.0,0,9,0.0,48-02507,9
1.0,1,1.0,1.0,0,9,0.0,48-02507,9
1.0,1,1.0,1.0,0,9,0.0,48-02507,N
1.0,1,1.0,1.0,0,9,0.0,48-02507,N
1.0,1,1.0,1.0,0,9,0.0,48-02507,N
1.0,1,1.0,1.0,0,9,0.0,48-02507,N
1.0,1,1.0,1.0,0,9,0.0,48-02507,N
1.0,1,1.0,1.0,0,9,0.0,48-02507,N
1.0,1,1.0,1.0,0,9,0.0,48-02507,N
1.0,1,1.0,1.0,0,9,0.0,48-02507,N
1.0,1,1.0,1.0,0,9,0.0,48-02507,N
1.0,1,1.0,1.0,0,9,0.0,48-02510,6
1.0,1,1.0,1.0,0,9,0.0,48-02510,N
1.0,1,1.0,1.0,0,9,0.0,48-02510,N
1.0,1,1.0,1.0,0,9,0.0,48-02510,N
1.0,1,1.0,1.0,0,9,0.0,48-02515,6
1.0,1,1.0,1.0,0,9,0.0,48-02515,N
1.0,1,1.0,1.0,0,9,0.0,48-02515,N
1.0,1,1.0,1.0,0,9,0.0,48-02515,N
1.0,1,1.0,1.0,0,9,0.0,48-02515,N
1.0,1,1.0,1.0,0,9,0.0,48-02515,N
1.0,1,1.0,1.0,0,9,0.0,48-02515,N
1.0,1,1.0,1.0,0,9,0.0,48-02515,N
1.0,1,1.0,1.0,0,9,0.0,48-02515,N
1.0,1,1.0,1.0,0,9,0.0,48-02515,N
1.0,1,1.0,1.0,0,9,0.0,48-02515,N
1.0,1,1.0,1.0,0,9,0.0,48-02515,14
1.0,1,1.0,1.0,0,9,0.0,48-02515,14
1.0,1,1.0,1.0,0,9,0.0,48-02515,14
1.0,1,1.0,1.0,0,9,0.0,48-02515,14
1.0,1,1.0,1.0,0,9,0.0,48-02515,14
1.0,1,1.0,1.0,0,9,0.0,48-02516,6
1.0,1,1.0,1.0,0,9,0.0,48-02516,6
1.0,1,1.0,1.0,0,9,0.0,48-02516,6
1.0,1,1.0,1.0,0,9,0.0,48-02516,6
1.0,1,1.0,1.0,0,9,0.0,48-02516,6
1.0,1,1.0,1.0,0,9,0.0,48-02516,N
1.0,1,1.0,1.0,0,9,0.0,48-02516,N
1.0,1,1.0,1.0,0,9,0.0,48-02516,N
1.0,1,1.0,1.0,0,9,0.0,48-02516,N
1.0,1,1.0,1.0,0,9,0.0,48-02516,N
1.0,1,1.0,1.0,0,9,0.0,48-02516,N
1.0,1,1.0,1.0,0,9,1.0,48-02516,N
1.0,1,1.0,1.0,0,9,1.0,48-02516,N
1.0,1,1.0,1.0,0,3,0.0,48-02101,N
1.0,1,1.0,1.0,0,3,0.0,48-02101,N
1.0,1,1.0,1.0,0,3,0.0,48-02101,N
1.0,1,1.0,1.0,0,3,0.0,48-02101,N
1.0,1,1.0,1.0,0,3,0.0,48-02101,N
1.0,1,1.0,1.0,0,3,0.0,48-02101,N
1.0,1,1.0,1.0,0,3,0.0,48-02101,N
1.0,1,1.0,1.0,0,3,0.0,48-02101,N
1.0,1,1.0,1.0,0,3,0.0,48-02101,N
1.0,1,1.0,1.0,0,3,0.0,48-02101,N
1.0,1,1.0,1.0,0,3,0.0,48-02101,N
1.0,1,1.0,1.0,0,3,0.0,48-02101,N
1.0,1,1.0,1.0,0,3,0.0,48-02101,N
1.0,1,1.0,1.0,0,3,0.0,48-02101,N
1.0,1,1.0,1.0,0,3,0.0,48-02101,N
1.0,1,1.0,1.0,0,3,0.0,48-02101,N
1.0,1,1.0,1.0,0,3,0.0,48-02102,N
1.0,1,1.0,1.0,0,3,0.0,48-02102,N
1.0,1,1.0,1.0,0,3,0.0,48-02102,N
1.0,1,1.0,1.0,0,3,0.0,48-02102,N
1.0,1,1.0,1.0,0,3,0.0,48-02102,N
1.0,1,1.0,1.0,0,3,0.0,48-02102,N
1.0,1,1.0,1.0,0,3,0.0,48-02102,N
1.0,1,1.0,1.0,0,3,0.0,48-02102,N
1.0,1,1.0,1.0,0,3,0.0,48-02102,N
1.0,1,1.0,1.0,0,3,0.0,48-02102,N
1.0,1,1.0,1.0,0,3,0.0,48-02507,N
1.0,1,1.0,1.0,0,3,0.0,48-02507,N
1.0,1,1.0,1.0,0,3,0.0,48-02507,N
1.0,1,1.0,1.0,0,3,0.0,48-02507,N
1.0,1,1.0,1.0,0,3,0.0,48-02507,N
1.0,1,1.0,1.0,0,3,0.0,48-02507,N
1.0,1,1.0,1.0,0,3,0.0,48-02510,N
1.0,1,1.0,1.0,0,3,0.0,48-02510,N
1.0,1,1.0,1.0,0,3,0.0,48-02510,N
1.0,1,1.0,1.0,0,3,0.0,48-02510,N
1.0,1,1.0,1.0,0,3,0.0,48-02510,N
1.0,1,1.0,1.0,0,3,0.0,48-02510,N
1.0,1,1.0,1.0,0,3,0.0,48-02510,N
