SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP,DEYE
1.0,1,1.0,1.0,7,0.0,48-02510,59.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,48-02510,59.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,48-02510,59.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,48-02510,59.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,48-02510,59.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,48-02510,59.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,48-02510,59.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,48-02510,59.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,48-02510,59.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,48-02510,59.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,48-02510,59.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,48-02510,59.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,48-02510,59.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,48-02510,59.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,48-02102,47.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,48-02102,47.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,48-02102,47.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,48-02102,47.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,48-02102,47.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,48-02102,47.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,48-02102,47.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,48-02507,47.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,48-02507,47.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,48-02507,47.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,48-02507,47.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,48-02507,47.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,48-02507,47.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,48-02507,47.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,48-02507,47.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,48-02507,47.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,48-02507,47.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,48-02507,47.0,0,2,501,2.0
1.0,1,1.0,1.0,9,0.0,48-02510,60.0,0,2,501,2.0
1.0,1,1.0,1.0,9,0.0,48-02510,60.0,0,2,501,2.0
1.0,1,1.0,1.0,9,0.0,48-02510,60.0,0,2,501,2.0
1.0,1,1.0,1.0,9,0.0,48-02510,60.0,0,2,501,2.0
1.0,1,1.0,1.0,9,0.0,48-02510,60.0,0,2,501,2.0
1.0,1,1.0,1.0,9,0.0,48-02510,60.0,0,2,501,2.0
1.0,1,1.0,1.0,9,0.0,48-02510,60.0,0,2,501,2.0
1.0,1,1.0,1.0,9,0.0,48-02510,60.0,0,2,501,2.0
1.0,1,1.0,1.0,9,0.0,48-02510,60.0,0,2,501,2.0
1.0,1,1.0,1.0,9,0.0,48-02510,60.0,0,2,501,2.0
1.0,1,1.0,1.0,9,0.0,48-02510,60.0,0,2,501,2.0
1.0,6,1.0,1.0,0,0.0,48-02101,17.0,2,4,501,2.0
1.0,6,1.0,1.0,0,0.0,48-02101,17.0,2,4,501,2.0
1.0,6,1.0,1.0,0,0.0,48-02101,17.0,2,4,501,2.0
1.0,6,1.0,1.0,0,0.0,48-02101,17.0,2,4,501,2.0
1.0,6,1.0,1.0,0,0.0,48-02101,17.0,2,4,501,2.0
2.0,1,1.0,1.0,0,0.0,48-02101,54.0,0,2,501,2.0
2.0,1,1.0,1.0,0,0.0,48-02101,54.0,0,2,501,2.0
2.0,1,1.0,1.0,0,0.0,48-02101,54.0,0,2,501,2.0
2.0,1,1.0,1.0,0,0.0,48-02101,54.0,0,2,501,2.0
2.0,1,1.0,1.0,0,0.0,48-02101,54.0,0,2,501,2.0
2.0,1,1.0,1.0,0,0.0,48-02101,54.0,0,2,501,2.0
2.0,1,1.0,1.0,0,0.0,48-02101,54.0,0,2,501,2.0
2.0,1,1.0,1.0,0,0.0,48-02101,54.0,0,2,501,2.0
2.0,1,1.0,1.0,0,0.0,48-02101,54.0,0,2,501,2.0
2.0,1,1.0,1.0,0,0.0,48-02101,54.0,0,2,501,2.0
2.0,1,1.0,1.0,0,0.0,48-02101,54.0,0,2,501,2.0
2.0,1,1.0,1.0,0,0.0,48-02101,54.0,0,2,501,2.0
2.0,1,1.0,1.0,0,0.0,48-02101,54.0,0,2,501,2.0
2.0,1,1.0,1.0,0,0.0,48-02101,54.0,0,2,501,2.0
2.0,1,1.0,1.0,0,0.0,48-02101,54.0,0,2,501,2.0
2.0,1,1.0,1.0,0,0.0,48-02101,54.0,0,2,501,2.0
2.0,1,1.0,1.0,0,0.0,48-02101,54.0,0,2,501,2.0
2.0,1,1.0,1.0,0,0.0,48-02101,54.0,0,2,501,2.0
2.0,1,1.0,1.0,0,0.0,48-02101,54.0,0,2,501,2.0
2.0,1,1.0,1.0,0,0.0,48-02101,54.0,0,2,501,2.0
2.0,1,1.0,1.0,0,0.0,48-02101,54.0,0,2,501,2.0
2.0,1,1.0,1.0,0,0.0,48-02101,54.0,0,2,501,2.0
2.0,1,1.0,1.0,5,0.0,48-02102,59.0,0,2,501,2.0
2.0,1,1.0,1.0,5,0.0,48-02102,59.0,0,2,501,2.0
2.0,1,1.0,1.0,5,0.0,48-02102,59.0,0,2,501,2.0
2.0,1,1.0,1.0,5,0.0,48-02102,59.0,0,2,501,2.0
2.0,1,1.0,1.0,5,0.0,48-02102,59.0,0,2,501,2.0
