,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP
0,1.0,1,1.0,1.0,0,0.0,48-02101,46.0,0,3,501
1,1.0,1,1.0,1.0,0,0.0,48-02101,46.0,0,3,501
2,1.0,1,1.0,1.0,0,0.0,48-02101,46.0,1,2,501
3,1.0,1,1.0,1.0,0,0.0,48-02101,46.0,1,3,501
4,1.0,1,1.0,1.0,0,0.0,48-02101,51.0,0,2,501
5,1.0,1,1.0,1.0,0,0.0,48-02101,51.0,0,2,501
6,1.0,1,1.0,1.0,0,0.0,48-02101,51.0,0,2,501
7,1.0,1,1.0,1.0,0,0.0,48-02102,49.0,0,2,501
8,1.0,1,1.0,1.0,0,0.0,48-02102,49.0,0,2,501
9,1.0,1,1.0,1.0,0,0.0,48-02102,49.0,0,2,501
10,1.0,1,1.0,1.0,0,0.0,48-02102,49.0,0,2,501
11,1.0,1,1.0,1.0,0,0.0,48-02102,49.0,0,2,501
12,1.0,1,1.0,1.0,0,0.0,48-02102,49.0,0,2,501
13,1.0,1,1.0,1.0,0,0.0,48-02102,49.0,0,2,501
14,1.0,1,1.0,1.0,0,0.0,48-02507,51.0,0,2,501
15,1.0,1,1.0,1.0,0,0.0,48-02507,51.0,0,2,501
16,1.0,1,1.0,1.0,0,0.0,48-02507,51.0,0,2,501
17,1.0,1,1.0,1.0,0,0.0,48-02507,51.0,0,4,501
18,1.0,1,1.0,1.0,0,0.0,48-02507,51.0,0,4,501
19,1.0,1,1.0,1.0,0,0.0,48-02507,51.0,0,4,501
20,1.0,1,1.0,1.0,0,0.0,48-02507,51.0,0,4,501
21,1.0,1,1.0,1.0,0,0.0,48-02510,49.0,0,2,501
22,1.0,1,1.0,1.0,0,0.0,48-02510,49.0,0,2,501
23,1.0,1,1.0,1.0,0,0.0,48-02510,49.0,0,3,501
24,1.0,1,1.0,1.0,0,0.0,48-02510,51.0,0,4,501
25,1.0,1,1.0,1.0,0,0.0,48-02510,51.0,0,4,501
26,1.0,1,1.0,1.0,0,0.0,48-02510,51.0,0,4,501
27,1.0,1,1.0,1.0,0,0.0,48-02510,51.0,0,4,501
28,1.0,1,1.0,1.0,0,0.0,48-02516,46.0,0,3,501
29,1.0,1,1.0,1.0,0,0.0,48-02516,46.0,0,3,501
30,1.0,1,1.0,1.0,0,0.0,48-02516,46.0,0,3,501
31,1.0,1,1.0,1.0,0,0.0,48-02516,46.0,0,3,501
32,1.0,1,1.0,1.0,0,0.0,48-02516,46.0,0,4,501
33,1.0,1,1.0,1.0,0,0.0,48-02516,46.0,0,4,501
34,1.0,1,1.0,1.0,0,0.0,48-02516,46.0,1,3,501
35,1.0,1,1.0,1.0,0,0.0,48-02516,46.0,1,4,501
36,1.0,1,1.0,1.0,2,0.0,48-02507,47.0,0,3,501
37,1.0,1,1.0,1.0,2,0.0,48-02507,47.0,0,3,501
38,1.0,1,1.0,1.0,2,0.0,48-02507,70.0,0,2,501
39,1.0,1,1.0,1.0,2,0.0,48-02507,70.0,0,2,501
40,1.0,1,1.0,1.0,2,0.0,48-02507,70.0,0,2,501
41,1.0,1,1.0,1.0,2,0.0,48-02507,70.0,0,2,501
42,1.0,1,1.0,1.0,2,0.0,48-02516,47.0,0,3,501
43,1.0,1,1.0,1.0,2,0.0,48-02516,47.0,0,3,501
44,1.0,1,1.0,1.0,3,0.0,48-02515,69.0,0,2,501
45,1.0,1,1.0,1.0,3,0.0,48-02515,69.0,0,2,501
46,1.0,1,1.0,1.0,3,0.0,48-02515,69.0,0,2,501
