,AGEP_x,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,AGEP_y,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
0,31,N,3,1,4,1,0,2,2,47,N,1,2,50.0
1,52,N,5,1,4,0,3,1,2,62,N,2,1,25.0
2,32,N,5,1,5,2,6,1,1,56,N,1,6,75.0
3,11,N,4,1,N,2,N,2,1,14,N,1,N,75.0
4,92,N,7,1,2,1,4,8,1,20,N,1,3,50.0
5,79,N,11,1,1,1,9,8,1,38,N,1,9,75.0
6,0,N,2,1,N,2,N,8,1,3,N,1,N,75.0
7,50,N,11,1,2,1,9,1,1,52,N,1,9,75.0
8,50,N,4,1,2,1,0,8,1,30,N,1,5,50.0
9,60,N,5,1,6,0,0,2,2,60,N,2,0,75.0
10,32,N,8,1,5,1,9,1,1,34,N,1,7,50.0
11,32,N,1,1,2,1,3,1,2,26,N,1,2,50.0
12,49,N,5,1,4,2,5,9,1,30,N,1,5,75.0
13,62,N,9,1,4,1,6,6,1,41,N,1,8,50.0
14,71,N,4,1,N,1,N,9,1,14,N,1,N,75.0
15,27,N,7,1,6,1,3,5,2,26,N,1,4,50.0
16,86,N,1,1,N,2,N,2,2,3,N,1,N,75.0
17,75,N,9,1,3,1,2,9,2,72,N,1,5,50.0
18,10,N,1,1,N,2,N,2,1,4,N,1,N,75.0
19,1,N,8,1,4,1,9,6,1,31,N,1,1,50.0
20,12,N,7,1,2,1,0,6,2,53,N,1,7,50.0
21,70,N,2,1,N,1,N,8,2,6,N,1,N,75.0
22,16,N,9,1,6,2,3,8,1,27,N,1,1,50.0
23,1,N,2,1,N,1,N,4,1,7,N,1,N,75.0
24,83,N,8,1,6,2,0,2,1,46,N,1,6,50.0
25,22,N,9,1,4,2,4,9,2,36,N,1,8,50.0
26,38,N,3,1,6,1,0,2,2,15,N,1,0,75.0
27,38,N,10,1,6,2,4,2,2,30,2,1,3,25.0
28,50,N,12,1,2,1,0,1,2,57,N,1,9,50.0
29,27,N,7,1,6,1,3,3,1,21,N,1,0,50.0
30,64,5,10,1,3,1,7,6,2,63,N,1,8,25.0
31,88,N,1,1,N,2,N,8,2,5,N,1,N,75.0
32,3,N,12,1,4,2,6,1,1,77,N,1,4,50.0
33,1,N,3,1,N,1,N,7,2,11,N,1,N,75.0
34,86,N,5,1,3,2,4,2,1,78,N,1,4,75.0
35,73,N,5,1,1,2,0,9,1,25,N,1,5,50.0
36,33,N,11,1,1,1,9,2,2,47,N,1,9,75.0
37,64,N,7,1,1,2,8,6,1,67,N,1,3,50.0
38,22,N,4,1,1,2,3,9,2,31,N,1,5,50.0
39,31,5,6,1,1,2,7,8,1,35,N,1,6,25.0
40,22,N,11,1,4,2,9,1,1,55,N,1,6,50.0
41,22,N,5,1,6,2,3,9,1,23,N,1,2,50.0
42,30,N,1,1,6,1,3,2,1,33,N,1,6,50.0
43,87,N,10,1,2,1,0,2,1,56,N,1,9,50.0
44,30,N,9,1,2,1,7,9,1,27,N,1,0,50.0
