,AGEP,SEX,MSP,RAC1P,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE,DVET,DEYE
AGEP,0.0,0.0,-0.008499230092557673,0.011113072831655448,0.0,0.006042081608734137,-0.04492707261690143,0.0,0.0,0.0
SEX,0.0,0.0,-0.004019960890052793,0.0053182933008744,0.0,-0.0095341594424646,-2.241413248911181e-05,0.0,0.0,0.0
MSP,-0.008499230092557666,-0.004019960890052793,0.0,-0.009092695666541667,-0.03980102755706999,0.0059544192445175476,-0.04214000923457267,-0.019671472857744468,0.001400803819638665,0.0066068693610839835
RAC1P,0.011113072831655461,0.0053182933008744,-0.009092695666541667,0.0,-0.0009292991735269083,-0.03502906827488571,0.0365955100487146,0.019083969263893705,-0.002936755815221837,0.008248786035956369
HOUSING_TYPE,0.0,0.0,-0.03980102755707002,-0.0009292991735269087,0.0,0.1177539527035944,0.003318552561631518,0.0,0.0,0.0
OWN_RENT,0.006042081608734123,-0.0095341594424646,0.0059544192445175476,-0.035029068274885694,0.11775395270359434,1.1102230246251565e-16,0.012823873968529648,-0.004292285068086762,0.001740607029861967,0.00567300690519207
EDU,-0.04492707261690149,-2.241413248911528e-05,-0.042140009234572645,0.0365955100487146,0.0033185525616315145,0.012823873968529645,0.0,-0.07986497382915636,-0.0027645611661463905,-0.005173067666767225
PINCP_DECILE,0.0,0.0,-0.019671472857744454,0.019083969263893705,0.0,-0.004292285068086762,-0.07986497382915636,0.0,0.0,0.0
DVET,0.0,0.0,0.001400803819638665,-0.002936755815221844,0.0,0.001740607029861967,-0.002764561166146394,0.0,0.0,0.0
DEYE,0.0,0.0,0.006606869361083987,0.008248786035956369,0.0,0.005673006905192068,-0.005173067666767225,0.0,0.0,0.0
