PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
19-01700,48,2,4,0,1,1,3,1,1,3572.3,N,N,1,29984.993766382107,5,215,N,2,2,2,2,74,74
17-03531,2,2,N,0,2,0,3,1,1,11171.6,N,N,N,N,N,N,N,N,N,2,2,31,31
32-00405,68,1,3,0,6,0,3,1,1,7990.5,5370,6,7,17227.220595054303,3,456,N,2,2,2,2,21,21
51-01301,1,1,N,0,1,0,5,1,1,11162.8,N,N,N,N,N,72,N,N,N,2,2,91,91
17-03531,55,2,6,0,2,0,6,1,1,11171.6,9670,17,8,54623.27526793944,7,383,N,2,2,2,2,113,113
19-01700,64,2,6,0,1,0,N,1,2,3572.3,N,N,4,9617.979475783823,2,67,N,2,2,2,2,250,250
51-51255,32,1,2,0,1,0,3,1,1,11224.3,2670,4,12,14359.824230546648,3,266,N,2,2,2,2,60,60
01-01301,67,1,4,0,5,0,N,1,1,2731.2,N,N,5,26443.85615812293,5,332,N,2,2,2,2,179,179
30-00600,58,2,3,0,1,0,N,1,1,16.3,570,2,3,69221.52948834494,8,0,N,2,2,2,2,18,18
08-00803,1,2,N,0,1,0,5,1,1,3393.2,N,N,N,N,N,501,N,N,N,2,2,3585,3585
06-07502,31,1,6,0,1,0,N,1,2,33632.6,7270,10,9,78737.41214124276,8,501,N,2,2,2,2,95,95
36-04010,97,1,3,0,2,0,N,1,2,50441.6,7870,11,12,306950.2410155808,9,501,N,2,2,2,2,55,55
13-04600,37,1,1,0,2,3,5,1,1,3670.4,7670,10,10,43621.13877298623,6,380,N,2,2,2,2,131,131
30-00600,9,2,N,0,1,0,8,1,1,16.3,N,N,3,N,N,257,N,2,2,2,2,27,27
51-51255,31,2,6,0,1,0,N,1,2,11224.3,7270,10,10,620681.2506639003,9,501,N,2,2,2,2,104,104
06-08507,55,2,1,0,6,0,2,1,1,3305.1,7270,10,9,123738.20907662681,9,501,N,2,1,2,2,70,70
19-01700,59,2,4,0,1,N,N,3,0,3572.3,N,N,4,10629.819221134827,2,129,N,2,1,2,2,0,0
40-00200,56,2,1,0,1,3,5,1,1,90.7,7980,12,5,25750.85373948844,5,203,N,2,1,2,2,9,9
30-00600,49,2,1,0,1,2,4,1,1,16.3,770,3,7,35052.31860903788,6,226,N,2,2,2,2,15,15
13-04600,30,2,6,0,2,1,2,1,2,3670.4,N,N,4,0.0,0,0,N,2,2,2,2,137,137
06-07502,17,1,6,0,1,1,4,1,2,33632.6,N,N,4,0.0,0,329,N,2,2,2,2,82,82
32-00405,94,1,3,0,1,0,N,1,1,7990.5,9920,18,4,33874.436475317954,5,270,N,2,2,2,2,41,41
32-00405,52,1,1,0,2,N,N,3,0,7990.5,N,N,3,16543.76041565755,3,123,N,1,1,2,2,0,0
06-07502,44,2,1,0,1,0,2,1,2,33632.6,7370,10,12,232419.73858074102,9,501,N,2,2,2,2,232,232
06-08507,63,1,1,0,2,0,2,1,1,3305.1,N,N,9,111332.46521735367,8,501,N,2,1,2,2,27,27
06-07502,61,1,1,0,1,0,3,1,1,33632.6,7970,12,9,175286.8976472605,9,501,N,2,2,2,2,70,70
17-03529,54,1,6,0,1,0,N,1,1,15097.5,4585,5,11,75871.96460744856,8,501,N,2,2,2,2,222,222
30-00600,19,1,6,0,1,2,4,1,1,16.3,5370,6,6,4419.076101688403,1,352,N,2,2,2,2,2058,2058
51-51255,65,1,4,0,8,0,N,1,1,11224.3,N,N,9,86798.58213418731,8,501,N,2,2,2,2,89,89
51-51255,40,2,1,1,9,0,2,1,1,11224.3,7270,10,12,216149.08006019748,9,501,N,2,2,2,2,189,189
36-04010,52,2,6,0,2,0,6,1,2,50441.6,N,N,7,31630.349749270998,5,174,N,2,1,2,2,250,250
36-04010,29,2,6,0,2,1,3,1,1,50441.6,7380,10,9,119409.07448249991,9,501,N,2,2,2,2,85,85
38-00100,62,1,4,1,1,0,N,1,1,73.0,3490,4,7,58010.38265644686,7,445,N,2,2,2,2,21,21
19-01700,24,2,6,0,1,0,N,1,1,3572.3,8660,14,4,28189.934485421676,4,275,N,2,2,2,2,82,82
08-00803,72,2,3,0,1,0,N,1,1,3393.2,7270,10,11,136208.92575129535,9,501,N,2,2,2,2,70,70
28-01100,31,1,1,0,2,3,4,1,1,2674.3,N,N,7,0.0,0,91,N,2,2,2,2,214,214
19-01700,84,2,1,0,1,0,2,1,1,3572.3,N,N,9,13611.232167579747,2,297,N,2,1,1,2,50,50
24-01004,59,2,1,0,1,0,4,1,2,4187.9,7860,11,7,9733.265188333853,2,116,N,2,2,2,2,50,50
30-00600,67,1,1,0,1,0,2,1,1,16.3,6070,7,5,23676.768555561837,4,364,N,2,2,2,2,45,45
08-00803,13,1,N,1,1,4,6,1,2,3393.2,N,N,3,N,N,123,N,2,2,2,2,0,0
29-01901,56,2,6,0,2,1,3,1,1,5434.8,4470,5,8,15002.028426861038,3,184,N,2,2,2,2,134,134
30-00600,5,1,N,0,1,0,4,1,1,16.3,N,N,2,N,N,212,N,2,2,2,2,79,79
30-00600,20,1,6,0,1,2,6,1,1,16.3,N,N,4,0.0,0,217,N,2,2,2,2,71,71
29-01901,79,2,1,0,2,0,3,1,1,5434.8,N,N,4,17803.849258961032,3,50,N,2,2,2,2,129,129
38-00100,62,1,4,0,1,0,N,1,1,73.0,7970,12,7,129057.84450759535,9,501,N,2,2,2,2,229,229
06-07502,34,2,6,0,1,0,N,1,2,33632.6,7071,9,9,68540.9648964531,7,501,N,2,2,2,2,26,26
17-03531,40,2,6,0,2,2,3,1,2,11171.6,8170,12,4,13638.431063704631,3,103,N,2,1,1,2,195,195
06-07502,29,2,6,0,1,0,N,1,2,33632.6,8680,14,9,43998.10998143679,6,412,N,2,2,2,2,25,25
13-04600,63,1,1,0,2,0,2,1,1,3670.4,5391,6,5,22651.277840151317,4,215,N,2,2,2,2,63,63
17-03529,75,2,6,0,2,3,5,1,1,15097.5,6290,7,4,76658.31683927187,8,204,N,2,1,2,2,152,152
51-01301,45,2,1,0,1,2,4,1,1,11162.8,N,N,4,9558.61338903653,2,59,N,2,2,2,2,97,97
30-00600,31,1,1,0,1,0,2,1,1,16.3,180,0,8,38372.87545439854,6,501,N,2,2,2,2,7056,7056
08-00803,21,2,6,0,1,0,N,1,2,3393.2,N,N,9,4023.7975651661077,1,78,N,2,2,2,2,103,103
01-01301,64,2,6,0,2,0,2,1,1,2731.2,N,N,5,0.0,0,0,N,2,1,2,2,80,80
30-00600,94,2,3,0,1,0,N,1,1,16.3,5391,6,7,41509.37515432879,6,144,N,2,2,2,2,11,11
26-02702,20,1,6,0,1,0,2,1,1,4817.2,8660,14,5,7208.176689700234,2,501,N,2,2,2,2,218,218
06-08507,63,1,1,0,6,0,2,1,1,3305.1,8090,12,8,117794.19441348597,8,501,N,2,2,2,2,98,98
51-51255,37,1,1,0,1,0,2,1,1,11224.3,N,N,10,108438.9883019636,8,501,N,2,2,2,2,114,114
51-01301,35,1,1,0,1,0,N,1,2,11162.8,5593,6,11,84190.85922028963,8,500,N,2,2,2,2,89,89
30-00600,50,1,1,0,1,1,3,1,1,16.3,180,0,5,52365.99441884132,7,179,N,2,2,2,2,6,6
17-03531,52,1,2,0,2,2,4,1,2,11171.6,3980,4,1,33219.260345205344,5,0,N,2,2,2,2,118,118
28-01100,19,2,6,4,1,N,N,3,0,2674.3,N,N,7,-1234.4120335709908,0,N,N,2,2,2,2,0,0
28-01100,69,2,1,0,2,0,3,1,1,2674.3,N,N,5,23299.508952341082,5,460,N,2,2,2,2,60,60
36-04010,64,1,1,0,2,0,4,1,1,50441.6,8270,12,5,20427.192677546373,4,288,N,2,2,2,2,105,105
26-02702,12,1,N,0,2,N,N,2,0,4817.2,N,N,N,N,N,0,N,2,2,2,2,0,0
36-03710,2,1,N,0,1,0,3,1,2,52864.7,N,N,N,N,N,6,N,N,N,2,2,89,89
30-00600,0,1,N,0,1,0,5,1,2,16.3,N,N,N,N,N,215,N,N,N,2,2,67,67
30-00600,46,1,1,0,3,2,4,1,1,16.3,8170,12,9,65792.19564919882,8,501,N,2,2,2,2,73,73
17-03531,60,1,2,0,2,N,N,3,0,11171.6,8370,13,1,10383.090776483448,2,55,N,2,2,2,2,46,0
19-01700,30,2,1,0,1,1,3,1,1,3572.3,6380,7,9,36144.87905053868,5,501,N,2,2,2,2,4171,4171
28-01100,63,2,4,0,2,0,6,1,2,2674.3,7770,10,5,9092.231877613385,2,326,N,2,2,2,2,107,107
38-00100,84,1,3,0,9,N,N,2,0,73.0,N,N,5,-3179.4409071038135,0,0,N,2,2,2,2,0,0
08-00803,43,2,6,0,1,1,4,1,1,3393.2,8090,12,9,10291.612654004983,2,324,N,2,2,2,2,59,59
40-00200,67,1,6,0,1,0,N,1,1,90.7,N,N,4,6077.138109652666,2,58,N,2,2,2,2,71,71
13-04600,37,2,6,0,1,0,N,1,1,3670.4,8680,14,5,49069.07684029405,7,480,N,2,2,2,2,25,25
19-01700,74,1,1,0,1,0,2,1,1,3572.3,8680,14,7,39304.30846834258,6,501,N,2,1,2,2,68,68
17-03529,56,2,4,0,2,0,N,1,2,15097.5,8680,14,5,18352.05416533607,3,85,N,2,2,2,2,57,57
38-00100,20,2,6,0,1,0,N,1,2,73.0,770,3,7,33970.394681769045,5,211,N,2,2,2,2,138,138
30-00600,29,1,6,0,1,0,N,1,2,16.3,5680,6,5,30302.083194428415,5,144,N,2,2,2,2,105,105
36-04010,49,1,1,0,2,2,4,1,1,50441.6,3570,4,11,45172.88501482062,9,61,N,2,2,2,2,116,116
01-01301,4,1,N,0,2,N,N,2,0,2731.2,N,N,N,N,N,N,N,N,N,2,2,1140,0
30-00600,27,1,2,0,9,5,10,1,2,16.3,9680,17,8,56094.389423269095,7,445,N,2,2,2,2,11,11
51-01301,22,1,6,0,6,0,N,1,2,11162.8,8660,14,9,51158.37641710234,6,396,N,2,2,2,2,137,137
40-00200,72,2,1,0,3,0,2,1,1,90.7,N,N,5,18802.37902841103,4,298,N,2,2,2,2,21,21
24-01004,46,1,1,0,9,2,4,1,1,4187.9,770,3,9,-96.14293909817457,0,501,N,2,2,2,2,1123,1123
29-01901,59,2,3,0,9,2,4,1,1,5434.8,6180,7,11,3373.67938570526,1,459,N,2,2,2,2,182,182
29-01901,20,1,6,0,9,N,N,2,0,5434.8,6680,8,10,21844.892208503818,4,N,N,2,2,2,2,0,0
38-00100,19,2,6,0,3,0,N,1,2,73.0,5470,6,8,-5684.848603219611,0,N,N,2,2,2,2,2,2
24-01004,66,2,4,0,1,0,N,1,1,4187.9,N,N,10,86606.9081445918,7,501,N,2,2,2,2,113,113
36-04010,41,2,6,0,1,0,N,1,2,50441.6,N,N,5,15569.179828869896,3,130,N,2,2,2,2,0,0
01-01301,35,2,4,0,2,N,N,2,0,2731.2,9590,16,4,31748.491949321102,6,N,N,2,2,2,2,110,0
51-51255,54,1,4,4,1,0,N,1,1,11224.3,7580,10,5,125452.6061869406,9,501,N,2,2,2,2,68,68
29-01901,71,1,6,0,3,N,N,3,0,5434.8,8470,13,9,30490.47423942687,5,327,N,2,2,2,2,0,0
