,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP_CAT
0,2,N,1,1,N,N,0,25-00503,N
1,1,1,1,1,6,9,0,25-02800,4
2,2,6,1,1,2,7,0,25-00503,14
3,1,N,1,1,N,N,0,25-00503,N
4,2,4,1,1,4,5,0,25-02800,11
5,1,1,6,2,8,9,0,25-00503,11
6,1,1,1,1,8,10,0,25-00703,7
7,2,1,6,1,7,6,0,25-00503,12
8,2,N,1,2,N,N,0,25-02800,N
9,1,2,6,0,3,1,0,25-01000,10
10,2,4,1,1,3,4,0,25-01300,N
11,2,6,1,1,2,7,0,25-00703,N
12,2,1,1,1,6,5,0,25-01300,12
13,2,6,1,1,0,9,0,25-01300,N
14,1,6,1,0,9,10,0,25-01300,12
15,2,N,1,1,N,2,0,25-00703,N
16,2,1,6,1,0,7,0,25-01300,N
17,2,1,1,2,7,9,0,25-01300,12
18,2,N,1,1,N,3,0,25-02800,N
19,1,1,1,1,3,7,0,25-01000,14
20,1,1,1,1,6,9,0,25-01000,10
21,1,6,1,0,6,5,0,25-02800,6
22,1,1,1,1,9,12,0,25-02800,12
23,2,1,1,1,7,9,0,25-01300,12
24,2,N,1,1,N,3,0,25-01000,N
25,2,6,1,1,7,7,0,25-01000,11
26,2,1,1,1,0,5,0,25-01000,N
27,2,4,1,2,9,9,0,25-02800,10
28,2,N,1,1,N,3,0,25-01300,N
29,2,N,1,1,N,N,0,25-02800,N
30,2,N,1,1,N,3,0,25-01300,N
31,1,6,1,1,4,9,1,25-02800,4
32,2,4,1,2,4,5,0,25-02800,12
33,1,6,1,2,0,4,0,25-01000,N
34,2,6,1,2,2,7,0,25-01300,12
35,2,4,9,2,1,5,0,25-01000,9
36,2,6,1,2,4,9,0,25-02800,7
37,1,1,1,1,5,9,0,25-01300,11
38,1,1,1,1,8,9,0,25-01000,2
39,1,1,5,1,7,10,1,25-00703,5
40,1,1,6,1,8,10,0,25-00503,N
41,2,6,2,1,1,5,0,25-02800,6
42,2,6,1,1,4,5,0,25-00503,14
43,2,4,1,2,3,12,0,25-00503,N
44,1,1,1,1,7,11,0,25-00703,4
45,1,N,1,1,N,3,0,25-01300,N
46,2,1,1,1,5,7,0,25-02800,12
47,1,4,1,1,8,9,0,25-00703,10
48,2,1,1,1,8,11,0,25-01000,10
49,1,1,1,1,7,9,0,25-02800,10
50,1,1,1,1,7,9,0,25-00503,3
51,1,1,1,1,1,9,0,25-00703,N
52,1,1,1,1,3,8,0,25-00703,N
53,2,6,6,1,0,10,0,25-01300,N
54,1,6,1,1,1,7,0,25-01000,6
55,1,1,1,1,0,6,0,25-02800,N
56,2,N,1,2,N,2,0,25-00703,N
57,2,N,6,1,N,3,0,25-00503,N
58,2,6,1,1,0,12,0,25-02800,N
59,2,6,1,2,1,5,0,25-00703,12
60,2,6,1,2,0,4,0,25-01300,N
61,1,1,1,2,8,9,0,25-00703,6
62,2,N,1,1,N,2,0,25-00503,N
63,1,6,1,1,0,4,0,25-02800,9
64,2,1,1,1,6,8,0,25-01300,4
65,2,1,1,1,3,7,0,25-00503,N
66,1,6,1,2,0,7,0,25-00503,10
67,1,N,1,1,N,3,0,25-01300,N
68,1,6,1,0,1,9,0,25-01300,10
69,1,6,1,1,4,5,0,25-02800,N
70,2,1,1,1,1,6,0,25-00503,N
71,2,6,1,0,0,10,2,25-00703,14
72,1,1,1,2,9,9,0,25-01000,4
73,2,1,1,1,8,9,0,25-00703,10
74,2,6,1,2,7,9,0,25-00703,12
75,1,3,1,2,9,9,0,25-00503,10
76,1,1,1,1,8,11,0,25-02800,14
77,2,6,6,1,0,4,0,25-00703,N
78,1,3,1,0,5,9,4,25-00703,6
79,2,1,1,1,0,4,0,25-01300,12
80,1,6,1,1,0,5,0,25-01300,N
81,1,1,1,1,9,5,0,25-00703,5
82,1,1,1,1,1,4,0,25-01000,N
83,1,1,9,1,9,5,0,25-00703,8
84,2,1,1,1,6,10,0,25-01300,12
85,2,6,1,2,7,10,0,25-00703,12
86,2,6,1,1,0,10,0,25-01300,N
87,2,N,1,1,N,3,0,25-00703,N
88,2,4,1,1,9,10,0,25-01300,9
89,1,1,1,1,8,10,0,25-00503,10
90,2,6,1,2,5,10,0,25-00503,5
91,1,4,1,2,3,5,0,25-00703,6
92,2,1,1,1,5,10,0,25-00703,N
93,1,1,1,1,5,8,0,25-00703,10
94,2,6,1,1,3,9,0,25-02800,6
95,1,1,6,1,2,4,0,25-01300,9
96,1,1,1,1,8,11,0,25-00503,9
97,1,3,6,1,3,9,0,25-00503,6
98,2,N,1,1,N,3,0,25-02800,N
99,1,1,1,1,5,5,0,25-01000,N
100,2,1,1,2,8,10,0,25-01000,4
101,2,4,1,1,8,7,0,25-00703,12
102,1,N,1,1,N,3,0,25-01000,N
103,1,1,1,1,6,9,4,25-02800,7
104,1,3,6,1,4,10,0,25-01300,9
105,1,4,1,1,7,9,3,25-00703,9
106,2,6,1,1,1,9,0,25-00703,14
107,1,6,1,1,2,5,0,25-01300,N
108,2,1,1,1,2,7,0,25-01300,N
109,2,1,1,2,7,7,0,25-00703,12
110,2,1,1,1,2,9,0,25-00503,14
111,2,1,1,1,9,11,0,25-00703,6
112,1,N,1,1,N,3,0,25-00503,N
113,2,3,1,2,3,7,0,25-00703,12
114,2,1,1,1,3,5,0,25-00703,N
115,2,1,1,1,0,10,0,25-00703,N
116,2,N,1,1,N,N,0,25-02800,N
117,2,1,1,1,1,10,0,25-00703,14
118,1,6,1,1,7,10,0,25-02800,3
119,2,4,1,1,1,7,0,25-00703,11
120,2,1,1,2,2,7,0,25-01300,6
121,2,1,1,1,8,4,0,25-00703,11
122,1,6,1,2,1,8,0,25-00703,4
123,1,6,6,2,0,4,0,25-00503,N
124,2,6,1,2,4,5,0,25-02800,N
125,2,6,1,1,6,9,0,25-02800,6
126,2,1,1,1,0,4,0,25-02800,11
127,1,1,1,1,9,5,0,25-01000,10
