,AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,PINCP_DECILE,EDU
0,87,2,6,1,1,1,N,0,5
1,65,1,1,1,1,1,N,9,10
2,29,1,6,2,1,1,N,1,4
3,78,1,2,2,1,1,N,8,10
4,63,1,4,1,1,1,N,8,9
5,5,1,6,2,1,1,N,6,9
6,85,1,6,2,1,1,N,6,9
7,22,1,N,2,1,0,4,N,3
8,11,1,N,1,1,1,N,N,3
9,84,1,6,1,1,1,N,2,12
10,30,1,1,1,1,1,N,3,9
11,59,1,6,1,1,1,N,8,10
12,62,6,4,1,3,1,N,6,7
13,87,1,6,1,1,1,N,0,4
14,11,2,N,1,1,1,N,N,10
15,0,1,1,2,1,1,N,6,7
16,47,1,3,2,1,1,N,3,5
17,40,2,1,1,1,0,N,9,3
18,49,1,1,1,1,1,N,4,7
19,55,1,6,1,1,1,N,1,7
20,44,1,N,1,1,1,N,N,N
21,55,1,6,1,1,2,N,6,10
22,39,1,6,2,1,0,N,1,4
23,26,6,6,2,1,1,N,5,7
24,24,1,6,1,1,1,N,5,7
25,22,1,1,1,1,2,N,8,5
26,11,1,N,2,1,1,N,N,N
27,52,1,6,2,1,2,N,3,9
28,21,1,1,1,1,1,N,6,1
29,73,1,1,2,1,1,N,6,8
30,50,1,1,2,1,1,N,9,10
31,14,1,N,1,1,1,N,N,8
32,62,1,4,1,1,1,N,1,5
33,49,9,1,1,1,1,N,8,9
34,58,9,1,2,1,1,N,1,4
35,43,1,4,2,1,2,N,9,11
36,4,1,1,2,1,0,N,0,4
37,55,1,5,1,1,2,N,1,7
38,26,1,N,2,1,2,N,N,4
39,26,1,6,2,1,1,N,1,4
40,37,6,2,2,1,2,N,3,5
41,15,1,6,2,2,1,N,5,9
42,62,1,1,1,1,1,N,0,5
43,72,1,1,2,1,2,N,7,10
44,20,1,1,1,3,2,N,1,9
45,78,1,N,1,1,1,N,N,N
46,41,1,1,2,3,1,N,7,7
47,90,1,1,2,1,1,N,4,7
48,25,1,1,2,1,1,N,4,7
49,24,1,3,1,1,1,N,6,7
50,31,2,4,1,1,1,N,3,5
51,72,1,3,2,1,1,N,6,8
52,80,1,N,2,1,1,N,N,3
53,56,1,1,1,1,2,N,9,9
54,51,1,N,2,1,1,N,N,1
55,0,1,1,1,1,2,N,3,9
56,83,1,6,1,1,1,N,1,5
57,12,1,1,2,1,1,N,9,10
58,56,1,1,1,1,2,N,3,8
59,9,1,N,1,1,1,N,N,3
60,14,1,N,2,1,1,N,N,3
61,62,1,1,1,1,1,N,8,9
62,25,1,1,2,1,1,N,6,2
63,59,1,1,1,1,1,N,2,5
64,6,1,N,2,1,1,N,N,10
65,38,1,1,1,1,2,N,1,7
66,24,1,N,2,1,0,N,N,3
67,56,1,4,1,1,2,N,6,9
68,18,1,3,2,1,1,N,3,9
69,49,1,6,1,1,1,N,4,9
70,89,1,6,1,1,1,N,6,7
71,27,1,1,1,1,1,N,8,7
72,14,1,N,2,1,1,N,N,3
73,66,1,6,2,1,1,N,7,7
74,20,1,4,1,3,1,N,2,9
75,86,1,6,2,1,2,N,7,9
76,61,1,1,2,2,1,N,0,5
77,48,1,1,2,1,0,N,4,5
78,30,1,4,1,1,2,N,6,10
79,49,1,1,2,1,1,N,7,7
80,47,1,4,1,1,2,N,4,9
81,40,1,1,1,1,1,N,8,11
82,44,1,1,1,1,1,6,9,3
83,11,1,N,2,1,1,N,N,3
84,59,1,1,1,1,1,3,9,10
85,83,1,1,2,1,1,N,8,10
86,45,1,N,1,1,1,N,5,9
87,5,1,N,1,1,1,N,N,N
88,37,6,2,1,1,2,N,0,9
89,39,1,4,1,1,2,N,2,5
90,83,1,1,1,1,1,N,8,8
91,7,1,N,2,1,0,3,N,3
