,AGEP_x,HISP,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,62,1,4,N,N,0,6,89,32-00405,1,1,44,N,N,2,53,40.0
1,21,4,2,0,9,1,2,88,51-51255,1,2,37,0,2,7,501,20.0
2,56,0,5,0,2,1,1,500,06-08507,6,2,49,1,2,9,501,20.0
3,28,1,4,0,N,0,6,500,32-00405,8,2,49,N,N,3,N,20.0
4,19,0,6,0,9,2,0,214,38-00100,6,1,27,0,N,5,274,20.0
5,55,0,3,0,9,1,5,159,08-00803,3,2,93,0,2,4,180,20.0
6,63,4,3,0,3,1,3,151,32-00405,2,2,70,0,2,1,195,20.0
7,68,0,6,0,N,1,7,454,36-04010,9,1,31,1,6,6,501,0.0
8,67,3,1,0,2,1,3,501,32-00405,1,1,68,0,2,1,262,40.0
9,20,0,6,0,9,0,0,89,06-08507,2,2,21,N,N,2,75,0.0
10,27,0,2,0,9,1,8,83,36-04010,1,1,48,0,N,7,443,20.0
11,15,1,6,1,6,1,0,473,38-00100,8,1,15,4,6,0,501,60.0
12,49,4,1,1,2,2,4,500,51-01301,1,2,25,0,2,8,501,20.0
13,49,0,1,3,4,1,6,218,01-01301,8,2,59,0,3,0,0,0.0
14,46,0,5,N,N,0,1,88,28-01100,2,2,77,N,N,4,126,40.0
15,10,1,N,3,4,1,9,11,26-02702,1,1,4,2,4,N,501,20.0
16,29,0,2,0,4,2,0,81,19-01700,6,1,28,0,N,1,44,20.0
17,31,0,6,0,2,1,0,500,36-04010,5,1,35,0,5,1,227,20.0
18,81,0,4,0,N,1,3,500,08-00803,6,1,58,0,N,7,501,40.0
19,63,1,4,0,9,2,2,157,08-00803,1,1,36,0,N,5,301,20.0
20,30,0,5,0,9,2,0,465,32-00405,6,1,50,0,N,0,0,40.0
21,6,2,N,4,5,2,N,N,40-00200,1,1,8,2,4,N,97,20.0
22,13,1,N,3,4,1,9,500,38-00100,9,1,3,3,5,N,331,20.0
23,3,0,N,1,4,2,9,500,01-01301,9,2,2,2,4,N,19,20.0
24,19,4,6,2,4,2,8,501,51-01301,8,2,38,0,N,6,399,0.0
25,29,0,2,N,N,0,0,91,28-01100,2,1,76,N,N,2,74,40.0
26,65,0,1,1,3,1,8,500,36-03710,6,2,41,2,4,5,501,0.0
27,31,4,2,0,5,1,0,500,36-03710,8,2,60,0,N,4,180,20.0
28,37,1,6,0,2,2,4,17,40-00200,2,2,57,0,2,2,48,40.0
29,30,0,1,0,12,2,0,162,32-00405,9,2,31,2,4,5,264,0.0
30,28,0,6,0,4,2,0,50,36-03710,8,1,20,0,4,0,501,60.0
31,3,1,2,3,4,1,0,9,24-01004,1,2,55,0,N,7,501,0.0
32,28,1,N,3,7,1,0,11,32-00405,3,1,11,3,6,N,201,20.0
33,45,1,6,1,12,2,2,169,19-01700,2,1,33,0,N,8,493,0.0
34,67,4,4,0,9,1,0,501,32-00405,1,2,68,0,N,4,186,20.0
35,37,4,4,0,9,2,4,500,24-01004,1,2,50,0,N,6,416,20.0
36,28,0,6,0,9,2,0,228,13-04600,5,1,59,0,N,3,87,20.0
37,18,0,6,0,12,2,7,500,51-51255,9,2,42,0,N,6,418,20.0
38,7,0,6,0,6,1,0,236,32-00405,8,2,17,1,4,1,76,0.0
39,47,0,6,1,2,1,0,500,36-03710,1,2,59,0,N,0,0,20.0
40,52,0,5,0,9,1,4,1,17-03529,1,2,59,0,N,9,501,20.0
41,39,2,1,1,3,2,3,500,51-01301,1,2,31,0,2,9,501,0.0
42,54,0,4,3,4,1,9,50,26-02702,9,2,59,0,N,1,27,0.0
43,46,0,2,3,5,1,0,500,24-01004,8,2,59,0,2,6,377,0.0
44,34,0,4,3,4,1,8,501,24-01004,9,1,59,0,N,4,241,0.0
45,17,0,6,N,N,0,0,87,17-03531,1,1,85,N,N,0,0,60.0
46,9,1,N,1,2,1,9,500,38-00100,9,2,6,3,5,N,331,0.0
47,29,0,1,2,3,2,0,104,13-04600,6,2,45,4,6,4,91,0.0
48,38,0,1,1,3,1,7,501,26-02702,9,2,48,1,3,9,501,60.0
49,84,0,3,0,9,2,8,500,08-00803,9,2,67,0,N,3,137,20.0
50,30,0,5,0,3,1,0,500,32-00405,2,2,59,0,N,1,35,20.0
51,49,4,1,0,2,2,4,255,30-00600,1,1,53,4,12,8,362,0.0
52,30,2,4,N,N,2,7,474,51-51255,1,1,55,0,N,9,501,20.0
53,46,0,4,2,4,1,2,93,17-03529,9,2,48,0,N,8,501,0.0
54,55,4,5,0,N,2,6,500,19-01700,1,1,43,2,4,6,212,20.0
55,55,0,6,N,9,0,0,501,17-03529,9,2,20,N,N,0,N,40.0
56,66,1,6,0,N,2,3,241,17-03529,8,1,27,0,N,3,153,60.0
57,56,0,5,0,4,2,0,77,17-03531,1,2,54,0,2,4,204,20.0
58,2,1,N,0,N,1,9,389,51-01301,2,1,6,0,6,N,501,20.0
59,65,1,1,0,2,1,3,389,17-03529,8,2,45,1,3,8,501,0.0
60,47,0,3,0,3,2,4,93,30-00600,3,1,26,0,5,1,263,20.0
61,45,0,N,2,5,1,0,500,32-00405,6,2,12,2,5,N,154,40.0
62,29,0,1,2,2,1,0,174,13-04600,6,1,52,2,9,5,199,20.0
63,18,1,1,0,3,2,6,287,26-02702,1,1,47,1,3,8,345,20.0
64,52,1,4,0,9,2,0,155,17-03529,3,1,43,1,3,6,208,0.0
65,32,2,1,0,2,2,6,50,51-51255,1,2,28,0,2,7,501,40.0
66,67,1,1,2,3,1,6,500,06-08507,8,2,80,0,2,3,501,0.0
67,65,0,4,0,2,1,1,91,26-02702,6,1,50,0,N,2,83,20.0
68,11,4,N,0,12,2,9,214,51-01301,8,1,1,2,3,N,122,0.0
69,28,0,2,1,2,1,7,501,32-00405,3,1,55,0,5,4,370,0.0
70,73,1,3,0,N,1,0,82,32-00405,1,1,48,0,N,6,321,40.0
71,66,0,3,0,2,1,4,463,06-08507,2,1,53,2,3,9,501,0.0
72,60,0,5,0,N,1,2,158,24-01004,2,1,51,2,3,4,221,0.0
73,32,0,1,3,6,2,0,500,19-01700,9,2,46,2,4,6,417,0.0
74,12,0,N,2,3,1,9,389,24-01004,8,1,10,2,4,N,501,20.0
75,2,0,5,0,3,2,8,501,06-08507,9,1,41,0,N,9,501,40.0
76,11,1,N,2,3,2,9,114,17-03529,1,1,4,3,4,N,63,0.0
77,14,4,6,2,5,1,7,500,38-00100,8,2,38,1,2,4,166,0.0
78,28,1,4,0,7,2,2,89,40-00200,1,2,33,0,5,4,56,20.0
79,4,0,N,3,5,1,9,300,06-08507,8,2,11,2,4,N,501,0.0
80,39,0,2,2,4,2,0,465,26-02702,6,2,29,0,N,0,0,20.0
81,29,4,1,1,4,1,6,392,38-00100,1,2,35,1,7,9,501,20.0
82,46,0,1,2,2,1,7,501,13-04600,3,2,48,0,3,9,501,20.0
83,29,0,6,0,N,2,5,252,36-04010,9,1,15,1,2,0,171,0.0
84,50,0,5,0,2,2,2,500,06-07502,1,2,58,0,N,4,152,20.0
85,66,0,3,0,4,1,1,467,36-04010,9,2,66,0,2,4,206,40.0
86,79,1,3,0,N,1,3,382,51-01301,1,2,85,0,2,2,123,20.0
87,56,4,2,0,3,1,6,162,32-00405,8,1,54,2,5,3,230,0.0
88,85,0,3,0,N,2,3,50,36-04010,6,2,58,0,3,5,246,20.0
89,0,1,N,0,3,1,9,228,13-04600,1,2,7,1,3,N,321,20.0
90,56,0,3,N,N,0,1,89,36-04010,1,1,72,N,N,2,87,40.0
91,48,0,2,N,N,0,4,93,32-00405,2,1,36,N,N,7,N,40.0
92,54,0,2,0,2,1,4,165,06-08507,2,1,66,0,N,4,179,40.0
93,47,4,1,0,2,1,5,86,01-01301,1,1,49,0,2,6,199,40.0
94,84,0,3,0,N,2,2,169,26-02702,1,1,76,0,N,5,285,40.0
95,3,1,N,0,4,1,9,453,30-00600,9,1,11,3,6,N,63,0.0
96,4,1,6,0,6,1,2,306,24-01004,1,2,24,2,4,2,99,20.0
97,59,4,1,0,2,2,2,109,32-00405,8,2,81,0,2,2,64,60.0
98,27,1,1,1,4,2,9,106,26-02702,1,2,47,1,3,0,345,20.0
99,10,0,6,N,N,0,0,90,06-08507,9,1,56,N,N,1,19,40.0
100,10,0,6,N,9,0,0,395,32-00405,3,1,70,N,N,2,N,20.0
101,52,1,6,N,N,0,0,85,24-01004,1,1,28,N,N,2,N,40.0
102,35,0,4,4,6,2,2,180,30-00600,3,2,50,2,3,5,124,0.0
103,10,0,N,0,4,2,N,501,32-00405,3,1,3,5,6,N,71,20.0
104,30,4,6,N,N,0,6,97,32-00405,1,1,33,N,N,2,90,40.0
105,30,0,2,5,6,1,2,82,06-07502,6,2,51,1,2,7,392,0.0
106,58,0,2,N,9,0,9,89,51-51255,1,1,37,N,N,9,N,40.0
107,11,0,6,0,9,0,N,88,17-03529,9,1,20,N,N,0,N,0.0
108,37,4,1,2,2,1,4,500,08-00803,1,2,51,0,2,2,501,20.0
109,11,1,6,1,12,1,0,373,06-07502,8,2,26,3,5,2,32,0.0
110,30,0,4,0,12,1,6,292,32-00405,9,2,68,0,3,6,501,40.0
111,12,0,N,2,3,1,N,82,32-00405,8,2,8,4,6,N,102,20.0
112,61,3,1,0,2,1,4,260,32-00405,1,2,68,0,2,6,262,40.0
113,62,0,3,2,5,1,2,500,06-07502,6,1,84,0,2,9,501,0.0
114,2,0,5,3,5,2,3,171,28-01100,1,2,33,1,2,5,114,0.0
