,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP
0,2,6,1,1,1,0,24-01004,62,2,9,328
1,1,1,1,2,8,0,51-51255,53,0,2,501
2,1,1,8,2,1,1,32-00405,45,2,4,143
3,2,1,2,2,2,0,29-01901,78,0,2,68
4,2,1,1,1,2,0,51-01301,28,2,4,501
5,1,4,2,1,7,0,28-01100,70,0,N,350
6,2,2,1,0,2,0,26-02702,94,0,2,N
7,1,4,3,2,5,0,38-00100,59,0,N,129
8,1,1,2,1,4,0,17-03529,50,1,3,425
9,2,4,2,1,0,2,36-03710,60,0,2,351
10,2,4,9,1,5,0,17-03529,31,0,N,385
11,1,6,2,1,0,0,29-01901,41,2,4,0
12,2,6,1,1,7,0,51-51255,31,2,4,501
13,1,6,1,1,7,0,30-00600,15,6,8,280
14,1,6,1,2,N,0,13-04600,22,0,2,264
15,2,1,2,1,3,0,36-04010,75,0,2,75
16,1,6,1,1,N,0,08-00803,16,0,N,501
17,2,3,1,1,5,0,06-08507,92,0,2,342
18,2,5,1,2,4,0,38-00100,28,4,12,436
19,1,4,1,2,7,0,28-01100,73,0,2,11
20,1,1,2,2,4,1,32-00405,85,1,3,210
21,2,N,2,2,0,0,13-04600,2,0,2,292
22,1,6,9,1,2,1,32-00405,39,N,N,196
23,1,N,1,1,7,0,06-08507,14,0,4,501
24,1,N,9,2,N,0,40-00200,10,3,5,0
25,1,6,2,1,7,0,29-01901,24,N,N,170
26,2,6,1,1,8,0,30-00600,33,0,N,501
27,2,6,1,2,1,0,38-00100,21,0,N,447
28,2,6,1,2,2,0,51-01301,35,4,9,281
29,2,N,2,1,N,0,17-03529,7,1,3,501
30,1,1,6,1,9,0,08-00803,42,3,4,501
31,2,6,2,0,1,0,13-04600,24,0,N,N
32,2,N,1,1,N,1,19-01700,10,0,4,314
33,2,6,1,2,5,0,06-07502,27,2,4,95
34,1,N,1,1,N,0,51-51255,7,2,5,501
35,1,3,1,2,1,0,30-00600,64,0,N,332
36,1,4,1,2,9,0,51-01301,62,1,3,501
37,2,N,2,1,N,0,19-01700,0,0,6,323
38,2,6,1,1,4,0,08-00803,55,0,N,184
39,1,5,1,2,N,0,17-03529,2,0,11,149
40,2,1,1,1,4,0,38-00100,49,0,2,185
41,2,1,5,1,2,0,36-04010,66,0,2,368
42,1,1,1,1,7,0,32-00405,55,0,2,462
43,1,4,1,1,N,0,01-01301,3,1,3,89
44,2,2,1,1,5,0,06-08507,59,0,4,484
45,2,6,1,2,4,0,24-01004,23,0,3,463
46,1,4,6,2,7,0,24-01004,48,0,3,378
47,2,6,1,1,N,0,06-07502,4,0,N,256
48,2,5,1,1,8,0,06-07502,60,N,N,501
49,1,6,1,1,4,0,13-04600,31,2,4,72
50,1,6,1,1,1,0,13-04600,17,2,3,96
51,2,1,1,2,3,0,38-00100,41,0,2,112
52,1,3,6,2,2,0,29-01901,92,0,2,68
53,1,1,1,1,7,0,30-00600,91,0,2,331
54,1,6,1,0,0,0,13-04600,62,0,10,N
55,2,6,8,1,9,1,32-00405,35,1,3,501
56,2,1,1,2,9,0,24-01004,41,0,6,501
57,1,6,1,1,8,4,26-02702,27,0,2,501
58,2,4,2,1,5,0,29-01901,74,0,4,312
59,1,6,9,1,9,0,51-51255,66,N,N,501
60,2,6,9,1,4,0,51-51255,49,0,N,47
61,1,6,1,2,5,0,30-00600,66,1,4,291
62,2,1,1,2,5,0,51-01301,35,0,3,356
63,1,6,1,1,0,0,08-00803,50,0,4,398
64,1,6,1,2,2,0,32-00405,20,N,N,203
65,2,6,1,1,0,1,32-00405,24,0,2,0
66,1,N,7,1,N,4,36-04010,0,2,4,162
67,2,1,8,1,7,2,32-00405,60,1,3,290
68,2,N,1,1,N,0,38-00100,14,0,3,320
69,1,1,2,2,2,0,17-03529,65,3,5,316
70,1,N,1,1,7,0,26-02702,1,2,5,421
71,1,6,1,1,N,0,36-04010,20,0,2,407
72,1,1,2,1,7,0,28-01100,67,0,2,501
73,2,1,2,2,8,0,51-01301,61,0,2,501
74,2,1,1,0,1,0,08-00803,17,1,2,N
75,2,1,1,1,1,0,17-03529,62,1,3,88
76,1,1,1,1,9,0,51-51255,51,3,5,501
77,2,1,2,1,5,0,51-51255,36,0,2,501
78,2,6,2,0,0,0,13-04600,24,0,3,N
79,1,1,1,1,2,0,24-01004,57,0,3,501
80,2,N,2,2,N,0,01-01301,10,0,4,19
81,2,1,6,1,6,0,06-07502,50,0,2,501
82,2,N,1,1,N,0,13-04600,12,2,7,64
83,2,N,2,1,6,0,36-04010,10,4,6,240
84,1,4,2,0,N,0,17-03529,69,0,N,N
85,2,1,1,2,0,0,32-00405,58,0,4,0
86,2,6,2,2,1,0,36-04010,16,0,3,235
87,1,1,1,1,9,0,51-01301,64,2,4,501
88,2,6,1,2,1,0,19-01700,22,0,N,498
89,1,N,1,1,N,0,08-00803,4,0,8,407
90,2,6,2,1,4,0,36-04010,38,2,4,128
91,1,1,1,1,0,4,32-00405,30,0,2,41
92,2,3,1,1,3,1,32-00405,88,0,3,110
93,1,6,1,1,8,0,06-07502,40,3,6,501
94,2,6,2,1,1,0,17-03531,21,0,2,20
95,1,1,1,2,2,0,26-02702,66,0,2,382
96,2,1,1,1,7,0,51-01301,65,0,3,501
97,1,N,1,1,N,0,38-00100,6,1,3,376
98,1,6,2,2,0,0,29-01901,28,N,N,0
99,2,1,3,0,0,0,40-00200,38,0,2,N
100,2,1,1,1,8,0,51-01301,32,0,2,501
101,2,6,1,2,3,0,51-01301,21,1,3,221
102,2,1,1,1,3,0,19-01700,64,0,2,164
103,2,6,1,1,1,0,24-01004,21,3,5,97
104,2,N,1,1,7,0,24-01004,1,0,3,501
105,2,6,1,2,3,0,38-00100,30,0,N,392
106,2,6,2,1,4,0,17-03529,79,2,6,198
107,1,3,1,0,0,0,19-01700,67,0,2,N
108,1,6,1,1,1,4,26-02702,22,0,N,406
109,2,6,1,1,6,0,24-01004,32,0,N,501
110,1,6,1,0,3,0,08-00803,27,N,N,N
111,2,4,6,2,1,0,06-07502,63,0,2,501
112,1,1,1,1,9,0,06-07502,52,2,4,501
113,2,3,2,2,5,0,36-03710,30,0,N,500
114,1,6,2,2,1,0,01-01301,15,0,N,221
115,2,1,1,2,8,0,06-08507,45,1,4,501
116,2,N,1,1,N,0,51-01301,14,1,4,102
117,2,4,6,2,9,0,06-07502,63,N,12,501
118,2,1,6,2,6,0,26-02702,26,0,2,223
119,1,6,2,1,0,0,17-03529,17,N,N,0
120,2,6,2,2,N,0,17-03529,16,2,3,0
121,1,6,1,1,9,0,51-51255,62,0,N,501
122,2,4,1,2,9,0,08-00803,73,0,2,501
123,1,6,8,1,5,1,32-00405,22,0,N,22
124,1,3,1,0,2,0,01-01301,72,1,3,N
125,2,6,1,1,4,0,38-00100,23,0,2,263
126,1,6,1,1,8,1,32-00405,37,0,2,134
127,2,6,2,1,4,0,29-01901,34,N,N,182
128,1,2,1,1,9,0,51-01301,34,0,N,501
129,1,N,1,1,N,0,51-01301,6,0,2,501
130,2,6,1,1,9,0,36-03710,54,0,N,501
131,2,6,1,1,0,0,13-04600,35,0,3,399
132,1,N,1,1,N,0,24-01004,14,3,5,501
133,1,4,1,1,9,0,24-01004,77,N,N,501
134,2,4,1,1,4,0,13-04600,55,0,N,281
135,2,6,1,2,9,0,51-01301,22,N,N,501
136,2,6,6,2,9,0,51-01301,26,0,N,501
137,2,3,1,1,6,0,51-01301,11,0,N,484
138,2,6,1,1,4,0,38-00100,27,0,N,469
139,2,6,8,1,1,0,36-03710,19,0,2,190
140,2,3,6,1,9,0,06-07502,46,0,N,501
141,1,6,3,1,N,0,38-00100,16,3,5,501
142,2,6,1,0,N,0,17-03529,20,1,5,N
143,2,1,1,2,5,0,17-03529,26,1,3,372
144,1,6,2,1,8,0,13-04600,41,1,2,501
145,2,1,1,2,9,0,06-08507,45,0,2,501
146,2,1,1,1,9,0,51-01301,42,1,3,501
147,1,1,1,2,2,0,30-00600,26,2,4,362
148,2,2,2,1,4,0,17-03529,58,0,9,229
149,1,1,1,1,9,0,26-02702,62,3,5,501
