,AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,DEYE,PINCP_DECILE,EDU
0,7,2,N,1,1,1,N,2,N,3
1,90,1,4,1,1,2,N,2,9,9
2,57,1,6,2,1,1,N,2,7,9
3,77,1,1,2,1,1,N,2,9,9
4,28,1,1,2,1,2,N,2,4,5
5,1,9,N,2,1,2,N,2,N,2
6,3,1,N,2,1,1,N,2,N,N
7,67,6,1,2,1,1,N,2,1,9
8,17,1,6,1,1,2,N,2,0,7
9,3,1,N,2,1,1,N,2,N,3
10,42,1,1,1,1,1,N,2,9,9
11,56,1,1,1,1,1,N,2,0,7
12,27,2,6,1,1,2,N,2,5,8
13,39,6,6,1,1,2,N,2,9,10
14,75,1,1,1,1,2,N,2,1,7
15,11,2,N,1,1,1,N,2,N,3
16,69,6,1,1,1,1,N,2,2,9
17,62,1,6,1,1,1,N,2,3,5
18,53,1,4,1,1,1,N,2,6,9
19,90,1,3,2,1,1,N,1,0,5
20,24,1,1,2,1,1,N,2,7,9
21,21,1,6,1,1,1,N,2,3,4
22,29,1,1,1,1,1,N,2,6,10
23,26,2,6,1,1,1,N,2,7,8
24,55,1,1,1,1,1,N,2,9,10
25,72,1,3,1,1,1,N,2,7,9
26,49,1,6,2,3,0,N,2,1,9
27,64,1,1,2,1,1,N,2,2,7
28,8,1,N,2,1,1,N,2,N,N
29,47,2,1,2,1,1,N,2,5,7
30,59,2,1,1,1,1,N,2,4,7
31,2,1,N,2,1,1,N,2,N,3
32,37,8,6,1,1,2,N,2,5,8
33,19,9,6,1,2,0,N,2,1,9
34,4,2,N,2,1,1,N,2,N,3
35,67,1,3,1,1,1,N,2,4,5
36,16,1,6,2,1,1,N,2,1,7
37,67,1,1,2,1,1,N,2,4,3
38,86,2,3,2,1,1,N,2,2,7
39,5,2,N,1,1,1,N,2,N,2
40,58,6,1,2,1,1,N,2,4,9
41,70,1,1,1,1,1,N,2,9,9
42,63,8,3,1,1,1,N,2,8,9
43,57,1,6,2,1,2,N,2,7,9
44,68,8,1,1,1,1,N,2,4,5
45,30,2,6,1,1,2,N,2,1,9
46,86,6,3,1,1,1,N,2,2,7
47,27,1,6,2,1,1,N,2,0,5
48,50,6,6,2,1,2,N,1,9,12
49,29,1,6,2,1,2,N,2,0,9
50,0,6,N,2,1,1,N,2,N,N
51,3,1,N,2,1,2,N,2,N,3
52,28,1,1,2,1,2,N,2,9,5
53,17,1,6,1,1,2,N,2,0,4
54,69,1,6,2,1,1,N,2,5,5
55,14,1,2,2,2,0,N,2,N,3
56,67,1,1,1,1,1,N,2,5,7
57,61,2,6,1,1,2,N,2,0,7
58,67,2,4,1,1,1,N,2,8,9
59,37,1,1,2,1,1,N,2,6,7
60,45,1,1,2,1,2,N,2,8,9
61,39,1,1,2,1,1,N,2,9,10
62,0,2,N,2,1,1,N,2,N,N
63,94,3,3,1,1,1,N,1,0,4
