,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP
0,2,N,3,2,N,0,38-00100,1,1,3,117
1,2,6,1,1,4,0,38-00100,19,N,N,123
2,1,N,1,1,4,1,51-51255,1,3,5,501
3,2,6,2,1,0,0,17-03529,18,0,N,357
4,2,1,1,1,4,0,26-02702,41,1,3,501
5,2,6,1,1,9,0,51-51255,59,0,2,501
6,1,N,1,1,N,0,24-01004,14,4,8,362
7,2,1,3,1,6,0,38-00100,44,3,5,501
8,1,1,1,1,9,0,40-00200,37,0,2,501
9,1,4,1,2,N,0,32-00405,63,0,5,182
10,1,6,1,2,0,0,40-00200,21,0,N,0
11,1,N,1,1,N,0,30-00600,3,0,3,336
12,1,1,2,2,7,0,17-03529,70,0,2,501
13,2,6,9,0,0,0,36-03710,20,0,2,N
14,2,6,2,1,6,0,17-03529,36,0,N,147
15,2,1,2,1,N,0,01-01301,39,0,2,105
16,1,6,1,2,2,4,17-03529,19,1,3,90
17,1,6,1,0,0,0,36-03710,19,N,N,N
18,2,6,1,2,N,0,51-51255,27,0,N,501
19,1,N,1,1,7,1,08-00803,10,1,3,501
20,1,6,6,1,4,0,06-07502,18,0,3,219
21,2,N,6,1,N,0,06-07502,12,2,4,501
22,1,N,2,2,0,0,32-00405,3,1,5,0
23,2,6,1,2,4,0,06-08507,29,0,N,204
24,2,5,1,1,6,0,30-00600,72,0,N,432
25,1,1,1,2,N,0,38-00100,76,0,2,441
26,1,1,1,1,2,0,51-51255,70,1,4,501
27,2,6,2,1,5,0,36-03710,20,N,N,245
28,2,4,1,2,8,0,51-01301,79,N,N,501
29,2,6,2,1,N,0,29-01901,28,0,3,488
30,2,N,6,1,8,0,24-01004,14,0,7,501
31,2,3,1,1,N,0,38-00100,67,4,6,499
32,2,6,1,1,1,0,30-00600,26,0,N,16
33,2,6,1,1,4,0,19-01700,25,1,2,307
34,1,N,2,1,0,0,36-04010,8,0,6,277
35,2,6,2,2,5,4,36-04010,17,1,6,401
36,1,1,1,1,9,0,06-08507,38,0,2,501
37,1,6,1,1,4,0,24-01004,25,0,N,501
38,1,N,2,2,4,0,17-03531,7,2,5,130
39,1,N,1,2,N,0,40-00200,12,0,3,358
40,1,6,1,1,3,0,08-00803,37,N,N,239
41,1,N,1,1,6,0,06-08507,10,2,3,501
42,2,4,2,2,4,1,01-01301,71,1,3,269
43,2,1,1,1,8,0,24-01004,35,0,2,501
44,1,6,2,2,0,0,17-03531,22,1,2,183
45,2,6,1,2,N,0,30-00600,27,0,3,264
46,1,1,1,0,N,1,38-00100,55,0,3,N
47,2,4,3,2,4,0,40-00200,58,1,3,177
48,1,N,1,2,4,0,32-00405,4,2,4,80
49,1,6,1,1,9,0,06-08507,27,0,2,501
50,2,6,1,1,5,0,32-00405,94,N,N,346
51,2,N,1,2,2,0,30-00600,5,2,4,51
52,2,6,1,1,7,0,06-07502,22,N,N,454
53,2,1,2,1,2,0,36-04010,40,1,3,305
54,1,6,6,1,3,0,32-00405,27,0,N,49
55,1,2,6,2,4,0,24-01004,81,4,5,501
56,2,6,6,1,9,0,06-07502,45,2,4,501
57,2,1,1,1,N,0,06-07502,66,0,2,501
58,2,6,2,1,N,0,17-03529,55,N,N,501
59,1,N,1,2,2,0,51-51255,12,2,4,419
60,1,1,1,1,5,0,26-02702,92,0,2,248
61,2,6,2,1,9,0,51-51255,24,0,2,501
62,2,N,2,1,3,0,01-01301,14,0,N,326
63,2,1,1,1,9,0,24-01004,62,3,5,501
64,1,N,6,2,N,0,26-02702,13,3,5,501
65,2,6,2,2,0,0,17-03529,64,0,N,189
66,2,1,2,1,0,0,36-04010,39,1,4,501
67,1,5,1,2,2,0,06-07502,32,0,N,394
68,1,1,2,1,2,0,51-51255,49,0,3,107
69,1,N,1,2,N,0,51-01301,14,3,5,501
70,2,6,1,2,N,0,38-00100,40,1,11,317
71,1,6,2,0,0,0,01-01301,23,N,N,N
72,1,6,1,2,9,1,51-01301,21,0,N,501
73,2,4,2,2,7,0,29-01901,60,0,N,501
74,1,1,6,0,8,0,13-04600,38,1,2,N
75,2,6,1,1,2,4,08-00803,30,4,6,185
76,2,4,1,1,3,0,40-00200,65,0,N,484
77,2,6,2,2,N,0,29-01901,27,N,N,0
78,2,1,9,2,2,0,19-01700,44,2,4,103
79,1,1,1,2,8,0,24-01004,47,0,2,501
80,1,3,1,1,5,0,51-01301,74,0,N,324
81,1,6,1,0,2,0,26-02702,19,0,N,N
82,2,6,1,2,3,0,30-00600,29,2,4,124
83,2,6,6,2,0,0,51-01301,20,N,N,0
84,2,1,2,2,2,0,28-01100,75,0,2,90
85,2,6,1,0,0,0,26-02702,20,0,N,N
86,1,6,1,1,9,0,24-01004,49,0,N,501
87,1,6,1,1,2,0,51-01301,20,0,3,73
88,1,2,1,2,7,0,24-01004,44,1,3,501
89,1,6,6,1,0,0,08-00803,21,2,4,30
90,2,6,1,1,9,0,24-01004,63,0,N,501
91,2,6,2,0,5,0,13-04600,18,N,N,N
92,1,N,1,1,4,0,38-00100,11,1,3,83
93,1,6,6,2,7,0,24-01004,24,N,N,501
94,2,6,1,2,3,0,32-00405,28,N,N,12
95,2,1,2,1,7,0,01-01301,68,0,2,500
96,2,1,1,2,6,0,30-00600,60,1,2,305
97,1,6,2,0,0,0,36-04010,20,0,N,N
98,2,N,1,2,6,0,08-00803,12,2,4,371
99,1,1,3,1,6,0,30-00600,58,2,4,501
100,1,6,1,2,0,0,06-07502,19,0,N,98
101,1,4,2,2,5,0,29-01901,62,0,N,141
102,2,1,1,2,5,0,38-00100,47,0,2,301
103,1,6,1,0,1,0,08-00803,42,N,N,N
104,1,6,1,1,9,0,08-00803,15,1,3,501
105,2,6,1,2,0,0,51-01301,36,0,N,501
106,2,1,2,1,N,4,28-01100,93,0,6,321
107,1,N,3,1,N,0,40-00200,7,2,6,442
108,1,6,3,0,0,0,40-00200,18,N,N,N
109,2,4,1,1,8,0,24-01004,79,0,N,501
110,1,4,6,1,7,0,24-01004,45,0,N,501
111,1,N,1,1,N,0,26-02702,6,5,7,501
112,2,N,2,2,4,0,17-03529,12,0,4,108
113,2,1,2,1,8,0,29-01901,49,0,2,501
114,1,1,2,0,6,0,17-03531,73,2,4,380
115,2,6,3,1,2,0,40-00200,23,0,N,75
116,2,4,2,1,0,0,17-03531,64,0,N,362
117,2,4,9,1,N,0,06-08507,41,0,N,501
118,2,N,2,2,6,2,28-01100,14,0,3,243
119,2,3,1,1,N,0,24-01004,69,0,3,501
120,1,1,1,0,3,0,32-00405,43,0,2,N
121,2,6,1,0,2,0,40-00200,21,3,5,N
122,2,3,1,0,2,0,08-00803,94,0,N,N
123,1,6,1,2,7,0,30-00600,27,0,2,456
124,1,1,1,2,8,0,06-07502,76,0,2,501
125,2,N,1,2,5,0,51-51255,4,2,4,99
126,1,1,2,1,4,0,36-04010,56,1,2,187
127,1,6,6,1,9,0,24-01004,44,0,2,501
128,1,4,2,2,4,0,36-04010,66,0,2,195
129,1,1,2,2,0,0,51-51255,75,0,2,501
130,1,6,1,1,5,0,19-01700,34,0,N,105
131,1,6,8,1,6,0,32-00405,27,0,4,501
132,2,1,1,2,4,0,08-00803,83,2,4,501
133,2,1,1,2,N,0,06-07502,80,1,2,254
134,1,N,1,1,N,0,24-01004,11,1,4,501
135,1,6,1,1,4,0,51-01301,18,5,6,501
136,2,1,1,1,N,0,24-01004,75,0,2,346
137,1,4,1,1,4,0,08-00803,50,0,3,356
138,1,1,2,1,1,0,36-04010,50,2,4,144
139,2,N,1,2,6,4,24-01004,4,0,4,362
140,2,6,1,0,1,0,01-01301,20,N,N,N
141,2,6,1,1,2,4,24-01004,57,0,N,501
142,1,6,2,2,N,0,17-03531,73,N,N,324
143,2,N,1,1,7,0,06-07502,0,0,6,501
144,2,5,1,2,6,0,30-00600,71,N,N,189
145,1,N,1,1,8,0,38-00100,12,2,4,501
146,1,4,1,2,1,0,24-01004,32,0,2,220
147,2,6,2,1,7,0,17-03531,27,1,4,344
148,1,3,1,1,1,0,08-00803,71,0,N,501
149,1,3,1,1,3,4,29-01901,73,0,N,73
150,2,1,1,2,0,0,24-01004,45,0,2,382
151,2,N,6,1,N,4,19-01700,13,0,4,108
152,2,6,6,1,1,0,24-01004,31,N,N,37
153,1,6,2,0,1,0,29-01901,18,0,N,N
154,1,6,1,1,0,0,30-00600,25,1,6,60
155,1,6,1,1,2,0,32-00405,24,0,N,300
156,2,1,1,2,N,0,24-01004,64,0,2,501
157,1,1,1,0,0,0,26-02702,35,0,2,N
158,2,1,1,2,7,0,24-01004,63,1,3,501
159,1,1,1,1,5,0,24-01004,48,2,4,501
160,2,4,2,1,N,0,51-01301,58,0,N,501
161,2,N,1,1,N,0,08-00803,8,2,3,326
162,1,6,2,1,N,0,17-03529,72,0,N,501
163,2,6,1,1,8,0,51-51255,29,0,N,501
164,2,1,1,2,8,0,24-01004,69,0,2,501
165,1,6,1,1,9,0,38-00100,55,0,2,501
166,1,4,2,1,8,0,17-03531,50,0,N,501
167,1,1,1,1,8,0,38-00100,60,1,2,501
168,2,3,1,2,5,0,40-00200,75,0,2,478
169,2,6,1,1,4,0,28-01100,62,3,5,196
170,2,N,1,2,8,0,51-01301,6,2,4,501
171,2,1,1,1,6,0,38-00100,44,1,2,305
172,2,1,1,2,2,0,40-00200,34,0,2,318
173,2,1,2,1,8,0,17-03529,73,0,2,501
174,1,5,2,1,9,0,13-04600,79,0,2,501
