,AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,DEYE,PINCP_DECILE,EDU
0,53,2,N,2,1,1,N,2,0,5
1,61,1,6,1,1,2,N,2,6,9
2,55,1,1,2,1,1,N,2,4,9
3,19,2,6,1,1,1,N,2,2,5
4,59,1,1,1,1,1,N,2,6,8
5,74,1,1,1,1,1,N,2,9,10
6,50,1,1,1,1,1,N,2,3,4
7,18,2,6,2,3,0,N,2,0,4
8,35,2,6,2,1,2,N,2,7,9
9,64,2,1,2,1,1,N,2,7,4
10,68,1,1,2,1,1,N,2,4,7
11,31,1,6,2,1,2,N,2,7,6
12,33,1,1,2,1,1,N,2,0,3
13,45,1,5,1,1,2,N,2,1,7
14,40,1,1,2,1,2,N,2,0,5
15,17,2,6,2,1,1,N,2,0,8
16,60,1,6,1,1,1,N,2,7,5
17,45,1,6,2,1,2,N,2,9,10
18,0,8,N,2,1,1,N,2,N,3
19,10,1,4,2,1,2,N,2,N,3
20,62,1,4,1,1,1,N,2,3,11
21,32,1,1,1,1,1,N,2,7,7
22,37,2,1,1,1,2,N,2,3,7
23,14,6,N,1,1,2,N,2,N,3
24,35,1,6,2,1,1,N,2,4,5
25,66,1,4,2,1,2,N,2,6,5
26,0,8,N,2,1,2,N,2,N,3
27,43,1,5,2,1,2,N,2,1,9
28,11,2,N,1,1,2,N,2,N,1
29,62,1,4,2,1,2,N,2,8,9
30,43,1,6,1,3,0,N,2,9,9
31,18,1,6,2,1,2,N,2,0,7
32,40,1,6,2,1,2,N,2,0,8
33,64,2,1,1,1,1,N,2,6,5
34,56,1,6,1,1,1,N,2,8,10
35,50,1,1,2,1,1,N,2,7,9
36,73,2,1,1,1,1,N,2,1,4
37,18,2,6,1,1,1,N,2,8,10
38,0,3,N,1,1,2,N,2,N,3
39,69,1,6,2,1,2,N,2,4,9
40,66,1,4,2,1,2,N,2,3,4
41,17,1,6,2,1,2,N,2,1,7
42,5,2,1,1,1,1,N,2,N,3
43,24,1,6,2,1,1,N,2,5,7
44,69,2,6,2,1,1,N,2,4,7
45,66,1,4,1,1,2,N,2,6,7
46,8,1,6,1,1,2,N,2,0,1
47,61,6,5,1,1,2,N,2,9,9
48,45,1,1,1,1,1,N,2,1,9
49,22,1,6,2,1,2,N,2,6,5
50,37,1,6,2,1,2,N,2,9,9
51,57,1,1,2,1,1,N,2,0,7
52,16,1,6,2,3,0,N,2,4,6
53,19,2,6,1,1,2,N,2,0,9
54,36,2,6,2,1,1,N,2,4,5
55,54,2,3,2,1,2,N,2,3,4
56,53,2,1,2,1,1,N,2,5,10
57,54,3,3,1,1,1,N,2,6,5
58,54,1,1,2,1,1,N,2,3,5
59,16,1,6,1,1,2,N,2,0,7
60,79,1,1,1,1,1,N,2,6,9
61,6,2,N,2,1,1,N,2,N,3
62,46,1,1,1,1,1,N,2,6,5
63,86,1,1,1,1,1,N,2,9,10
64,16,2,6,1,1,1,N,2,0,4
65,8,1,N,2,1,1,N,2,N,3
66,53,2,1,2,1,1,N,2,7,9
67,6,1,N,2,1,1,N,2,7,7
68,51,1,4,1,1,2,4,2,9,12
69,45,1,1,2,1,1,N,2,9,9
70,79,1,4,2,1,1,N,2,5,7
71,4,1,N,2,1,1,N,2,1,9
72,33,1,6,1,1,1,N,2,9,11
73,36,1,1,1,1,1,N,2,0,7
74,69,1,1,1,1,1,N,2,9,9
75,9,8,N,1,1,1,N,2,N,2
76,73,1,1,1,1,1,N,2,5,10
77,69,2,1,1,1,1,N,2,2,5
78,36,1,1,1,1,1,N,2,9,9
79,21,1,6,2,2,0,N,2,7,9
80,57,1,1,1,1,1,N,2,0,9
81,35,3,N,2,1,1,N,2,3,5
82,0,1,N,2,1,2,N,2,N,N
83,3,1,N,1,1,1,N,2,0,4
84,73,1,4,1,1,2,N,2,9,11
85,11,2,N,1,1,1,N,2,N,3
86,73,1,1,1,1,1,N,2,9,9
87,28,2,3,2,1,1,N,2,2,6
88,31,1,1,2,1,1,N,2,7,4
89,63,1,4,2,1,1,N,2,3,5
90,73,2,3,2,1,1,N,2,3,8
91,19,1,6,2,1,2,N,2,1,5
92,55,1,1,1,1,1,N,2,9,9
93,10,2,N,2,1,2,N,2,N,1
94,18,1,4,2,1,1,N,2,1,7
95,34,1,6,2,1,2,N,2,8,12
96,11,2,N,1,1,2,N,2,N,3
97,4,2,N,2,1,1,N,2,N,3
98,4,2,N,1,1,2,N,2,N,N
99,37,2,6,1,1,2,N,2,0,8
100,11,2,N,1,1,2,N,2,N,N
101,30,1,1,2,1,1,N,2,0,7
102,8,3,2,1,2,0,N,2,N,3
103,93,1,3,1,1,1,N,2,5,9
104,7,1,1,1,1,1,N,2,N,3
105,90,1,1,1,1,1,N,2,9,10
106,22,1,6,1,1,1,N,2,2,9
107,9,1,N,2,1,1,N,2,2,9
108,59,2,1,1,1,1,N,2,6,4
109,37,2,1,1,1,1,N,2,9,9
110,62,1,1,1,1,1,N,2,2,6
111,92,6,6,2,1,1,N,1,3,10
112,43,1,4,1,1,2,N,2,5,7
113,28,6,6,2,1,2,N,2,7,10
114,54,1,5,1,1,1,N,2,9,9
115,17,1,6,1,1,1,N,2,0,4
116,91,6,3,2,1,2,N,2,9,7
117,70,2,1,2,1,2,N,2,3,5
118,68,1,6,1,1,2,N,2,2,3
119,21,2,6,1,1,1,N,2,0,5
120,76,1,3,2,1,1,N,2,9,10
121,63,1,6,2,3,0,N,2,1,9
122,95,2,1,2,1,1,N,2,4,9
123,23,1,6,2,1,1,N,2,0,4
124,4,1,N,1,1,1,N,2,7,9
125,34,1,6,2,1,1,N,2,8,10
126,27,1,6,2,1,1,N,2,5,5
127,10,1,N,1,1,1,N,2,N,3
128,18,3,6,1,1,2,N,2,1,7
129,78,6,1,1,1,1,N,2,3,5
130,66,1,6,1,2,0,N,2,1,5
131,61,1,1,1,1,1,N,2,9,9
132,74,6,1,2,1,1,N,2,4,9
133,24,1,6,2,1,1,N,2,6,9
134,35,1,1,1,1,2,N,2,9,10
135,25,1,6,1,1,1,N,2,8,9
136,8,6,2,1,1,1,N,1,0,9
137,60,8,6,1,3,0,N,2,0,3
138,44,1,1,2,1,1,N,2,2,10
139,20,1,6,1,3,0,N,2,5,9
140,11,1,N,1,1,2,N,2,N,3
141,9,1,N,2,1,2,N,2,N,3
142,47,3,1,2,1,1,N,2,N,2
143,52,1,1,1,1,1,N,2,8,12
144,1,2,N,1,1,2,N,2,N,3
145,40,2,1,1,1,1,N,2,7,9
146,26,1,6,2,2,0,N,2,6,5
147,3,6,4,1,1,1,N,2,5,9
148,23,1,6,1,1,2,N,2,6,7
149,66,3,4,1,3,0,N,2,6,6
150,70,1,1,2,1,2,N,2,3,4
151,16,1,6,1,1,1,N,2,0,5
152,72,1,1,2,1,2,N,2,2,5
153,30,1,6,2,3,0,N,2,4,7
154,74,1,3,2,1,1,N,2,2,8
155,79,1,1,2,1,1,N,2,6,6
156,45,1,4,2,1,2,N,2,1,7
157,5,3,N,1,1,1,N,2,N,N
158,38,1,6,1,1,1,N,2,9,12
159,65,1,4,2,1,2,N,2,5,7
160,55,6,1,1,1,1,N,2,7,10
161,64,2,1,1,1,1,N,2,3,7
162,49,1,6,1,1,2,N,2,9,10
163,68,1,1,1,1,2,N,2,8,10
164,76,2,3,1,1,1,N,2,4,5
165,58,1,1,2,1,1,N,2,4,5
166,14,6,N,2,1,2,N,2,N,3
167,60,1,1,2,1,1,N,2,5,5
168,82,3,5,1,1,2,N,2,7,6
169,59,1,1,1,1,1,N,2,9,10
170,87,2,4,2,1,1,N,2,5,7
171,18,2,6,1,1,2,N,2,5,6
172,12,2,N,2,1,1,N,2,N,N
173,83,1,3,2,1,1,N,2,7,3
174,21,6,6,2,3,0,N,2,1,8
175,81,2,3,1,1,2,N,2,N,3
176,4,1,3,1,1,2,N,2,N,3
177,62,1,1,2,1,1,N,2,0,5
178,43,1,1,2,1,1,N,2,9,9
179,71,2,2,2,1,1,N,2,6,5
180,23,3,1,1,1,1,N,2,0,4
181,9,1,N,1,1,2,N,2,N,3
182,69,2,1,2,1,1,N,2,2,5
183,83,1,4,1,1,2,N,2,8,7
184,35,8,1,2,1,1,N,2,5,5
185,14,1,N,2,1,1,N,2,N,1
186,41,6,1,1,1,1,N,1,5,9
187,60,2,4,2,1,1,N,2,7,10
188,42,1,6,1,2,0,N,2,N,1
189,95,6,1,2,1,2,N,2,8,10
190,21,1,6,1,1,1,N,2,0,5
191,5,2,N,2,1,2,N,2,N,3
192,12,2,N,2,1,2,N,2,0,4
193,71,1,4,2,1,2,N,2,7,8
194,32,1,6,1,1,1,N,2,4,9
195,34,1,1,1,1,2,N,2,7,5
196,32,8,6,1,1,1,N,2,9,9
197,55,2,1,2,1,2,N,2,7,4
198,18,2,6,1,3,0,N,2,0,5
199,87,1,6,2,1,2,N,2,5,9
200,48,2,4,2,1,1,N,2,1,7
201,42,2,1,2,1,1,N,2,7,8
202,22,6,6,2,1,1,N,2,6,8
203,19,1,6,2,1,1,N,2,1,10
204,38,1,6,1,1,2,N,2,0,7
205,56,1,1,2,1,2,N,2,8,9
206,26,1,6,2,1,2,N,2,0,9
207,70,2,6,1,1,2,N,2,7,7
208,12,1,N,1,1,1,N,2,N,3
209,6,9,N,1,1,1,N,2,N,2
210,76,1,3,2,1,1,N,2,1,4
211,69,1,4,2,1,1,5,2,4,9
212,61,6,1,1,1,2,N,2,5,9
213,41,3,6,2,1,2,N,2,0,4
214,26,1,2,2,1,2,N,2,8,9
215,11,1,N,1,1,1,N,2,N,3
216,31,1,2,2,1,1,N,2,8,9
217,49,1,4,2,1,1,N,2,9,9
218,66,1,1,1,1,1,N,2,6,9
219,10,3,N,1,1,2,N,2,N,2
220,35,9,1,1,1,1,N,2,8,9
221,70,2,1,2,1,1,N,2,9,10
222,32,1,1,1,1,2,N,2,1,7
223,64,1,1,1,1,1,N,2,0,7
224,70,6,1,2,1,1,N,2,2,4
225,25,2,1,1,1,1,N,2,8,5
226,13,1,N,2,1,2,N,2,N,2
227,32,2,1,1,1,1,N,2,0,5
228,27,3,6,1,1,2,N,2,3,7
229,30,1,1,1,1,1,N,2,0,9
230,8,2,2,1,1,2,N,2,N,3
231,26,1,6,2,3,0,N,2,1,9
232,60,2,4,2,1,1,N,2,6,7
233,95,1,1,2,1,1,N,2,9,9
234,50,2,4,1,1,2,N,2,6,5
235,27,2,6,2,2,0,N,2,6,4
236,49,2,6,1,1,2,N,2,8,10
237,33,3,6,2,1,2,N,2,0,5
238,23,2,3,1,1,1,N,2,4,7
239,19,1,6,2,1,1,N,2,0,4
240,59,1,6,2,1,1,N,2,2,4
241,62,1,1,1,1,1,N,2,3,9
242,67,1,1,2,1,1,3,2,3,5
243,70,1,1,2,1,1,N,2,3,5
244,10,1,N,1,1,1,N,2,N,2
245,37,1,4,1,1,2,4,2,0,4
246,39,1,1,1,1,1,N,2,9,10
247,10,9,N,1,1,2,N,2,N,3
248,30,1,3,1,1,2,N,2,8,6
249,53,1,1,1,1,1,N,2,5,7
250,10,1,N,1,1,2,N,2,N,1
251,44,6,1,2,1,1,N,2,8,10
252,3,1,N,2,1,1,N,2,9,9
253,31,2,1,1,1,1,N,2,7,9
254,23,1,6,1,1,2,N,1,9,9
255,8,2,N,2,1,2,N,2,N,3
256,65,6,1,1,1,2,N,2,9,9
257,20,2,6,2,3,0,N,2,0,4
258,60,2,6,1,1,1,N,2,2,7
259,72,1,1,1,1,1,N,2,9,12
260,56,1,1,1,1,1,N,2,2,5
261,34,3,6,1,1,2,N,2,3,7
262,22,1,6,2,3,0,6,2,0,12
263,40,1,6,1,3,0,N,2,0,11
264,28,2,6,1,3,0,N,2,3,5
265,44,8,4,2,1,1,N,2,8,10
266,66,2,1,2,1,1,N,2,4,7
267,29,6,6,2,1,2,N,2,7,9
268,60,2,1,1,1,1,N,2,0,7
269,5,2,N,2,1,2,N,2,N,3
270,35,1,6,1,1,2,N,2,3,9
271,22,1,6,1,1,2,N,2,0,5
272,24,1,6,1,1,1,N,2,1,7
273,36,2,1,2,1,1,N,2,8,7
274,16,2,2,2,2,0,N,2,6,9
275,4,1,N,2,1,2,N,2,N,3
276,30,3,1,2,1,1,N,2,0,5
277,18,2,6,2,1,2,N,2,1,5
278,47,1,5,1,1,1,N,2,6,3
279,34,1,1,1,1,1,N,2,7,9
280,16,1,6,2,1,2,1,2,0,3
281,26,2,6,2,1,2,N,2,7,11
282,14,1,N,1,1,1,N,2,N,3
283,34,6,6,2,1,2,N,2,7,11
284,11,3,6,1,1,1,N,2,N,N
285,46,1,6,1,1,2,N,2,6,9
286,24,1,2,1,1,1,N,2,2,7
287,8,1,N,1,1,1,N,2,N,2
288,60,3,4,1,1,1,N,2,4,5
289,19,1,6,1,1,2,N,2,0,5
290,29,2,3,1,3,0,N,2,9,7
291,19,2,6,2,3,0,N,2,1,4
292,21,1,6,2,1,2,N,2,0,4
293,16,2,6,1,1,2,N,2,0,7
294,22,1,6,1,1,1,N,2,1,9
295,88,1,1,2,1,1,N,2,2,5
296,51,1,6,2,1,1,3,2,4,5
297,44,2,1,2,1,1,N,2,9,9
298,76,3,1,2,1,2,N,2,4,2
299,31,1,6,2,3,0,N,2,9,8
300,75,2,6,2,1,1,N,2,3,7
301,19,1,6,1,3,0,N,2,1,7
302,50,2,1,1,1,2,N,2,0,4
