,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR
0,17-03531,76,2,3,0,2,0,3,1,1,9844.0,N,11,47200.0,9,501,N,2,1,2,2
1,30-00600,56,1,4,0,1,0,N,1,2,3292.0,15,7,65500.0,9,454,N,1,2,2,2
2,17-03529,26,2,6,0,1,N,N,1,1,16396.0,N,4,50000.0,6,130,N,2,2,2,2
3,24-01004,60,1,1,0,1,2,4,1,1,3292.0,N,9,291500.0,8,501,N,2,1,2,2
4,28-01100,81,1,3,1,1,0,N,1,2,3292.0,3,5,290200.0,7,81,N,2,1,2,2
5,24-01004,41,2,4,0,6,0,2,1,1,3292.0,11,6,3520.0,9,501,N,2,2,2,2
6,06-08507,48,2,4,0,1,N,N,1,2,3292.0,N,4,4800.0,3,39,N,2,1,2,2
7,30-00600,18,2,6,0,1,3,5,1,2,3292.0,14,7,7200.0,2,476,N,2,2,2,2
8,51-51255,59,1,1,0,1,0,2,1,1,9844.0,4,5,8520.0,1,501,N,2,2,2,2
9,38-00100,9,1,N,0,1,2,3,1,2,3292.0,N,2,N,N,501,N,N,N,2,2
10,24-01004,64,2,6,0,1,0,N,1,1,3292.0,N,10,92000.0,9,501,N,2,2,2,2
11,13-04600,59,2,1,0,2,1,4,3,2,3292.0,N,7,0.0,0,0,N,2,2,1,2
12,24-01004,28,1,6,0,1,0,N,1,2,3292.0,11,10,3250.0,7,117,N,2,2,2,2
13,29-01901,22,1,6,0,2,0,N,1,1,3292.0,N,10,12000.0,3,91,N,2,1,2,2
14,40-00200,40,2,6,0,1,3,5,1,2,3292.0,10,9,11100.0,7,256,N,2,2,2,2
15,24-01004,25,2,6,0,1,4,6,1,2,3292.0,18,9,87100.0,3,424,N,2,1,2,2
16,40-00200,8,1,N,0,1,4,6,1,2,3292.0,N,N,N,N,424,N,N,N,2,2
17,24-01004,33,1,6,0,1,0,N,1,2,3292.0,4,7,47700.0,4,177,N,2,1,2,2
18,08-00803,55,1,5,0,1,N,N,1,1,3292.0,9,7,60000.0,8,501,N,2,2,2,2
19,17-03529,60,2,1,0,2,1,4,1,2,16396.0,15,8,41200.0,8,12,N,2,2,2,2
20,51-51255,37,2,1,0,6,1,3,1,1,9844.0,0,7,24200.0,2,501,N,2,2,2,2
21,24-01004,84,2,6,0,6,0,N,1,1,3292.0,1,9,42000.0,6,485,N,2,2,2,2
22,06-08507,75,1,1,0,1,1,2,1,2,3292.0,N,5,135040.0,5,501,N,2,2,2,1
23,40-00200,57,1,4,0,1,0,2,1,2,3292.0,N,11,77200.0,6,501,N,2,2,2,2
24,08-00803,29,2,6,1,1,0,2,1,2,3292.0,7,5,52000.0,6,461,N,2,2,2,2
25,29-01901,18,1,6,0,2,0,N,1,2,3292.0,N,10,0.0,0,0,N,2,2,2,2
26,51-51255,0,1,N,0,1,0,4,1,1,9844.0,N,3,N,N,305,N,N,2,2,2
27,51-01301,76,2,1,0,1,0,2,1,2,9844.0,6,9,576000.0,9,393,N,2,1,2,2
28,06-08507,1,2,N,0,1,0,3,1,1,3292.0,N,3,N,N,501,N,2,2,2,2
29,24-01004,10,2,N,0,1,0,N,1,1,3292.0,N,3,N,N,501,N,N,N,2,2
30,36-04010,46,1,1,1,2,3,6,1,2,49156.0,N,10,35200.0,9,419,N,2,2,2,2
31,01-01301,39,2,1,0,2,0,4,1,1,3292.0,6,6,12000.0,3,91,N,2,2,2,2
32,40-00200,3,1,N,0,1,4,5,1,1,3292.0,N,N,N,N,501,N,2,N,2,2
33,51-01301,43,1,6,0,1,2,4,1,1,9844.0,16,6,125000.0,9,501,N,2,2,2,2
34,38-00100,68,2,1,0,1,0,2,1,2,3292.0,6,10,16390.0,4,96,N,2,2,2,2
35,51-51255,71,1,1,0,1,1,3,1,2,9844.0,N,4,1580.0,9,501,N,2,2,2,2
36,26-02702,39,2,5,0,7,0,2,1,1,3292.0,12,9,15000.0,3,501,N,2,2,2,2
37,28-01100,19,2,6,0,2,1,4,1,1,3292.0,N,7,0.0,0,151,N,2,2,2,2
38,30-00600,69,2,1,0,1,0,6,1,2,3292.0,16,9,21300.0,9,312,N,2,2,2,2
39,17-03531,12,2,N,0,2,0,4,1,2,9844.0,N,1,N,N,501,N,2,N,2,2
40,06-08507,9,1,N,0,6,0,5,1,1,3292.0,N,1,N,N,501,N,2,2,2,2
41,30-00600,58,2,1,0,8,0,2,1,2,3292.0,N,5,0.0,0,182,N,2,2,2,2
42,24-01004,69,2,4,0,1,0,4,1,1,3292.0,N,11,63800.0,8,501,N,2,2,2,2
43,17-03529,40,2,6,0,2,0,2,1,1,16396.0,7,5,14000.0,3,501,N,2,1,2,2
44,01-01301,42,2,1,0,2,0,2,1,1,3292.0,N,7,9000.0,2,268,N,2,2,2,2
45,38-00100,20,2,6,0,1,0,3,1,2,3292.0,6,8,9000.0,2,140,N,1,2,2,2
46,26-02702,32,2,6,0,1,4,6,1,2,3292.0,10,9,140000.0,6,501,N,2,1,2,2
47,19-01700,56,1,6,0,9,N,N,1,1,3292.0,16,9,80000.0,7,501,N,2,2,2,2
48,36-03710,25,2,6,0,8,1,4,1,2,55708.0,N,7,11100.0,2,64,N,2,2,2,2
49,28-01100,61,2,6,0,2,1,3,1,1,3292.0,12,4,78000.0,8,501,N,2,2,2,2
50,28-01100,55,2,6,0,2,0,N,1,1,3292.0,9,3,167400.0,5,501,N,2,2,2,2
51,38-00100,17,2,6,0,1,2,4,1,1,3292.0,8,9,19000.0,2,463,N,2,2,2,2
52,06-07502,86,2,1,0,1,2,4,1,1,36052.0,N,9,55050.0,5,501,N,2,2,2,2
