PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
19-01700,73,2,1,0,1,0,2,1,1,3292.0,7860,11,7,52000.0,1,250,N,2,1,2,2,55.0,51.2
13-04600,19,2,6,0,2,2,4,3,0,3292.0,8564,14,7,2000.0,1,N,N,2,2,2,2,55.0,51.2
51-01301,23,1,6,0,1,0,N,1,1,9844.0,8680,14,5,15000.0,3,313,N,2,2,1,2,157.0,153.60000000000002
17-03529,79,2,1,0,2,0,2,1,1,16396.0,N,N,7,3980.0,8,501,N,2,1,2,2,55.0,51.2
17-03529,13,1,N,0,1,0,2,1,2,16396.0,N,N,3,N,N,179,N,2,2,2,2,157.0,153.60000000000002
24-01004,66,1,2,0,1,0,N,1,1,3292.0,7490,10,10,77200.0,8,501,5,2,2,2,2,55.0,51.2
17-03529,56,2,1,0,2,0,5,1,1,16396.0,9370,16,5,50000.0,6,146,N,1,2,2,2,55.0,51.2
26-02702,51,1,1,0,1,3,3,2,0,3292.0,770,3,4,0.0,0,N,N,2,2,1,2,55.0,51.2
06-08507,24,2,6,0,1,0,N,1,2,3292.0,8390,5,11,70000.0,8,501,N,2,2,2,2,55.0,51.2
28-01100,72,2,1,0,2,2,4,1,1,3292.0,N,N,5,144900.0,2,190,5,2,2,2,2,157.0,153.60000000000002
01-01301,53,1,1,0,1,0,3,1,1,3292.0,9070,0,9,28000.0,4,35,N,2,2,2,2,157.0,51.2
36-03710,2,1,N,0,2,1,3,1,2,55708.0,5391,6,N,N,N,129,N,N,N,2,2,55.0,51.2
36-03710,18,1,6,1,2,0,2,1,2,55708.0,1370,12,1,31000.0,5,98,N,2,2,2,1,157.0,256.0
26-02702,7,2,N,0,1,2,4,1,1,3292.0,N,N,3,N,N,257,N,2,2,2,2,55.0,51.2
06-07502,88,1,1,0,6,0,2,2,0,36052.0,N,N,7,0.0,0,N,N,2,1,2,2,55.0,51.2
32-00405,28,2,6,0,6,0,N,1,2,9844.0,9370,16,7,0.0,0,68,N,1,2,2,2,55.0,51.2
51-01301,45,2,1,0,1,0,2,1,2,9844.0,8090,12,4,160000.0,5,417,N,2,2,2,1,55.0,51.2
28-01100,68,2,1,0,2,0,2,1,2,3292.0,N,N,12,14970.0,9,501,N,2,2,2,2,55.0,51.2
51-01301,37,1,1,0,1,1,3,1,1,9844.0,7380,10,10,131800.0,9,501,N,2,2,2,2,55.0,51.2
51-51255,55,2,4,0,2,1,3,1,2,9844.0,N,N,3,58050.0,8,501,N,2,2,2,2,55.0,51.2
30-00600,57,2,1,0,1,0,2,1,2,3292.0,N,N,10,0.0,0,39,N,2,2,2,2,55.0,51.2
06-08507,13,1,N,0,1,0,2,1,1,3292.0,N,N,3,N,N,501,N,2,2,2,2,157.0,153.60000000000002
17-03529,27,2,6,1,1,0,N,1,2,16396.0,7390,10,7,28000.0,5,137,N,2,2,2,2,157.0,51.2
08-00803,25,1,6,4,1,0,N,1,1,3292.0,N,N,6,177100.0,5,152,N,2,2,2,2,55.0,51.2
51-01301,25,2,6,0,1,1,2,1,1,9844.0,N,N,11,567000.0,9,501,5,2,2,2,2,55.0,51.2
32-00405,81,2,3,0,1,N,N,1,2,9844.0,N,N,7,366000.0,5,427,N,2,1,2,2,55.0,153.60000000000002
06-07502,48,1,1,0,9,3,5,1,1,36052.0,8770,15,7,90050.0,9,501,N,2,2,2,2,55.0,51.2
08-00803,7,2,N,0,1,0,3,1,1,3292.0,6370,7,3,N,N,501,N,2,2,2,2,157.0,153.60000000000002
51-51255,30,1,1,0,1,0,3,1,1,9844.0,4890,4,9,0.0,0,501,N,2,2,2,2,55.0,51.2
19-01700,37,2,6,0,1,0,N,1,1,3292.0,8660,14,9,900.0,2,167,N,2,2,1,2,55.0,51.2
29-01901,28,1,6,0,1,0,2,1,1,3292.0,7390,10,6,30000.0,6,496,N,2,2,2,2,55.0,51.2
17-03531,88,1,1,0,2,0,2,1,2,9844.0,N,N,9,166300.0,9,501,N,2,2,2,2,55.0,51.2
24-01004,11,1,N,0,1,0,5,1,1,3292.0,N,N,N,N,N,501,N,2,2,2,2,55.0,51.2
