,INDP,count_target,count_deidentified
3,1070,1,0.0
40,1090,4,0.0
34,1170,3,0.0
5,1180,6,0.0
33,1190,3,0.0
18,1270,6,0.0
9,1280,10,0.0
35,1370,1,0.0
39,1480,1,0.0
37,1670,1,0.0
13,1691,2,0.0
42,1790,1,0.0
44,1870,3,0.0
47,1880,2,0.0
38,1990,3,0.0
7,2090,2,0.0
26,2190,4,0.0
32,2280,3,0.0
20,2290,3,0.0
12,2370,2,1.0
19,2390,1,0.0
43,2480,3,2.0
45,2490,1,0.0
21,2570,2,0.0
15,2590,1,0.0
10,2670,7,0.0
1,2770,3,1.0
4,2870,2,1.0
6,2880,7,0.0
46,2890,2,0.0
50,2970,1,0.0
16,2980,6,1.0
48,3080,1,0.0
29,3095,1,0.0
49,3180,1,0.0
0,3291,14,0.0
24,3365,34,0.0
17,3370,12,0.0
27,3380,10,0.0
22,3390,71,0.0
30,3490,11,0.0
2,3570,11,0.0
14,3580,12,0.0
23,3590,4,2.0
31,3680,1,0.0
25,3690,1,0.0
41,3895,1,0.0
8,3960,11,0.0
28,3970,2,0.0
36,3980,4,0.0
11,3990,8,0.0
