,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,PWGTP_x,RAC1P,SEX,WGTP_x,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,PWGTP_y,WGTP_y,percent_match
0,24,2,7,2,2,2,N,9,0,3,10,6,N,N,0,2,68,25-00503,14,6,2,0,22,2,7,2,2,2,N,3,N,N,3,N,80,0,71.42857142857143
1,48,2,6,2,2,2,N,8,0,1,4,6,0,N,2,7,501,25-01000,181,1,1,181,29,2,6,2,2,2,N,1,0,2,5,501,130,99,64.28571428571429
2,50,2,5,2,2,2,N,9,0,1,3,1,1,3,1,6,315,25-01300,34,1,2,34,62,2,5,2,2,2,N,1,0,4,9,501,128,128,50.0
3,37,2,7,2,2,2,N,7,0,1,15,6,0,N,2,5,72,25-00503,235,1,2,236,24,2,7,2,2,1,N,1,0,3,1,501,76,55,50.0
4,46,2,5,2,2,2,N,9,0,1,10,1,1,3,2,7,501,25-01300,44,1,2,49,24,2,5,2,2,2,N,1,0,2,6,394,128,134,50.0
5,57,2,6,2,2,2,N,9,0,1,0,1,0,2,1,9,501,25-00703,111,1,2,82,46,2,6,2,2,2,N,1,1,4,8,501,59,59,57.14285714285714
6,81,1,7,1,1,2,N,7,0,1,N,4,0,N,2,2,63,25-00503,112,1,2,111,73,2,7,2,2,2,N,1,0,N,6,426,105,106,42.857142857142854
7,28,2,6,2,2,2,N,6,0,3,N,2,N,N,0,0,N,25-00703,92,1,2,0,57,2,6,2,1,2,N,2,N,N,3,N,23,0,64.28571428571429
8,17,2,7,2,2,2,N,5,0,1,11,6,0,4,1,1,501,25-00503,92,1,2,81,40,2,7,2,2,2,N,1,0,N,7,501,401,309,64.28571428571429
9,56,2,6,2,2,2,N,5,0,1,3,4,3,5,1,7,441,25-01000,97,1,1,87,43,2,6,2,2,2,N,1,2,3,6,243,80,80,50.0
10,27,2,5,2,2,2,N,5,0,1,12,6,0,2,1,3,227,25-01300,73,1,1,49,38,2,5,2,2,2,N,1,0,N,3,133,123,123,64.28571428571429
11,36,1,7,2,2,2,N,10,0,1,10,6,0,N,2,9,501,25-00503,40,6,2,31,28,2,7,2,2,2,N,1,0,N,9,501,87,86,71.42857142857143
12,52,2,6,2,2,2,N,7,0,1,8,1,0,2,1,6,501,25-00703,69,1,2,68,53,2,6,2,2,2,N,1,0,2,8,501,37,32,71.42857142857143
13,71,2,7,2,2,2,N,10,0,1,11,4,0,3,1,9,501,25-00503,59,1,2,49,67,2,7,2,2,2,N,1,0,N,8,501,36,36,64.28571428571429
14,71,2,6,2,2,2,N,5,0,1,14,3,0,N,1,5,272,25-00703,277,1,2,177,86,2,6,2,2,2,N,1,0,N,4,215,51,51,64.28571428571429
15,64,2,6,2,2,2,N,5,0,1,9,6,0,N,1,9,501,25-00703,77,1,1,76,21,2,6,2,2,2,N,1,1,6,1,501,132,97,57.14285714285714
16,14,2,6,2,2,2,N,4,0,1,N,6,2,3,2,0,66,25-00703,345,2,2,416,16,2,6,2,2,2,N,1,5,6,0,66,202,485,64.28571428571429
17,58,2,5,2,2,2,N,9,0,1,7,2,0,2,1,7,501,25-01300,81,1,1,51,55,2,5,2,2,2,N,1,1,4,3,501,83,56,57.14285714285714
18,72,2,5,2,2,2,N,11,0,1,12,1,0,2,1,9,501,25-01300,57,1,2,57,72,2,5,2,2,2,N,1,0,3,8,501,51,51,71.42857142857143
19,62,2,5,2,1,2,N,4,0,2,N,4,N,N,0,1,N,25-01300,27,1,2,0,81,2,5,1,1,1,N,2,N,N,2,N,75,0,64.28571428571429
20,66,1,6,2,1,2,N,3,0,1,N,4,0,N,2,4,196,25-00703,14,1,1,14,56,2,6,2,2,2,N,1,0,N,2,86,140,139,50.0
21,28,2,7,2,2,2,N,10,0,1,9,1,2,4,2,6,501,25-00503,111,1,1,60,36,2,7,2,2,2,N,1,0,2,0,501,107,125,57.14285714285714
22,52,2,6,2,2,2,N,6,0,1,6,1,0,5,1,3,501,25-01000,60,1,1,69,57,2,6,2,2,2,N,1,0,2,8,501,124,125,64.28571428571429
23,61,2,6,2,2,2,N,5,0,1,3,1,0,2,1,4,501,25-00703,25,1,2,25,58,2,6,2,2,2,N,1,0,2,4,501,107,106,78.57142857142857
24,54,2,7,2,2,2,N,7,0,1,14,1,0,2,1,1,501,25-00503,102,1,1,107,62,2,7,2,2,2,N,1,0,2,5,279,64,63,64.28571428571429
25,46,2,7,2,2,2,N,12,0,1,4,6,1,2,2,8,501,25-00503,64,6,1,64,41,2,7,2,2,2,N,1,0,N,9,501,128,128,57.14285714285714
26,47,2,5,2,2,2,N,7,0,1,12,4,0,2,1,7,501,25-01300,49,1,2,53,51,2,5,2,2,2,N,1,0,4,5,501,213,164,64.28571428571429
