,Target samples,Deid. samples
0,13,0
1,0,0
2,0,0
3,104,3
4,22,1
5,0,0
6,0,0
7,148,11
8,0,0
9,0,0
10,0,0
11,0,0
12,37,5
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,577,137
20,0,0
21,0,0
22,0,0
23,241,71
24,19,6
25,0,0
26,43,15
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,171,93
36,0,0
37,823,489
38,0,0
39,323,207
40,34,23
41,0,0
42,2900,2073
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,459,416
49,750,723
50,949,951
51,0,0
52,51,55
53,0,0
54,542,642
55,0,0
56,185,241
57,14,19
58,0,0
59,0,0
60,360,538
61,0,0
62,0,0
63,0,0
64,66,117
65,0,0
66,0,0
67,2,4
68,0,0
69,74,161
70,0,0
71,292,706
72,0,0
73,0,0
74,0,0
75,1,3
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,35,223
87,0,0
88,3,23
89,0,0
90,0,0
91,22,216
92,0,0
93,0,0
94,0,0
95,3,53
96,1,23
97,12,393
98,0,0
99,0,635
