,AGEP_x,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,AGEP_y,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
0,33,N,7,2,6,0,4,8,2,25,N,3,0,25.0
1,45,N,3,1,4,1,0,2,2,47,N,1,2,50.0
2,43,N,7,2,2,0,9,8,1,67,N,2,2,50.0
3,54,N,8,1,4,1,8,2,1,46,N,1,4,50.0
4,39,N,1,1,6,1,6,2,1,33,N,1,6,75.0
5,24,N,5,1,2,2,0,2,2,39,N,1,7,50.0
6,72,N,12,1,4,1,5,2,1,51,N,1,2,50.0
7,40,N,3,1,2,2,4,1,1,40,N,1,5,75.0
8,19,N,7,1,6,2,1,8,1,31,N,1,4,50.0
9,23,N,6,1,6,1,5,2,2,23,N,1,2,75.0
10,64,N,5,1,4,1,8,9,2,52,N,1,2,50.0
11,79,N,5,1,3,1,2,8,2,86,N,1,4,50.0
12,22,N,6,1,6,1,3,9,1,34,N,1,5,50.0
13,61,N,7,1,5,1,0,2,2,66,N,1,5,50.0
14,21,N,8,1,6,2,2,6,1,24,N,1,4,50.0
15,83,N,4,1,3,1,0,8,1,66,N,1,5,50.0
16,3,N,2,1,N,1,N,6,2,4,N,1,N,75.0
17,24,N,9,1,6,2,5,9,1,34,N,1,7,50.0
18,67,N,8,2,3,0,8,1,1,81,N,2,0,50.0
19,15,N,8,1,6,2,9,2,1,46,N,1,6,50.0
20,77,N,5,1,3,2,7,2,1,78,N,1,4,50.0
21,16,N,4,1,2,1,0,6,1,16,N,1,0,100.0
22,54,N,1,1,2,1,6,1,2,26,N,1,2,50.0
23,7,N,3,1,4,1,N,8,1,65,N,1,3,50.0
24,37,N,8,1,2,2,9,2,1,30,N,1,5,50.0
25,73,N,1,1,1,1,3,9,2,87,N,1,2,50.0
26,83,N,5,1,5,1,3,2,1,60,N,1,4,50.0
27,34,N,9,1,6,2,2,6,2,24,N,1,8,50.0
28,34,N,1,2,6,0,4,1,2,41,N,3,2,25.0
29,36,N,10,1,6,2,1,2,2,30,2,1,3,25.0
30,83,N,7,1,2,1,2,6,2,53,N,1,7,50.0
31,1,N,N,1,N,2,N,8,2,2,N,1,N,75.0
32,69,N,7,1,4,2,2,2,1,85,N,1,4,50.0
33,62,N,4,1,1,2,7,2,2,53,N,1,3,50.0
34,6,N,2,1,4,2,N,1,2,60,N,1,8,50.0
35,37,N,5,1,2,1,1,8,1,24,N,1,5,50.0
36,73,5,11,1,2,1,6,1,1,52,N,1,9,25.0
37,52,N,8,1,1,1,8,9,1,69,2,1,3,25.0
38,42,N,7,1,4,2,0,8,2,40,N,1,4,50.0
39,5,N,1,1,4,1,N,1,1,54,N,1,2,50.0
40,31,N,9,1,6,2,2,8,1,27,N,1,1,50.0
41,67,N,7,1,3,1,8,9,1,69,5,1,7,25.0
42,39,N,12,1,2,1,6,1,1,81,N,1,6,75.0
43,37,N,9,1,2,1,7,8,2,32,N,1,0,50.0
44,40,N,10,1,4,2,8,2,1,42,N,1,7,50.0
45,73,N,5,2,3,0,6,2,1,86,N,2,2,50.0
46,18,N,4,1,5,1,0,1,2,53,N,1,3,50.0
47,49,N,9,1,5,1,8,6,1,44,N,1,5,50.0
