,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE,DEYE
PUMA,-4.440892098500626e-16,-0.0061668612314232825,-0.011411965388841238,0.012134818255668704,0.03449527813951472,0.07840321694521195,-0.023595853929670056,-0.07793065964360803,0.007149220744512,0.01212696000029943,0.01035656063283754
AGEP,-0.0061668612314232825,-1.9984014443252818e-15,-0.046542922498254875,-0.02296366892864192,0.09010050573333511,0.03209670129416263,0.07765411568475017,0.11300878885209609,0.040561748668070566,-0.02608373828520194,0.13804436670809545
SEX,-0.011411965388841238,-0.046542922498254875,0.0,0.017697518557510578,0.010652725618340537,0.017542830356318716,0.008253804838764783,0.047885875573764544,0.020476490565447515,-0.0021899352579824727,-0.01574919277203801
MSP,0.012134818255668704,-0.02296366892864192,0.017697518557510578,-1.2212453270876722e-14,-0.02302432735527235,0.014906348131323176,0.16917089758536147,0.28724544326293866,-0.012623969586854841,0.02602601905567961,0.03796809888843097
HISP,0.03449527813951472,0.09010050573333511,0.010652725618340537,-0.02302432735527235,-5.10702591327572e-15,-0.1589296380505122,-0.0212582921875469,-0.0079332685555385,-0.0836027562139107,0.035544514700190405,0.012632394641854937
RAC1P,0.07840321694521195,0.03209670129416263,0.017542830356318716,0.014906348131323176,-0.1589296380505122,0.0,-0.02143756622198152,-0.014219952924777464,-0.044240607323717436,0.029222255216873785,-0.03618705949622141
NOC,-0.023595853929670056,0.07765411568475017,0.008253804838764783,0.16917089758536147,-0.0212582921875469,-0.02143756622198152,0.0,-0.005794835133077991,-0.1589223969935824,0.007108558047373065,-0.08769987787117814
NPF,-0.07793065964360803,0.11300878885209609,0.047885875573764544,0.28724544326293866,-0.0079332685555385,-0.014219952924777464,-0.005794835133077991,-7.771561172376096e-16,-0.04530987632555375,0.035731277737646755,-0.08113404189956595
OWN_RENT,0.007149220744512,0.040561748668070566,0.020476490565447515,-0.012623969586854841,-0.0836027562139107,-0.044240607323717436,-0.1589223969935824,-0.04530987632555375,0.0,-0.019964782008715223,-0.00556815221778733
PINCP_DECILE,0.01212696000029943,-0.02608373828520194,-0.0021899352579824727,0.02602601905567961,0.035544514700190405,0.029222255216873785,0.007108558047373065,0.035731277737646755,-0.019964782008715223,1.6653345369377348e-15,0.025438823418926795
DEYE,0.01035656063283754,0.13804436670809545,-0.01574919277203801,0.03796809888843097,0.012632394641854937,-0.03618705949622141,-0.08769987787117814,-0.08113404189956595,-0.00556815221778733,0.025438823418926795,1.176836406102666e-14
