,AGEP,SEX,MSP,RAC1P,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE,DVET,DREM
AGEP,0.0,0.003664484865090474,-0.007183628574299952,-0.007035302892870132,-0.0021795442163096354,-0.005552890925650963,-0.0035984330044802615,-0.0012104718500809963,-0.0027162710544274687,0.0015260615383067
SEX,0.003664484865090467,0.0,-0.003834671474269373,-0.00495022722907076,0.0029257650379138356,-0.015369129354530914,0.008010849786974892,0.010353492737072666,0.0019314604253100193,-0.005979057476147111
MSP,-0.007183628574299959,-0.003834671474269372,0.0,0.004944453579963683,0.006349988535028633,-0.002592261437519214,-0.006510167858619881,-0.007373720738434175,-0.0025754077934409814,0.001321365801141533
RAC1P,-0.0070353028928701045,-0.00495022722907076,0.00494445357996369,-1.1102230246251565e-16,0.005559848627370926,-0.0022472316977709683,-6.314334628995666e-05,-0.0013890776966427043,0.0008210099250132372,0.00627659072026537
HOUSING_TYPE,-0.0021795442163096215,0.0029257650379138425,0.006349988535028633,0.005559848627370926,-1.1102230246251565e-16,-0.007254064778104585,-0.003980493206478385,-0.00562747761770431,-0.00287910687234841,-0.00315254985654409
OWN_RENT,-0.005552890925650977,-0.015369129354530914,-0.002592261437519214,-0.0022472316977709683,-0.007254064778104641,1.1102230246251565e-16,0.006934463953871296,0.007440160024856219,-0.0028004758990183877,0.006905488178269168
EDU,-0.003598433004480317,0.008010849786974885,-0.006510167858619825,-6.314334628995666e-05,-0.003980493206478385,0.006934463953871296,0.0,-0.004777964388450462,-0.006311016096767139,0.0018136201020335085
PINCP_DECILE,-0.0012104718500809408,0.010353492737072666,-0.007373720738434175,-0.0013890776966427043,-0.005627477617704282,0.007440160024856226,-0.004777964388450573,0.0,-0.004857559127053122,-0.0005677733124605511
DVET,-0.0027162710544274687,0.0019314604253100331,-0.0025754077934409814,0.0008210099250132337,-0.00287910687234841,-0.0028004758990183877,-0.0063110160967671455,-0.004857559127053115,0.0,0.006262264393985457
DREM,0.0015260615383067277,-0.005979057476147111,0.0013213658011415608,0.00627659072026537,-0.00315254985654409,0.006905488178269168,0.001813620102033453,-0.0005677733124605511,0.006262264393985457,2.220446049250313e-16
