,AGEP,SEX,MSP,RAC1P,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE,DVET,DEYE
AGEP,0.0,0.0,-0.01989750165581755,0.018979214050628954,0.0,0.006613243055157619,-0.06070476757999543,0.0,0.0,0.0
SEX,0.0,0.0,-0.004339982869127738,0.010213750371807785,0.0,-0.010443872223908086,0.00019366249700609323,0.0,0.0,0.0
MSP,-0.01989750165581755,-0.004339982869127738,0.0,0.006463513703118547,-0.04361747216145709,0.01351458132045684,-0.07219154182728274,-0.026504909866568782,0.0007893173651717222,0.007587901431334802
RAC1P,0.018979214050628954,0.010213750371807785,0.006463513703118547,0.0,0.001969748560125094,-0.029949111176485604,0.028086984338390186,0.01788740338710243,-0.0026748955609433474,0.006229247260059413
HOUSING_TYPE,0.0,0.0,-0.04361747216145709,0.001969748560125094,0.0,0.13295763470848032,0.0005819908258532999,0.0,0.0,0.0
OWN_RENT,0.006613243055157619,-0.010443872223908086,0.01351458132045684,-0.029949111176485604,0.13295763470848032,1.1102230246251565e-16,0.016826205654589296,-0.009424650871455014,0.002165902558354052,0.005767463679042332
EDU,-0.06070476757999543,0.00019366249700609323,-0.07219154182728274,0.028086984338390186,0.0005819908258532999,0.016826205654589296,1.2212453270876722e-15,-0.09489315887681071,-0.003733923800442976,-0.004875816705793675
PINCP_DECILE,0.0,0.0,-0.026504909866568782,0.01788740338710243,0.0,-0.009424650871455014,-0.09489315887681071,0.0,0.0,0.0
DVET,0.0,0.0,0.0007893173651717222,-0.0026748955609433474,0.0,0.002165902558354052,-0.003733923800442976,0.0,0.0,0.0
DEYE,0.0,0.0,0.007587901431334802,0.006229247260059413,0.0,0.005767463679042332,-0.004875816705793675,0.0,0.0,0.0
