PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR
25-02800,57,2,1,0,1,0,4,1,1,3683.9,3,5,70000.0,7,501,N,2,2,2,2
25-00503,78,2,3,0,1,0,N,1,1,2872.7,N,9,57400.0,6,472,N,2,2,2,2
25-02800,87,2,1,0,1,0,2,1,1,3683.9,N,7,81800.0,7,501,N,2,2,2,1
25-02800,28,1,6,4,1,0,N,1,2,3683.9,6,7,37000.0,5,283,N,2,2,2,2
25-01300,16,2,6,0,2,3,7,1,1,1457.2,14,4,6300.0,1,443,N,2,2,2,2
25-00503,74,1,1,0,1,0,2,1,1,2872.7,16,7,24260.0,4,373,N,2,2,2,2
25-00703,50,1,1,0,2,0,4,1,1,2195.3,16,9,32530.0,4,501,N,2,2,2,2
25-00703,54,2,4,0,1,0,4,1,2,2195.3,10,9,106500.0,8,501,N,2,2,2,2
25-00703,26,2,1,0,1,1,3,1,1,2195.3,9,9,0.0,0,320,N,2,2,2,2
25-00503,27,2,6,0,1,0,N,1,1,2872.7,10,10,46000.0,5,349,N,2,2,2,2
25-01000,46,1,6,0,1,0,N,1,2,2447.1,10,7,30000.0,4,226,N,2,2,2,2
25-01300,44,1,2,0,6,N,N,3,0,1457.2,11,9,25000.0,4,190,N,2,2,2,2
25-00703,12,2,N,0,1,2,3,1,1,2195.3,N,3,N,N,254,N,2,2,2,2
25-01300,43,1,5,0,1,0,6,1,1,1457.2,16,5,50000.0,6,376,N,2,2,2,2
25-00503,57,2,6,2,1,0,2,1,2,2872.7,N,4,19200.0,3,157,N,1,1,2,2
25-00703,46,2,1,0,1,0,2,1,1,2195.3,12,9,50000.0,6,501,N,2,2,2,2
25-00503,78,1,4,0,1,0,N,1,1,2872.7,6,9,58200.0,6,477,N,2,2,2,2
25-00503,16,1,6,4,9,2,4,1,2,2872.7,N,4,0.0,0,93,N,2,2,2,2
25-00503,43,1,1,0,6,2,4,1,1,2872.7,4,9,110000.0,8,501,N,2,2,2,2
25-01300,18,2,6,2,1,N,N,3,0,1457.2,14,7,14100.0,3,N,N,1,2,2,2
25-00503,15,1,6,0,1,1,3,1,1,2872.7,N,4,0.0,0,501,N,2,2,2,2
25-01000,31,1,1,0,1,2,4,1,1,2447.1,16,7,87000.0,8,339,N,2,2,2,2
