,library name,algorithm name,algorithm type,target dataset,feature set name,feature space size,features list,privacy category,privacy label detail,epsilon,delta,variant label,variant label detail,research papers,data path,labels path,report path,team,submission number,submission timestamp,quasi identifiers subset,deid data id
0,Genetic SD,Genetic SD,query matching,ma2019,all-features,13330105588800000000000000,"PUMA, AGEP, SEX, MSP, HISP, RAC1P, NOC, NPF, HOUSING_TYPE, OWN_RENT, DENSITY, INDP, INDP_CAT, EDU, PINCP, PINCP_DECILE, POVPIP, DVET, DREM, DPHY, DEYE, DEAR, WGTP, PWGTP",dp,Our submission satisfies approximate differential privacy. To archive privacy the mechanism utilizes the gaussian mechanism to access statistical properties of the data.,1,10^(-5),sync_ma2019_1,,https://doi.org/10.48550/arXiv.2306.03257,deid_data/genetic_sd_DataEvolution/ma/genetic_sd_e_1_GiuseppeVietri_2.csv,deid_data/genetic_sd_DataEvolution/ma/genetic_sd_e_1_GiuseppeVietri_2.json,deid_data/genetic_sd_DataEvolution/ma/report_genetic_sd_e_1_GiuseppeVietri_2_ma2019_06-19-2023T20.33.47,DataEvolution,2.0,4/16/2023 20:31:04,,da8cc8377602ef284eaa4b00f9ca1e6d90a0ee49
1,Genetic SD,Genetic SD,query matching,ma2019,all-features,13330105588800000000000000,"PUMA, AGEP, SEX, MSP, HISP, RAC1P, NOC, NPF, HOUSING_TYPE, OWN_RENT, DENSITY, INDP, INDP_CAT, EDU, PINCP, PINCP_DECILE, POVPIP, DVET, DREM, DPHY, DEYE, DEAR, WGTP, PWGTP",dp,Our submission satisfies approximate differential privacy. To archive privacy the mechanism utilizes the gaussian mechanism to access statistical properties of the data.,10,10^(-5),sync_ma2019_10,,https://doi.org/10.48550/arXiv.2306.03257,deid_data/genetic_sd_DataEvolution/ma/genetic_sd_e_10_GiuseppeVietri_2.csv,deid_data/genetic_sd_DataEvolution/ma/genetic_sd_e_10_GiuseppeVietri_2.json,deid_data/genetic_sd_DataEvolution/ma/report_genetic_sd_e_10_GiuseppeVietri_2_ma2019_06-19-2023T20.33.47,DataEvolution,2.0,4/16/2023 20:31:04,,f92728a5d5e5270a44c51342cca2fa5994c3e185
2,Genetic SD,Genetic SD,query matching,ma2019,simple-features,5721075360000000000,"PUMA, AGEP, SEX, MSP, HISP, RAC1P, NOC, NPF, HOUSING_TYPE, OWN_RENT, DENSITY, INDP_CAT, EDU, PINCP, PINCP_DECILE, POVPIP, DVET, DREM, DPHY, DEYE, DEAR",dp,Our submission satisfies approximate differential privacy. To archive privacy the mechanism utilizes the gaussian mechanism to access statistical properties of the data.,10,10^(-5),sync_ma2019_simple_10,,https://doi.org/10.48550/arXiv.2306.03257,deid_data/genetic_sd_DataEvolution/ma/genetic_sd_e_10_simple_GiuseppeVietri_3.csv,deid_data/genetic_sd_DataEvolution/ma/genetic_sd_e_10_simple_GiuseppeVietri_3.json,deid_data/genetic_sd_DataEvolution/ma/report_genetic_sd_e_10_simple_GiuseppeVietri_3_ma2019_06-19-2023T20.33.47,DataEvolution,3.0,4/18/2023 13:55:09,,b645799fe17deb1d8b8eb9adebab996c382bbe59
3,Genetic SD,Genetic SD,query matching,ma2019,simple-features,5721075360000000000,"PUMA, AGEP, SEX, MSP, HISP, RAC1P, NOC, NPF, HOUSING_TYPE, OWN_RENT, DENSITY, INDP_CAT, EDU, PINCP, PINCP_DECILE, POVPIP, DVET, DREM, DPHY, DEYE, DEAR",dp,Our submission satisfies approximate differential privacy. To archive privacy the mechanism utilizes the gaussian mechanism to access statistical properties of the data.,1,10^(-5),sync_ma2019_simple_1,,https://doi.org/10.48550/arXiv.2306.03257,deid_data/genetic_sd_DataEvolution/ma/genetic_sd_e_1_simple_GiuseppeVietri_3.csv,deid_data/genetic_sd_DataEvolution/ma/genetic_sd_e_1_simple_GiuseppeVietri_3.json,deid_data/genetic_sd_DataEvolution/ma/report_genetic_sd_e_1_simple_GiuseppeVietri_3_ma2019_06-19-2023T20.33.47,DataEvolution,3.0,4/18/2023 13:55:09,,792ece23589ff68eb250b47e737a673a46fe786d
4,Genetic SD,Genetic SD,query matching,ma2019,simple-features,5721075360000000000,"PUMA, AGEP, SEX, MSP, HISP, RAC1P, NOC, NPF, HOUSING_TYPE, OWN_RENT, DENSITY, INDP_CAT, EDU, PINCP, PINCP_DECILE, POVPIP, DVET, DREM, DPHY, DEYE, DEAR",dp,Our submission satisfies approximate differential privacy. To archive privacy the mechanism utilizes the gaussian mechanism to access statistical properties of the data.,10,10^(-5),MA_Rows=N_k=3_eps=10,,https://doi.org/10.48550/arXiv.2306.03257,deid_data/genetic_sd_DataEvolution/ma/genetic_sd_k_3_e_10_simple_GiuseppeVietri_4.csv,deid_data/genetic_sd_DataEvolution/ma/genetic_sd_k_3_e_10_simple_GiuseppeVietri_4.json,deid_data/genetic_sd_DataEvolution/ma/report_genetic_sd_k_3_e_10_simple_GiuseppeVietri_4_ma2019_06-19-2023T20.33.47,DataEvolution,4.0,4/28/2023 14:37:48,,a8d608f75c399f1dab94f1b5673c3cbf59690ded
5,Genetic SD,Genetic SD,query matching,ma2019,simple-features,5721075360000000000,"PUMA, AGEP, SEX, MSP, HISP, RAC1P, NOC, NPF, HOUSING_TYPE, OWN_RENT, DENSITY, INDP_CAT, EDU, PINCP, PINCP_DECILE, POVPIP, DVET, DREM, DPHY, DEYE, DEAR",dp,Our submission satisfies approximate differential privacy. To archive privacy the mechanism utilizes the gaussian mechanism to access statistical properties of the data.,1,10^(-5),MA_Rows=N_k=3_eps=1,,https://doi.org/10.48550/arXiv.2306.03257,deid_data/genetic_sd_DataEvolution/ma/genetic_sd_k_3_e_1_simple_GiuseppeVietri_4.csv,deid_data/genetic_sd_DataEvolution/ma/genetic_sd_k_3_e_1_simple_GiuseppeVietri_4.json,deid_data/genetic_sd_DataEvolution/ma/report_genetic_sd_k_3_e_1_simple_GiuseppeVietri_4_ma2019_06-19-2023T20.33.47,DataEvolution,4.0,4/28/2023 14:37:48,,aa4c3508f6bf8d814f750b64d0ec627a85e9417a
6,Genetic SD,Genetic SD,query matching,national2019,all-features,517839049728000000000000000,"PUMA, AGEP, SEX, MSP, HISP, RAC1P, NOC, NPF, HOUSING_TYPE, OWN_RENT, DENSITY, INDP, INDP_CAT, EDU, PINCP, PINCP_DECILE, POVPIP, DVET, DREM, DPHY, DEYE, DEAR, WGTP, PWGTP",dp,Our submission satisfies approximate differential privacy. To archive privacy the mechanism utilizes the gaussian mechanism to access statistical properties of the data.,1,10^(-5),sync_national2019_1,,https://doi.org/10.48550/arXiv.2306.03257,deid_data/genetic_sd_DataEvolution/national/genetic_sd_e_1_GiuseppeVietri_2.csv,deid_data/genetic_sd_DataEvolution/national/genetic_sd_e_1_GiuseppeVietri_2.json,deid_data/genetic_sd_DataEvolution/national/report_genetic_sd_e_1_GiuseppeVietri_2_national2019_06-19-2023T20.33.47,DataEvolution,2.0,4/16/2023 20:31:04,,da3040ff9d1265c4d94ef8e679fe6c6185a594c2
7,Genetic SD,Genetic SD,query matching,national2019,all-features,517839049728000000000000000,"PUMA, AGEP, SEX, MSP, HISP, RAC1P, NOC, NPF, HOUSING_TYPE, OWN_RENT, DENSITY, INDP, INDP_CAT, EDU, PINCP, PINCP_DECILE, POVPIP, DVET, DREM, DPHY, DEYE, DEAR, WGTP, PWGTP",dp,Our submission satisfies approximate differential privacy. To archive privacy the mechanism utilizes the gaussian mechanism to access statistical properties of the data.,10,"1/n^2, where n is the data size",genetic_sd_national,,https://doi.org/10.48550/arXiv.2306.03257,deid_data/genetic_sd_DataEvolution/national/genetic_sd_national_GiuseppeVietri_1.csv,deid_data/genetic_sd_DataEvolution/national/genetic_sd_national_GiuseppeVietri_1.json,deid_data/genetic_sd_DataEvolution/national/report_genetic_sd_national_GiuseppeVietri_1_national2019_06-19-2023T20.33.47,DataEvolution,1.0,3/10/2023 18:01:31,,07fd46b537902a3c01a20e775639a8113257e80f
8,Genetic SD,Genetic SD,query matching,national2019,all-features,517839049728000000000000000,"PUMA, AGEP, SEX, MSP, HISP, RAC1P, NOC, NPF, HOUSING_TYPE, OWN_RENT, DENSITY, INDP, INDP_CAT, EDU, PINCP, PINCP_DECILE, POVPIP, DVET, DREM, DPHY, DEYE, DEAR, WGTP, PWGTP",dp,Our submission satisfies approximate differential privacy. To archive privacy the mechanism utilizes the gaussian mechanism to access statistical properties of the data.,10,10^(-5),sync_national2019_10,,https://doi.org/10.48550/arXiv.2306.03257,deid_data/genetic_sd_DataEvolution/national/genetic_sd_e_10_GiuseppeVietri_2.csv,deid_data/genetic_sd_DataEvolution/national/genetic_sd_e_10_GiuseppeVietri_2.json,deid_data/genetic_sd_DataEvolution/national/report_genetic_sd_e_10_GiuseppeVietri_2_national2019_06-19-2023T20.33.47,DataEvolution,2.0,4/16/2023 20:31:04,,2aba4a66ffbae44c4dcf2af2f7161305f4a1c8e1
9,Genetic SD,Genetic SD,query matching,national2019,simple-features,196151155200000000000,"PUMA, AGEP, SEX, MSP, HISP, RAC1P, NOC, NPF, HOUSING_TYPE, OWN_RENT, DENSITY, INDP_CAT, EDU, PINCP, PINCP_DECILE, POVPIP, DVET, DREM, DPHY, DEYE, DEAR",dp,Our submission satisfies approximate differential privacy. To archive privacy the mechanism utilizes the gaussian mechanism to access statistical properties of the data.,10,10^(-5),sync_national2019_simple_10,,https://doi.org/10.48550/arXiv.2306.03257,deid_data/genetic_sd_DataEvolution/national/genetic_sd_e_10_simple_GiuseppeVietri_3.csv,deid_data/genetic_sd_DataEvolution/national/genetic_sd_e_10_simple_GiuseppeVietri_3.json,deid_data/genetic_sd_DataEvolution/national/report_genetic_sd_e_10_simple_GiuseppeVietri_3_national2019_06-19-2023T20.33.47,DataEvolution,3.0,4/18/2023 13:55:09,,68b110e72b0878712fcf2ed8177863227a1efc34
