,AGEP_x,DEYE_x,HISP,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,DEYE_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,10,2,0,N,2,4,2,N,408,25-02800,2,1,5,2,3,6,N,240,33.33333333333333
1,15,2,2,6,1,3,2,1,264,25-01000,1,2,26,2,0,N,4,206,16.666666666666664
2,19,2,4,6,N,N,0,1,N,25-00703,1,2,19,2,N,N,1,N,100.0
3,11,2,1,N,3,5,1,N,7,25-01300,1,1,4,2,2,4,N,501,33.33333333333333
4,12,2,4,N,2,4,2,N,375,25-00703,1,1,0,2,3,4,N,15,50.0
5,16,2,0,6,4,7,2,1,294,25-01300,8,1,22,2,0,2,3,260,16.666666666666664
6,43,2,4,6,0,N,1,6,159,25-00503,1,1,17,2,1,4,0,230,16.666666666666664
7,18,2,2,6,N,N,1,1,113,25-01300,1,2,22,2,0,2,0,429,16.666666666666664
8,50,2,4,4,1,3,2,3,450,25-01000,1,1,68,2,0,N,4,212,16.666666666666664
9,58,2,0,1,0,2,2,8,54,25-01300,2,2,30,2,1,4,3,501,16.666666666666664
10,43,2,0,1,0,3,2,6,341,25-00503,2,1,44,2,0,2,0,207,33.33333333333333
11,44,2,0,2,2,4,1,9,501,25-00503,6,1,48,2,0,N,8,501,33.33333333333333
12,79,2,2,4,0,2,1,8,382,25-00503,1,2,50,2,0,2,5,234,50.0
13,64,2,0,2,0,2,1,7,501,25-00703,6,1,49,2,0,N,0,0,33.33333333333333
14,17,2,3,6,1,2,1,0,501,25-00703,1,2,27,2,0,N,8,501,33.33333333333333
15,26,2,0,6,0,N,2,4,369,25-01000,6,2,34,2,0,N,8,501,50.0
16,35,2,0,1,N,N,2,3,191,25-00503,9,2,20,2,1,3,2,178,16.666666666666664
17,60,1,0,4,0,2,1,3,150,25-00703,2,1,31,2,0,3,7,501,16.666666666666664
18,18,2,0,4,N,N,1,1,248,25-00703,9,2,35,2,1,2,0,0,16.666666666666664
19,48,2,0,1,2,5,2,5,305,25-00703,2,2,68,2,0,2,7,501,16.666666666666664
20,90,2,0,3,4,4,1,2,501,25-00703,2,2,52,2,0,4,6,478,33.33333333333333
21,59,2,0,1,0,N,1,6,501,25-01000,9,1,39,2,2,4,8,430,16.666666666666664
22,9,2,4,N,2,4,1,N,339,25-01300,1,2,12,2,0,2,N,222,33.33333333333333
23,79,2,2,1,0,2,2,3,121,25-01000,1,2,58,2,0,2,2,62,50.0
24,19,2,0,6,N,N,2,0,N,25-00503,2,1,25,2,1,3,7,373,16.666666666666664
25,6,2,0,N,4,6,2,N,501,25-01300,2,2,1,2,1,4,N,501,50.0
26,7,2,1,N,2,5,1,N,34,25-00503,1,1,3,2,0,4,N,501,33.33333333333333
27,46,2,0,5,2,3,2,4,34,25-01000,1,2,59,2,0,N,7,501,16.666666666666664
28,68,2,1,3,0,N,1,8,501,25-01000,1,2,71,2,0,N,7,501,66.66666666666666
29,30,2,2,1,1,2,2,8,501,25-00503,1,1,44,2,2,4,9,501,33.33333333333333
30,27,2,1,6,0,3,1,0,287,25-01000,1,2,31,2,0,N,7,501,33.33333333333333
31,20,2,0,3,N,N,2,2,391,25-02800,2,2,64,2,3,6,0,240,16.666666666666664
32,32,2,0,1,1,3,2,5,501,25-01000,6,2,26,2,0,2,3,501,33.33333333333333
33,12,2,4,N,3,5,1,N,501,25-00503,1,2,11,2,2,4,N,501,50.0
34,29,2,0,6,0,2,0,0,N,25-02800,2,1,31,2,N,N,3,137,16.666666666666664
35,21,1,4,6,N,N,0,1,N,25-02800,1,1,50,1,N,N,0,N,66.66666666666666
36,12,2,0,N,4,6,2,N,501,25-02800,9,1,6,2,3,5,N,164,33.33333333333333
37,61,2,4,1,0,2,2,5,210,25-00503,1,1,38,2,2,4,8,501,16.666666666666664
38,20,2,2,6,N,N,0,2,N,25-00503,1,1,55,2,N,N,4,178,50.0
39,61,2,2,4,0,3,2,0,501,25-02800,1,1,69,2,0,N,4,256,33.33333333333333
40,60,2,3,1,0,N,1,8,501,25-00703,1,1,43,2,2,4,9,501,33.33333333333333
41,17,1,0,6,1,4,0,1,N,25-01300,6,2,27,2,N,N,2,69,0.0
42,94,2,0,3,0,2,0,2,N,25-01000,1,1,82,1,N,N,3,N,16.666666666666664
43,66,2,0,3,0,2,2,6,501,25-00703,6,1,90,2,0,4,0,391,33.33333333333333
