,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE,DEYE
PUMA,2.55351295663786e-15,0.22456092221205354,0.2583880334978522,-0.32955297180712606,,,0.22680194653446833,0.2669144186736,0.3873246866274625,0.23011202511972279,
AGEP,0.22456092221205354,0.0,-0.49954498009603504,-0.9828288607154724,,,0.8364595335413398,1.0828389777012055,0.9351721869034709,0.08549354990011837,
SEX,0.2583880334978522,-0.49954498009603504,0.0,0.4035435244299813,,,-0.42293752463391315,-0.4214688268393918,-0.42100576251462213,-0.12220583912084346,
MSP,-0.32955297180712606,-0.9828288607154724,0.4035435244299813,-5.551115123125783e-16,,,-0.19331642398742466,-0.4293478455004444,-0.9506706474319665,-0.9443478715808258,
HISP,,,,,,,,,,,
RAC1P,,,,,,,,,,,
NOC,0.22680194653446833,0.8364595335413398,-0.42293752463391315,-0.19331642398742466,,,-4.440892098500626e-16,0.21118648626615277,0.4598647995645939,0.8924508536530251,
NPF,0.2669144186736,1.0828389777012055,-0.4214688268393918,-0.4293478455004444,,,0.21118648626615277,0.0,0.8618105932338264,0.996691155146519,
OWN_RENT,0.3873246866274625,0.9351721869034709,-0.42100576251462213,-0.9506706474319665,,,0.4598647995645939,0.8618105932338264,-3.3306690738754696e-16,0.7695545406341567,
PINCP_DECILE,0.23011202511972279,0.08549354990011837,-0.12220583912084346,-0.9443478715808258,,,0.8924508536530251,0.996691155146519,0.7695545406341567,1.6653345369377348e-15,
DEYE,,,,,,,,,,,
