AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,DEYE,PINCP_DECILE,EDU
18,1,6,1,1,1,N,2,1,5
21,1,6,2,3,0,N,2,0,7
22,6,6,2,3,1,N,2,3,9
58,1,6,1,2,0,N,2,9,8
18,1,6,2,3,0,N,2,1,4
18,1,6,1,1,0,N,2,9,5
21,1,6,2,3,0,2,2,1,7
18,1,6,1,3,0,N,2,0,10
57,1,2,2,2,0,N,2,3,6
20,1,6,1,3,0,N,2,2,5
89,1,6,2,2,1,N,2,0,8
57,1,4,2,3,1,N,2,2,9
18,1,6,1,1,0,N,2,0,7
19,1,6,1,3,2,N,2,1,7
21,1,6,2,3,0,N,2,7,7
21,1,6,2,3,1,N,2,2,7
21,1,2,2,3,2,N,2,0,5
19,1,6,2,2,1,N,2,1,7
18,1,6,2,1,1,N,2,1,5
88,1,6,2,3,0,N,2,1,7
19,1,6,2,3,0,N,2,2,5
19,1,6,2,3,0,N,2,1,7
81,1,4,2,2,0,N,1,2,4
53,1,6,1,3,0,N,1,3,5
39,2,6,2,1,0,N,2,1,2
94,1,3,2,2,1,N,2,1,5
21,1,6,1,3,1,N,2,1,7
20,1,6,2,1,0,N,2,1,7
19,1,6,1,3,0,N,2,0,7
69,2,1,1,1,1,5,2,0,4
18,1,6,2,3,2,N,2,2,7
90,1,6,2,3,0,N,2,0,10
17,2,6,1,2,0,N,2,0,4
69,8,1,1,2,0,5,2,7,4
34,1,3,1,3,0,N,2,1,5
19,1,6,1,3,1,N,2,2,7
41,8,6,2,3,0,N,2,2,7
20,1,6,2,3,0,N,2,0,7
89,1,3,2,1,0,N,2,2,5
24,6,6,2,1,0,N,2,2,5
21,1,6,1,3,0,N,2,4,8
31,8,6,1,1,0,N,2,1,8
18,1,6,2,1,0,N,2,1,5
27,1,6,2,3,2,N,2,2,9
88,1,3,2,1,1,N,1,2,9
18,1,6,2,3,2,N,2,1,5
83,1,6,2,3,1,N,2,1,7
62,1,4,2,1,0,N,2,1,8
21,1,6,2,1,0,N,2,1,7
19,1,6,2,1,0,N,2,1,7
18,1,6,1,3,0,N,2,1,5
89,1,6,2,2,0,N,2,4,5
85,1,2,2,2,0,N,2,0,5
52,1,6,2,3,0,N,2,7,9
94,1,3,2,1,0,N,2,2,5
77,1,6,2,3,0,N,2,1,1
27,1,2,1,1,0,N,2,0,9
88,1,4,2,1,0,N,2,2,7
21,1,6,2,3,0,N,2,1,7
71,1,4,1,2,0,N,2,2,8
94,1,3,2,1,0,N,2,0,10
94,1,3,1,2,0,N,2,3,7
70,1,6,2,3,0,N,2,2,4
51,2,4,2,2,1,N,2,1,5
25,1,6,1,1,0,N,2,7,9
19,1,6,1,3,0,N,2,0,7
19,6,6,1,3,0,N,2,0,5
78,1,3,2,2,0,N,2,1,10
72,1,4,1,1,0,N,2,3,8
30,8,6,1,2,0,N,2,0,8
20,1,6,1,1,1,N,2,1,7
18,1,6,2,3,0,N,2,0,5
40,1,1,1,3,1,N,2,3,1
56,1,6,1,1,0,N,2,3,6
21,1,6,1,3,1,2,2,1,7
19,2,6,2,3,0,N,2,1,7
19,1,6,2,3,0,N,2,2,7
22,1,6,2,3,0,N,2,2,7
21,2,6,1,1,0,N,2,N,9
19,1,6,2,3,1,N,2,2,5
20,2,6,1,1,0,2,2,2,3
49,1,4,2,3,1,N,2,N,7
82,1,6,2,1,1,N,2,0,5
28,2,6,1,1,0,N,2,5,7
94,1,1,2,1,1,N,2,0,5
57,1,2,2,2,1,N,1,3,9
20,1,6,1,3,0,N,2,3,7
21,1,2,2,3,0,N,2,0,5
22,1,6,1,1,0,N,2,2,5
86,1,3,2,1,0,N,2,1,9
20,1,6,2,3,2,N,2,1,7
20,1,1,2,1,1,N,2,3,7
19,1,6,2,3,0,N,2,3,7
63,1,2,1,2,0,N,2,3,7
56,1,6,1,1,1,N,1,2,1
52,9,6,1,1,0,N,2,2,7
19,1,6,2,3,0,N,2,5,7
61,1,4,1,2,0,N,1,1,7
69,1,6,2,3,1,N,2,0,10
60,1,6,1,3,1,N,2,8,1
84,1,6,2,3,1,N,2,0,3
21,1,6,1,3,0,N,2,2,5
21,6,6,1,3,0,N,2,3,7
20,1,6,2,3,1,N,2,1,7
87,6,3,2,2,0,N,2,0,3
21,1,6,1,3,2,N,2,2,7
19,1,6,1,1,0,N,2,1,5
20,1,6,1,3,0,N,2,1,7
21,1,6,1,1,1,N,2,1,7
84,1,3,2,2,0,N,2,0,3
19,1,6,2,3,1,N,2,1,7
70,1,6,2,2,0,N,2,6,7
18,1,6,1,1,1,2,2,2,7
88,1,6,2,2,1,N,2,0,9
18,1,6,2,3,0,N,2,1,5
94,1,1,2,2,1,N,2,2,3
34,1,6,1,1,2,N,2,1,4
21,1,6,2,3,0,N,2,0,8
63,1,6,1,1,2,N,2,0,4
85,1,2,1,2,0,N,2,2,7
29,1,6,1,1,0,N,2,3,1
21,1,6,2,1,0,N,2,2,5
63,1,6,1,3,0,N,2,N,4
67,1,3,2,2,2,N,1,2,5
18,1,6,2,3,0,N,2,0,7
27,2,2,1,2,2,N,2,8,6
29,1,6,1,2,0,N,2,0,6
94,1,6,2,3,0,N,2,0,9
20,1,1,2,3,0,N,2,1,7
17,2,6,1,1,1,N,2,0,4
19,1,6,2,3,0,N,2,1,7
19,2,6,1,3,1,4,2,0,7
