,AGEP,SEX,MSP,RAC1P,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE,DVET,DEYE
AGEP,1.1102230246251565e-16,0.055522336979922725,-0.354062063103566,0.05100901432829147,-0.012745664112564087,0.018094191224127337,-0.42698064376805644,-0.46573925060164856,-0.08890792028465541,0.18240653688682473
SEX,0.055522336979922725,-6.5503158452884236e-15,-0.019822529654988943,-0.009503939198351966,0.014460258417151074,-0.013976819751051094,-0.004295139166650027,0.05625679075619257,0.0758121011234798,0.004289002537376752
MSP,-0.354062063103566,-0.019822529654988943,-1.887379141862766e-15,0.11609585524233738,-0.10859627323730126,0.10571665389570366,-0.29051888610207965,-0.294005049958762,0.020318384095743103,0.02334980426367251
RAC1P,0.05100901432829147,-0.009503939198351966,0.11609585524233738,-5.773159728050814e-15,0.039428876518843095,0.007267806240568012,0.09323782149057329,0.06263384554549525,0.04029821478172869,-0.048888354625827427
HOUSING_TYPE,-0.012745664112564087,0.014460258417151074,-0.10859627323730126,0.039428876518843095,1.6653345369377348e-15,0.339364932558388,0.024426260261688898,0.0390341212748363,0.04794025359032211,-0.02445660126187353
OWN_RENT,0.018094191224127337,-0.013976819751051094,0.10571665389570366,0.007267806240568012,0.339364932558388,2.220446049250313e-16,0.018862211954550016,0.012424686118907492,0.011388260380304856,-0.00672228115341638
EDU,-0.42698064376805644,-0.004295139166650027,-0.29051888610207965,0.09323782149057329,0.024426260261688898,0.018862211954550016,-1.4432899320127035e-15,-0.6352831509759235,-0.028735065324900763,0.006790307349351571
PINCP_DECILE,-0.46573925060164856,0.05625679075619257,-0.294005049958762,0.06263384554549525,0.0390341212748363,0.012424686118907492,-0.6352831509759235,0.0,-0.08685998215562397,-0.011358768552673825
DVET,-0.08890792028465541,0.0758121011234798,0.020318384095743103,0.04029821478172869,0.04794025359032211,0.011388260380304856,-0.028735065324900763,-0.08685998215562397,-5.551115123125783e-15,0.018064338381686314
DEYE,0.18240653688682473,0.004289002537376752,0.02334980426367251,-0.048888354625827427,-0.02445660126187353,-0.00672228115341638,0.006790307349351571,-0.011358768552673825,0.018064338381686314,2.55351295663786e-15
