,AGEP_x,HISP,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,9,2,3,0,N,2,1,358,36-03710,2,1,50,4,6,6,161,0.0
1,48,0,2,2,2,1,0,7,19-01700,2,2,77,0,2,3,216,20.0
2,11,4,1,0,2,2,9,33,36-04010,1,2,26,0,2,5,265,40.0
3,45,4,1,0,N,1,6,52,24-01004,2,2,37,1,3,7,344,0.0
4,56,1,6,0,2,2,2,0,32-00405,9,2,15,1,2,0,72,20.0
5,47,0,5,0,N,2,0,445,19-01700,6,1,54,0,N,9,501,40.0
6,45,1,4,0,2,2,8,400,51-01301,1,1,42,0,N,8,501,40.0
7,55,4,3,0,9,1,6,38,32-00405,2,2,70,0,2,1,195,20.0
8,66,0,1,0,3,1,7,408,06-08507,8,2,48,2,4,8,501,0.0
9,50,0,1,0,N,2,6,312,29-01901,9,2,35,1,3,1,501,0.0
10,28,2,4,2,3,1,0,109,36-03710,2,2,69,0,N,3,101,0.0
11,17,1,6,0,4,1,0,269,30-00600,3,2,35,0,6,1,199,20.0
12,64,4,1,0,12,1,9,53,51-51255,6,1,36,0,2,3,501,20.0
13,30,4,6,0,9,2,0,368,24-01004,8,1,33,1,2,2,48,0.0
14,6,0,6,0,2,1,0,452,08-00803,9,1,15,3,4,1,28,0.0
15,57,1,3,2,6,1,0,31,17-03529,1,2,71,0,2,6,501,0.0
16,8,4,6,N,N,0,0,210,36-03710,8,2,41,N,N,1,6,40.0
17,53,0,2,0,2,1,8,462,19-01700,6,1,56,1,6,5,390,0.0
18,53,3,6,0,9,2,7,142,36-04010,2,2,30,1,2,2,37,0.0
19,88,0,2,0,2,2,3,354,36-04010,6,2,39,1,2,4,130,20.0
20,54,2,5,0,2,1,5,214,36-03710,1,2,54,0,N,7,467,40.0
21,16,1,6,0,N,0,1,488,06-08507,1,1,56,N,N,0,N,20.0
22,31,0,N,0,4,2,0,482,32-00405,3,1,3,5,6,N,71,0.0
23,25,2,6,0,2,2,1,435,26-02702,1,2,26,0,N,5,237,20.0
