,AGEP_x,DEYE_x,HISP,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,DEYE_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,7,2,1,N,4,6,2,N,306,48-02102,2,2,10,2,2,5,N,393,33.33333333333333
1,33,2,1,1,0,2,1,1,63,48-02101,9,2,37,2,1,3,2,280,16.666666666666664
2,47,2,0,4,0,N,2,2,131,48-02510,6,1,48,2,0,N,9,501,50.0
3,58,2,4,4,2,3,1,7,209,48-02510,1,1,80,2,0,N,6,315,16.666666666666664
4,44,2,0,5,0,N,1,2,263,48-02101,2,2,66,2,0,6,5,185,33.33333333333333
5,65,2,1,1,0,2,1,0,216,48-02510,5,2,52,2,0,2,0,178,66.66666666666666
6,14,2,1,N,0,4,2,N,110,48-02507,2,2,3,2,2,4,N,317,50.0
7,28,2,1,1,0,2,1,6,501,48-02515,6,1,43,2,2,4,8,491,16.666666666666664
8,34,2,2,1,2,3,2,9,501,48-02516,1,2,45,2,0,2,7,501,33.33333333333333
9,0,2,1,6,0,2,1,4,215,48-02510,9,1,21,2,0,3,3,501,33.33333333333333
10,14,2,3,N,3,5,1,N,261,48-02101,1,1,11,2,2,4,N,501,33.33333333333333
11,57,2,4,4,0,N,1,8,501,48-02507,1,1,52,2,0,3,6,412,33.33333333333333
12,39,2,1,N,3,5,2,N,140,48-02510,8,1,4,2,3,5,N,340,66.66666666666666
13,44,2,1,5,0,N,1,2,211,48-02101,8,1,38,2,0,N,5,252,50.0
14,2,2,1,6,4,6,1,3,408,48-02507,9,2,16,2,2,3,0,137,16.666666666666664
15,42,2,4,3,0,3,1,7,437,48-02507,1,2,63,2,0,N,8,501,33.33333333333333
16,18,2,0,3,1,3,1,3,225,48-02510,2,2,61,2,0,N,9,501,16.666666666666664
17,38,2,1,4,0,3,2,7,45,48-02515,1,1,66,2,0,N,7,501,50.0
18,17,2,0,4,0,N,2,4,11,48-02516,2,2,65,2,0,N,6,295,50.0
19,71,2,0,3,0,N,1,3,268,48-02102,9,2,72,2,0,N,5,213,50.0
20,51,2,0,6,0,N,0,0,240,48-02507,1,1,21,2,N,N,2,26,33.33333333333333
21,16,2,0,5,1,3,1,2,335,48-02507,1,1,54,2,0,N,9,501,16.666666666666664
22,76,2,2,1,1,3,1,4,N,48-02101,1,1,59,2,0,2,7,501,16.666666666666664
23,20,2,0,N,0,7,0,N,294,48-02101,1,2,9,2,N,N,N,N,33.33333333333333
24,36,2,1,4,0,2,0,3,92,48-02102,1,1,52,2,N,N,0,N,16.666666666666664
