,AGEP_x,DEYE_x,HISP,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,DEYE_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,50,2,1,1,0,7,1,7,501,25-02800,1,1,69,2,0,2,9,501,50.0
1,55,2,4,4,0,3,2,6,272,25-02800,1,2,48,2,0,3,4,324,50.0
2,25,2,0,4,0,3,1,4,2,25-00503,9,1,50,2,0,N,6,464,33.33333333333333
3,27,2,4,4,0,2,1,4,385,25-02800,1,1,36,2,0,N,6,463,33.33333333333333
4,24,2,4,4,0,6,1,8,17,25-01000,1,1,53,2,1,3,8,501,33.33333333333333
5,39,2,1,6,1,7,2,5,356,25-01000,1,1,19,2,0,2,4,212,16.666666666666664
6,32,2,2,4,0,N,2,6,378,25-00703,1,2,63,2,0,N,4,227,50.0
7,29,2,4,1,0,7,2,2,66,25-01000,1,2,32,2,5,7,2,155,50.0
8,84,2,0,4,0,4,2,5,233,25-00503,2,2,70,2,0,N,4,237,33.33333333333333
9,15,2,0,6,3,6,0,5,213,25-02800,2,1,31,2,N,N,3,137,16.666666666666664
10,55,2,2,1,0,6,1,6,434,25-02800,1,1,42,2,2,4,7,501,16.666666666666664
11,58,2,0,4,5,2,1,7,227,25-02800,2,1,79,2,0,N,2,88,16.666666666666664
12,45,2,0,3,0,3,1,4,118,25-00703,2,2,52,2,0,4,6,478,33.33333333333333
13,50,2,0,3,2,2,2,2,269,25-01300,6,2,80,2,0,N,2,88,33.33333333333333
14,51,2,4,3,0,3,1,6,227,25-01300,1,2,71,2,0,N,7,501,33.33333333333333
15,40,2,4,6,0,4,2,6,331,25-01300,1,2,32,2,1,2,5,219,16.666666666666664
16,5,2,1,N,0,N,1,8,258,25-00703,1,1,10,2,1,3,N,501,16.666666666666664
17,43,2,0,4,2,2,2,9,437,25-01300,6,1,52,2,1,2,9,501,50.0
18,80,2,2,6,0,2,1,1,326,25-00703,2,1,26,2,0,2,0,378,50.0
19,69,1,0,1,1,5,1,8,118,25-01300,9,2,53,2,0,3,7,501,0.0
20,54,2,4,N,0,2,1,4,421,25-01300,1,2,12,2,0,2,N,222,50.0
21,19,2,0,6,0,3,2,0,302,25-01300,8,1,22,2,0,2,3,260,33.33333333333333
22,26,2,0,6,0,5,1,3,251,25-00503,8,1,49,2,0,N,6,369,33.33333333333333
23,17,2,1,1,0,9,1,1,305,25-00503,1,2,35,2,0,2,7,501,33.33333333333333
24,53,2,3,6,0,2,2,3,71,25-00503,1,1,16,2,2,4,1,501,16.666666666666664
25,2,2,0,1,0,5,1,3,360,25-02800,9,1,72,2,0,2,2,501,33.33333333333333
26,51,2,0,6,0,4,0,7,129,25-01000,6,1,66,2,N,N,0,N,16.666666666666664
27,62,2,0,4,1,2,1,3,424,25-00703,9,2,35,2,1,2,0,0,50.0
28,1,2,0,4,0,3,2,2,373,25-00503,6,2,59,2,0,2,6,501,33.33333333333333
29,63,2,0,5,0,4,2,5,269,25-00503,1,1,46,2,2,3,9,501,16.666666666666664
30,78,2,1,6,0,5,2,2,449,25-00703,1,1,17,2,3,5,0,176,33.33333333333333
31,62,2,0,2,0,N,1,3,103,25-01300,6,1,46,2,0,N,9,501,50.0
32,24,2,1,1,0,N,2,8,311,25-00703,1,2,37,2,3,5,4,176,16.666666666666664
33,19,2,4,3,0,2,1,1,400,25-00703,1,2,35,2,3,4,5,204,16.666666666666664
34,7,2,2,6,2,N,2,8,318,25-01000,1,2,26,2,0,N,4,206,33.33333333333333
35,39,2,0,1,0,3,2,3,389,25-00503,9,2,20,2,1,3,2,178,33.33333333333333
36,51,2,0,2,2,N,1,8,193,25-02800,6,2,37,2,0,2,0,0,16.666666666666664
37,90,2,2,4,0,4,2,5,350,25-00703,1,1,56,2,0,2,2,123,33.33333333333333
38,65,2,4,1,0,5,2,3,159,25-00503,1,1,38,2,2,4,8,501,16.666666666666664
39,38,2,0,1,0,4,1,6,286,25-00503,9,1,64,2,0,2,1,501,33.33333333333333
40,54,2,4,6,0,2,1,1,487,25-02800,1,1,29,2,0,3,7,501,33.33333333333333
41,41,2,0,6,3,5,2,2,304,25-00503,2,1,25,2,1,3,7,373,16.666666666666664
42,42,2,0,4,0,4,1,1,412,25-00703,2,1,31,2,0,3,7,501,33.33333333333333
43,53,2,3,6,2,7,1,6,379,25-01300,1,1,18,2,0,3,1,501,16.666666666666664
44,11,2,0,1,0,N,2,0,0,25-01300,2,2,30,2,1,4,3,501,16.666666666666664
45,29,2,0,3,0,2,2,5,18,25-01000,3,2,75,2,0,2,3,101,50.0
46,31,2,0,4,0,4,2,8,371,25-00703,8,2,51,2,0,2,2,60,33.33333333333333
47,21,2,0,5,0,N,2,3,384,25-02800,6,1,36,2,0,N,9,501,50.0
48,76,2,2,6,0,2,2,3,342,25-00703,1,2,43,2,0,4,5,397,33.33333333333333
49,78,2,0,5,0,2,1,N,480,25-02800,6,2,53,2,2,7,5,501,16.666666666666664
