,INDP,count_target,count_deidentified
34,1070,4,0.0
32,1090,2,0.0
49,1170,3,0.0
36,1180,6,2.0
1,1190,2,1.0
11,1270,7,0.0
18,1280,10,0.0
20,1370,8,0.0
50,1480,1,0.0
37,1670,2,0.0
5,1691,4,0.0
46,1790,1,0.0
33,1870,5,0.0
41,1880,2,0.0
7,1890,2,0.0
0,1990,10,7.0
40,2070,1,1.0
4,2190,9,0.0
47,2280,2,0.0
16,2290,6,0.0
31,2370,5,2.0
27,2380,3,0.0
42,2390,2,0.0
44,2480,1,4.0
26,2490,1,1.0
43,2670,2,0.0
45,2770,1,0.0
22,2870,2,0.0
48,2880,1,0.0
35,2890,3,0.0
39,2970,1,0.0
29,2980,2,0.0
12,3095,3,0.0
25,3170,1,0.0
23,3180,1,0.0
38,3291,7,0.0
17,3365,2,0.0
10,3370,2,1.0
14,3380,7,0.0
9,3390,5,14.0
3,3490,7,8.0
24,3570,14,12.0
2,3580,12,1.0
21,3590,2,0.0
19,3690,1,0.0
28,3875,5,0.0
13,3895,3,3.0
8,3960,8,1.0
15,3970,3,0.0
6,3980,8,0.0
30,3990,9,0.0
