,feature,divergence
13,PINCP,10.364164940905388
1,AGEP,4.724371774102399
14,PINCP_DECILE,2.9482294284312642
10,DENSITY,2.3855855855855856
11,INDP_CAT,2.048095889445111
12,EDU,1.1812098046353599
7,NPF,1.0781129624068004
3,MSP,0.5989230231466256
6,NOC,0.5210925900931301
15,POVPIP,0.3447189528635457
0,PUMA,0.13126496408619304
18,DPHY,0.09536121462372191
17,DREM,0.088626499922494
9,OWN_RENT,0.054628137610929196
4,HISP,0.03243487585174973
5,RAC1P,0.02834773849633051
20,DEAR,0.026579197074432806
2,SEX,0.023496297122946763
8,HOUSING_TYPE,0.021239433301569147
16,DVET,0.011746818405465886
19,DEYE,0.004790666352747271
