,INDP,count_target,count_deidentified
28,1080,2,0.0
39,1090,1,0.0
21,1170,2,0.0
7,1190,8,0.0
6,1280,2,0.0
3,1370,3,0.0
12,1480,2,0.0
26,1570,1,0.0
34,1770,1,0.0
37,1790,1,0.0
25,1870,1,0.0
35,1880,1,0.0
19,1990,9,0.0
27,2180,1,0.0
4,2190,17,0.0
2,2290,6,0.0
18,2370,3,0.0
36,2480,1,0.0
15,2490,1,1.0
9,2570,1,1.0
40,2790,1,0.0
22,2870,4,0.0
16,2880,6,2.0
20,2970,1,0.0
5,2980,3,0.0
38,3080,1,0.0
10,3291,5,0.0
31,3370,2,0.0
11,3380,16,0.0
14,3390,33,0.0
13,3470,1,0.0
29,3490,5,0.0
30,3570,1,1.0
1,3580,12,0.0
23,3680,1,0.0
33,3875,2,0.0
24,3895,4,0.0
8,3960,11,0.0
32,3970,1,0.0
0,3980,7,0.0
17,3990,3,0.0
