,feature,divergence
1,AGEP,13.310663333739786
23,WGTP,11.656191320371816
22,PWGTP,10.664391243394801
11,INDP,4.6480836901683125
12,INDP_CAT,3.6236784058899807
14,PINCP,3.606198051657878
15,PINCP_DECILE,2.6884439694112556
16,POVPIP,2.6268516409168385
13,EDU,1.8571978511304548
10,DENSITY,1.830975194316733
7,NPF,1.1565901861638088
3,MSP,0.9440162701668033
9,OWN_RENT,0.6945884961117174
6,NOC,0.30441841726725805
2,SEX,0.19081563159018022
5,RAC1P,0.17706299671916675
17,DVET,0.17570250154231926
4,HISP,0.12867796589591518
0,PUMA,0.09607817690916487
8,HOUSING_TYPE,0.0603683073572444
21,DEAR,0.04912201931686523
20,DEYE,0.04090979210309218
19,DPHY,0.008731641270655392
18,DREM,0.00851714913868249
