,INDP,count_target,count_deidentified
12,4670,25,9.0
22,4680,3,2.0
6,4690,9,3.0
18,4770,14,7.0
33,4780,3,3.0
20,4795,24,12.0
15,4870,27,11.0
16,4880,7,4.0
31,4890,4,2.0
5,4971,79,33.0
27,4972,7,2.0
25,4980,11,4.0
10,4990,11,5.0
13,5070,32,10.0
7,5080,15,4.0
30,5090,9,7.0
1,5170,48,24.0
14,5180,6,2.0
8,5190,10,4.0
3,5275,18,7.0
29,5295,4,1.0
4,5370,5,2.0
24,5381,10,3.0
11,5391,16,6.0
32,5470,2,1.0
23,5480,7,4.0
2,5490,9,5.0
21,5570,8,3.0
17,5580,15,8.0
9,5593,26,8.0
26,5670,3,1.0
28,5680,6,3.0
19,5690,1,0.0
0,5790,19,11.0
