,AGEP_x,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,AGEP_y,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
0,91,N,5,1,4,1,2,6,2,37,N,1,5,50.0
1,46,N,9,3,6,0,4,2,1,28,N,3,7,50.0
2,67,N,3,1,1,2,4,1,1,34,N,1,7,50.0
3,60,N,12,1,1,1,5,2,1,73,N,1,9,50.0
4,49,N,12,1,1,1,7,8,2,48,N,1,3,50.0
5,84,N,5,1,6,2,7,2,1,19,N,1,3,50.0
6,40,N,1,1,1,1,5,6,1,46,N,1,5,75.0
7,67,N,7,2,3,0,9,1,1,94,2,2,3,25.0
8,20,N,5,1,6,2,1,9,2,40,N,1,4,50.0
9,38,N,7,1,5,1,0,1,2,71,N,1,7,50.0
10,68,N,8,1,1,1,4,2,1,60,N,1,5,50.0
11,12,N,3,1,3,2,N,1,1,67,N,1,1,50.0
12,0,N,N,1,N,2,N,8,1,1,N,1,N,75.0
13,32,N,12,1,1,1,7,9,1,64,N,1,1,50.0
14,0,N,11,2,3,0,N,1,2,94,N,2,3,50.0
15,11,N,3,1,1,1,N,6,2,76,N,1,4,50.0
16,16,N,4,2,6,0,1,8,1,47,N,2,2,50.0
17,0,N,N,1,N,2,N,9,1,0,N,1,N,100.0
18,50,N,12,1,2,1,6,1,1,69,N,1,9,50.0
19,94,N,11,1,3,1,4,1,1,94,2,1,6,50.0
20,24,N,10,1,3,1,4,6,2,63,N,1,4,75.0
21,9,N,4,1,N,2,N,1,1,14,N,1,N,75.0
22,57,N,8,1,1,2,2,6,2,52,N,1,4,50.0
23,49,N,5,1,1,2,2,8,1,62,N,1,7,50.0
24,53,N,10,1,6,1,4,2,2,27,N,1,6,50.0
25,8,N,3,1,4,2,7,1,1,56,N,1,2,50.0
26,21,N,7,1,6,1,1,8,2,21,N,1,1,100.0
27,39,N,9,1,5,2,9,1,1,50,N,1,9,75.0
28,35,N,6,1,1,1,9,6,1,51,N,1,5,50.0
29,21,N,7,1,6,2,2,8,1,27,N,1,6,50.0
30,26,N,12,1,6,2,3,6,1,41,N,1,9,50.0
31,37,N,5,1,1,2,1,6,2,72,N,1,1,75.0
32,60,N,7,1,4,2,5,2,1,57,N,1,5,75.0
33,18,N,7,1,6,2,1,9,2,20,N,1,2,50.0
34,91,N,5,1,4,1,8,6,1,34,N,1,8,75.0
35,57,N,8,1,4,1,7,2,2,54,N,1,6,50.0
36,30,N,4,1,2,1,1,6,2,17,N,1,0,50.0
37,18,N,5,3,6,0,1,9,1,18,N,3,9,75.0
38,71,N,8,1,6,2,6,6,1,32,N,1,6,75.0
39,38,N,10,3,6,0,8,6,2,26,N,3,5,50.0
40,8,N,3,1,4,1,N,6,2,63,N,1,3,50.0
41,74,N,10,1,6,2,4,6,2,28,N,1,9,50.0
42,65,N,4,3,2,0,9,1,1,67,N,2,4,25.0
43,44,N,12,1,4,1,8,2,2,73,N,1,9,50.0
44,39,N,9,1,6,2,0,9,1,23,N,1,7,50.0
45,45,N,12,1,6,1,6,6,2,45,N,1,9,75.0
46,86,N,3,1,6,1,2,9,1,15,N,1,1,50.0
47,39,N,11,1,1,2,9,6,2,46,N,1,9,75.0
48,54,N,11,1,2,1,1,1,1,39,N,1,7,50.0
49,23,N,9,1,6,2,5,6,1,26,N,1,7,50.0
50,52,N,9,3,6,0,2,2,2,67,N,2,1,25.0
