,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,PWGTP_x,RAC1P,SEX,WGTP_x,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,PWGTP_y,WGTP_y,percent_match
0,72,2,7,2,2,2,N,3,0,1,N,4,0,N,2,4,132,01-01301,90,2,2,91,53,2,7,2,1,2,N,1,0,N,2,71,47,47,57.14285714285714
1,51,2,7,2,2,2,N,9,0,1,6,6,0,5,2,2,115,01-01301,128,2,2,74,51,2,7,2,2,2,N,1,0,2,8,473,99,100,64.28571428571429
2,45,2,7,2,2,2,N,4,0,1,3,1,0,3,1,8,440,01-01301,142,1,1,137,55,1,7,1,2,2,N,1,0,3,3,76,41,41,50.0
3,63,2,7,2,2,2,N,12,0,1,11,1,0,2,1,3,206,01-01301,105,2,2,115,48,2,7,2,2,2,4,1,0,2,8,501,107,107,57.14285714285714
4,18,2,7,2,2,2,N,7,0,1,13,6,0,4,1,0,171,01-01301,173,2,2,137,27,2,7,2,2,2,N,1,0,2,3,188,176,61,57.14285714285714
5,75,2,7,2,2,2,N,10,0,1,11,4,0,N,1,7,176,01-01301,89,2,2,89,59,2,7,2,2,2,N,1,0,2,8,358,38,38,57.14285714285714
6,59,2,7,2,2,2,N,7,0,1,3,4,0,2,1,7,501,01-01301,328,2,2,288,61,2,7,2,2,2,N,1,0,2,4,188,62,61,64.28571428571429
7,12,2,7,2,2,2,N,3,0,1,N,N,0,2,1,N,113,01-01301,74,9,2,58,14,2,7,2,2,2,N,1,0,3,N,254,282,199,64.28571428571429
8,40,2,7,2,2,2,N,5,0,1,15,6,2,3,1,3,85,01-01301,348,2,1,234,54,2,7,1,2,2,N,1,0,N,7,356,259,260,42.857142857142854
9,28,2,7,2,2,2,N,7,0,3,N,2,N,N,0,0,0,01-01301,91,1,2,0,28,2,7,2,2,2,N,3,N,N,0,0,95,0,92.85714285714286
10,68,2,7,2,1,2,N,3,0,1,N,6,0,N,2,4,129,01-01301,228,2,1,228,15,2,7,2,2,1,N,1,2,5,0,500,396,265,35.714285714285715
11,74,2,7,2,2,2,N,5,0,1,N,1,0,2,1,4,278,01-01301,137,1,1,113,74,2,7,2,1,2,N,1,0,2,5,452,37,41,64.28571428571429
12,46,2,7,2,2,2,N,5,0,1,4,1,3,6,2,9,266,01-01301,115,2,1,105,27,2,7,2,2,2,N,1,3,6,8,197,177,177,64.28571428571429
13,43,2,7,2,1,2,N,5,0,1,7,6,0,3,1,1,19,01-01301,324,2,1,109,21,2,7,2,2,2,N,1,2,6,2,222,129,104,42.857142857142854
14,83,1,7,1,1,2,N,1,0,1,N,6,0,2,1,5,202,01-01301,145,2,1,140,25,2,7,2,2,1,N,1,0,3,0,314,124,66,28.57142857142857
15,21,2,7,2,2,2,N,7,0,1,14,6,0,5,1,1,501,01-01301,273,2,2,161,22,2,7,2,2,2,N,1,0,2,2,197,136,74,57.14285714285714
16,70,2,7,2,2,2,N,5,0,1,14,1,0,2,1,4,222,01-01301,70,2,2,90,59,2,7,2,2,2,N,1,0,3,6,207,79,80,57.14285714285714
17,56,2,7,2,2,2,N,7,0,1,6,4,0,N,1,6,326,01-01301,65,2,2,65,62,2,7,2,1,2,N,1,0,N,3,93,55,55,57.14285714285714
18,34,2,7,2,2,2,N,5,0,1,4,5,0,2,2,7,254,01-01301,145,2,2,170,47,2,7,2,2,2,N,1,0,N,7,351,47,47,64.28571428571429
19,53,2,7,2,2,2,N,8,0,1,12,4,0,2,2,3,216,01-01301,342,2,2,157,56,2,7,2,1,2,N,1,0,N,3,92,59,59,57.14285714285714
20,75,2,7,2,1,2,2,6,0,1,N,4,0,3,1,3,239,01-01301,179,2,1,179,60,2,7,2,1,1,N,1,0,2,4,166,91,120,42.857142857142854
21,45,2,7,2,1,1,N,4,0,1,N,4,0,4,1,2,49,01-01301,203,2,2,224,79,2,7,2,2,2,N,1,0,2,2,166,120,120,50.0
22,38,2,7,2,2,2,N,9,0,1,N,1,0,2,1,0,465,01-01301,74,1,2,70,70,2,7,2,2,2,N,1,0,2,7,452,41,41,64.28571428571429
23,60,2,7,2,2,2,N,5,0,1,6,6,0,3,1,1,21,01-01301,149,2,1,82,26,2,7,2,2,2,N,1,0,3,2,263,96,56,64.28571428571429
24,50,2,7,2,1,2,N,5,0,2,N,3,N,N,0,0,N,01-01301,19,2,1,0,79,2,7,2,1,2,N,2,N,N,5,N,15,0,78.57142857142857
25,13,2,7,2,2,2,N,3,1,1,N,N,1,4,2,N,115,01-01301,54,1,2,43,8,2,7,2,2,2,N,1,2,4,N,6,51,31,64.28571428571429
26,65,2,7,2,2,2,N,5,0,1,4,4,0,4,1,6,501,01-01301,133,2,1,138,56,2,7,2,2,2,N,1,0,N,5,175,101,101,57.14285714285714
27,22,2,7,2,2,1,N,7,0,1,11,6,0,N,1,2,78,01-01301,77,2,2,52,65,2,7,2,2,2,N,1,0,2,1,105,141,140,50.0
28,48,2,7,2,2,2,N,9,0,1,12,1,2,7,1,4,115,01-01301,85,2,2,81,48,2,7,2,2,2,N,1,2,4,7,278,116,116,64.28571428571429
29,17,2,7,2,2,2,N,4,0,1,N,6,3,6,1,0,238,01-01301,137,1,2,140,68,2,7,2,1,2,N,1,0,3,4,169,115,108,42.857142857142854
30,48,2,7,2,2,2,N,4,0,1,4,6,0,N,1,2,68,01-01301,58,2,1,59,44,2,7,2,2,2,N,1,1,2,7,372,68,60,50.0
31,76,2,7,2,2,2,N,5,0,1,12,1,0,2,2,5,197,01-01301,151,2,2,152,26,2,7,2,2,2,N,1,3,6,3,197,228,177,57.14285714285714
32,57,2,7,2,2,2,N,10,0,1,11,3,0,4,1,5,422,01-01301,60,2,2,60,81,2,7,2,1,2,N,1,0,N,1,31,94,94,50.0
33,31,2,7,2,2,2,N,9,0,1,8,1,0,3,1,6,331,01-01301,39,2,2,38,53,2,7,2,1,2,N,1,0,2,1,35,97,71,50.0
34,77,1,7,2,2,2,N,5,0,1,13,1,0,2,1,2,59,01-01301,60,2,2,60,62,2,7,1,1,2,N,1,0,2,3,228,72,76,42.857142857142854
35,54,2,7,2,2,2,N,5,0,1,5,1,0,2,2,8,501,01-01301,146,2,1,157,49,2,7,2,2,2,N,1,0,2,5,219,665,665,64.28571428571429
36,14,2,7,2,2,2,N,4,0,1,N,N,0,6,2,N,86,01-01301,386,2,2,173,14,2,7,2,2,2,N,1,4,5,N,3,85,70,64.28571428571429
37,46,2,7,2,1,2,5,7,0,1,10,6,0,3,1,3,191,01-01301,54,2,1,47,44,2,7,2,2,2,N,1,0,3,4,247,54,42,57.14285714285714
38,36,2,7,2,2,2,N,5,0,1,9,1,1,3,1,1,263,01-01301,216,2,1,213,74,2,7,2,2,2,5,1,0,2,8,495,34,33,42.857142857142854
39,28,2,7,2,2,2,N,4,0,1,14,6,0,3,2,4,157,01-01301,64,2,1,49,17,2,7,2,2,2,N,1,0,6,2,392,248,200,57.14285714285714
40,42,2,7,2,2,2,N,9,0,1,10,1,1,3,1,8,501,01-01301,132,2,1,128,57,2,7,2,2,2,N,1,0,3,8,501,49,49,71.42857142857143
41,4,2,7,2,N,N,N,1,0,1,N,N,0,4,1,N,501,01-01301,70,2,1,57,8,2,7,2,2,1,N,1,0,5,N,120,64,50,50.0
42,34,2,7,2,2,2,N,5,0,1,7,6,0,3,2,8,501,01-01301,122,2,1,89,51,2,7,2,1,2,N,1,0,2,2,154,138,132,50.0
43,77,2,7,2,1,1,N,9,0,1,N,1,0,3,1,2,342,01-01301,98,2,1,79,75,2,7,2,2,2,3,1,0,2,8,501,62,83,35.714285714285715
44,76,2,7,2,1,2,N,3,0,1,N,1,0,4,2,2,122,01-01301,70,2,2,75,52,2,7,2,2,2,N,1,0,2,0,178,136,135,50.0
45,51,2,7,2,2,1,N,4,0,1,4,6,0,N,2,3,97,01-01301,133,2,1,132,44,2,7,2,2,2,N,1,0,3,2,61,150,150,50.0
46,52,2,7,2,2,2,N,5,0,1,13,3,0,N,2,3,83,01-01301,181,2,2,181,70,2,7,2,2,1,N,1,0,N,3,101,124,123,64.28571428571429
47,1,2,12,2,N,N,N,N,0,1,N,N,2,4,2,N,116,06-07502,66,6,1,76,2,2,12,2,N,N,N,1,1,3,N,501,62,56,57.14285714285714
48,58,2,12,2,2,2,N,9,0,1,N,1,0,2,2,0,0,06-07502,127,6,2,114,34,2,12,2,2,2,N,1,0,2,0,415,80,81,71.42857142857143
49,29,2,12,2,2,2,N,9,0,1,4,6,0,N,2,5,190,06-07502,137,2,1,136,23,2,12,2,2,2,N,1,0,N,8,501,51,37,64.28571428571429
50,19,2,7,2,2,2,N,7,0,1,N,6,1,2,1,0,355,06-08507,51,1,2,42,59,2,7,2,1,2,N,1,0,3,4,322,79,54,42.857142857142854
51,20,2,12,2,2,2,N,10,0,1,12,6,0,N,2,6,294,06-07502,40,6,2,49,46,2,12,2,2,2,N,1,0,N,8,501,39,39,64.28571428571429
52,51,2,7,2,2,2,N,7,0,1,10,1,0,4,2,3,501,06-08507,119,1,2,95,28,2,7,2,2,2,N,1,0,2,5,501,150,122,64.28571428571429
53,51,2,7,2,2,2,N,12,0,1,12,1,1,3,1,9,501,06-08507,114,1,1,104,47,2,7,2,2,2,N,1,2,4,9,501,50,58,64.28571428571429
54,39,2,12,2,2,2,N,7,0,1,8,6,0,N,2,6,381,06-07502,314,1,1,314,52,2,12,2,2,2,N,1,0,N,1,2,163,164,64.28571428571429
55,56,2,12,2,2,2,N,9,0,1,5,1,0,2,2,7,501,06-07502,89,1,2,80,65,2,12,2,2,2,N,1,0,2,7,501,93,92,78.57142857142857
56,24,2,7,2,2,2,N,9,0,1,10,6,0,2,2,4,322,06-08507,144,6,1,114,31,2,7,2,2,2,N,1,0,N,9,501,167,129,57.14285714285714
57,15,2,7,2,2,2,N,4,0,1,14,6,0,5,1,1,501,06-08507,66,6,2,37,17,2,7,2,2,2,N,1,3,5,2,501,95,90,64.28571428571429
58,32,2,7,2,2,2,N,10,0,1,10,6,2,4,1,8,501,06-08507,68,1,2,58,52,2,7,2,2,2,N,1,3,4,9,501,55,55,64.28571428571429
59,80,2,12,2,2,2,N,1,0,1,N,1,0,2,1,0,501,06-07502,77,6,2,72,86,2,12,2,2,2,N,1,0,3,2,501,123,131,64.28571428571429
60,82,1,12,2,1,1,N,5,0,3,N,3,N,N,0,0,N,06-07502,84,6,2,0,94,2,12,2,2,2,N,2,N,N,2,N,45,0,50.0
61,61,2,7,2,2,2,N,10,0,1,10,4,1,3,1,9,501,06-08507,108,1,1,128,76,2,7,2,2,2,N,1,0,N,9,501,280,280,64.28571428571429
62,29,2,12,2,2,2,N,9,0,1,11,6,0,N,2,7,377,06-07502,69,1,1,65,26,2,12,2,2,2,N,1,0,N,7,480,81,81,71.42857142857143
63,16,2,7,2,2,2,N,4,0,1,11,6,5,7,1,1,501,06-08507,100,6,2,82,17,2,7,2,2,2,N,1,2,6,2,501,42,39,57.14285714285714
