SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,AGEP,HOUSING_TYPE,DVET,DEYE,target
1,6,1,1,6,8,44,1,N,2,3751
2,1,1,1,4,7,33,1,N,2,5571
2,1,1,1,3,4,85,1,N,2,4580
2,1,6,1,2,3,42,1,N,2,4031
2,1,1,1,9,10,74,1,N,2,3474
1,2,1,1,1,5,17,1,N,2,5036
2,1,1,1,8,11,68,1,N,2,4041
2,N,1,2,N,3,10,1,N,2,6968
2,N,1,2,9,1,2,1,N,2,7225
2,6,1,1,8,7,37,1,N,2,2994
2,1,1,1,3,7,61,1,N,2,6222
2,1,1,1,0,8,54,1,N,2,3389
2,6,1,1,6,10,27,1,N,2,4427
1,N,1,1,9,2,8,1,N,2,6939
2,6,1,2,4,1,71,1,N,2,458
1,1,1,1,5,4,47,1,N,2,510
2,6,1,0,0,6,19,3,N,2,128
2,1,1,1,0,4,63,1,N,2,6258
2,6,1,2,4,9,39,1,N,2,6074
1,N,1,1,N,N,4,1,N,2,6910
2,N,1,1,9,2,9,1,N,2,7405
1,4,1,2,8,8,61,1,N,2,5764
2,5,1,1,8,10,70,1,N,2,3954
2,6,2,1,9,9,45,1,N,2,5983
1,1,1,1,6,7,58,1,N,2,984
1,1,1,1,7,8,67,1,N,2,5013
1,6,1,1,3,6,54,1,N,2,1234
1,N,1,1,N,N,2,1,N,2,7457
1,6,1,2,7,4,21,1,N,2,3229
1,6,1,1,1,4,19,1,N,2,2795
2,6,1,1,3,5,36,1,N,2,2353
2,6,1,1,0,4,17,1,N,2,6071
2,1,1,2,0,1,55,1,N,2,3071
1,6,1,1,8,9,39,1,N,2,4985
1,6,1,0,1,7,26,3,N,2,413
1,1,1,1,8,9,42,1,N,2,5115
1,4,1,1,6,5,44,1,N,2,4804
2,4,1,1,1,7,66,1,N,1,4845
1,N,6,1,9,1,4,1,N,2,7122
1,1,1,2,6,7,28,1,N,2,5262
2,6,1,1,0,1,30,1,N,2,2090
1,1,1,2,5,4,42,1,N,2,3249
1,1,8,1,7,5,53,1,N,2,5861
2,6,1,0,0,5,87,2,N,2,723
2,1,1,1,2,8,58,1,N,2,5124
1,1,1,1,2,7,83,1,N,2,5042
1,1,1,1,8,8,53,1,N,2,1270
2,1,6,1,9,9,48,1,N,2,1215
1,1,1,1,8,8,36,1,N,2,2104
2,4,1,1,3,9,65,1,N,2,2990
2,1,1,1,1,8,67,1,N,2,4060
2,3,1,1,5,3,92,1,N,1,3678
1,N,1,1,9,9,0,1,N,2,7521
2,1,1,1,1,8,32,1,N,2,650
2,1,1,1,3,8,46,1,N,2,1260
2,1,1,1,7,7,88,1,N,2,1317
1,1,1,1,4,7,68,1,N,2,4622
1,1,1,1,7,8,28,1,N,2,1672
2,1,1,1,7,1,70,1,N,2,3413
1,6,1,1,1,9,28,1,N,2,1999
1,2,1,2,9,10,60,1,N,2,1254
2,3,1,1,9,9,74,1,N,2,1294
1,4,2,2,4,6,55,1,N,2,4896
1,6,1,1,1,4,18,1,N,2,1139
1,1,1,1,8,8,52,1,N,2,1192
1,1,6,1,9,10,47,1,N,2,3254
1,1,1,1,7,8,41,1,N,2,6333
2,1,1,1,7,9,35,1,N,2,876
1,1,1,1,3,6,66,1,N,2,5865
2,6,1,1,2,10,24,1,N,2,832
2,N,1,1,9,2,8,1,N,2,7414
2,1,1,1,7,8,35,1,N,2,2999
1,N,1,1,9,12,2,1,N,2,7270
1,6,1,2,3,7,30,1,N,2,5264
2,6,1,2,4,5,86,1,N,2,5836
1,6,2,0,1,6,17,3,N,2,198
2,1,1,1,7,11,74,1,N,2,2104
2,6,2,2,3,8,31,1,N,2,1023
2,6,1,1,1,6,14,1,N,2,1302
1,1,1,2,9,6,42,1,N,2,1266
1,1,1,1,9,9,60,1,N,2,2524
2,3,1,2,1,5,66,1,N,2,3308
1,6,1,1,8,1,44,1,N,2,405
1,6,6,2,5,4,56,1,N,2,5525
2,6,1,1,2,4,18,1,N,2,4580
1,1,1,1,6,10,35,1,N,2,2245
2,1,1,1,0,11,67,1,N,2,4671
1,1,1,2,8,10,52,1,N,2,547
1,1,1,1,5,6,68,1,N,2,4411
2,N,1,1,N,3,15,1,N,2,7158
2,6,1,1,5,9,35,1,N,2,2975
1,1,1,2,8,8,57,1,N,2,4903
1,6,1,2,2,5,25,1,N,2,1023
1,6,2,1,0,4,23,1,N,2,6049
2,3,1,2,3,1,88,1,N,2,2486
2,1,6,1,6,11,30,1,N,2,1220
1,6,1,2,1,5,51,1,N,2,4424
2,3,1,0,0,8,81,2,N,2,142
1,1,1,1,7,5,65,1,N,2,6546
1,6,1,0,1,6,18,3,N,2,0
2,1,2,2,3,7,27,1,N,2,5026
1,6,1,1,0,4,16,1,N,2,2183
1,1,1,1,9,9,61,1,N,2,6091
2,N,6,2,9,2,11,1,N,2,7301
1,1,1,2,6,4,30,1,N,2,1175
2,1,1,1,4,5,76,1,N,2,4690
2,1,1,1,7,9,50,1,N,2,4659
1,1,1,1,8,9,39,1,N,2,4615
2,3,1,1,3,6,68,1,N,2,1405
2,N,6,1,9,9,0,1,N,2,7266
1,1,1,1,8,8,43,1,N,2,2819
