SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP_CAT,target
1,6,1,1,6,8,0,25-00703,13,3817
2,1,1,1,3,6,0,25-02800,2,5228
2,1,1,1,4,5,0,25-00703,N,4665
2,1,6,1,2,3,0,25-01300,6,3794
2,1,1,1,8,1,0,25-00703,10,2880
1,2,1,1,0,4,0,25-01300,12,4787
2,1,1,1,8,11,0,25-00703,16,3980
2,N,1,2,N,3,4,25-00703,N,6848
2,N,1,2,9,1,0,25-00703,9,7338
2,6,1,1,7,6,0,25-02800,8,2548
2,1,1,1,2,6,0,25-00703,1,5896
2,1,1,1,0,8,0,25-00703,9,3714
2,6,1,1,6,10,0,25-02800,10,4826
1,N,1,1,9,2,0,25-01300,9,7028
2,6,1,2,5,10,0,25-00703,N,557
1,1,1,1,6,5,0,25-01000,11,862
2,6,1,0,0,6,0,25-00703,14,0
2,1,1,1,0,4,0,25-02800,1,5937
2,6,1,2,3,8,0,25-00703,11,5604
1,N,1,1,9,9,0,25-01300,9,6445
2,N,1,1,9,2,0,25-00503,9,7431
1,4,1,2,8,8,0,25-00703,14,5950
2,5,1,1,8,10,0,25-00703,11,3755
2,6,2,1,9,9,0,25-01300,9,6673
1,1,1,1,6,7,0,25-00703,16,1070
1,1,1,1,6,7,0,25-01300,3,4708
1,6,1,1,2,5,0,25-00503,13,1065
1,N,1,1,N,N,0,25-01300,N,7246
1,6,1,2,7,4,0,25-01000,14,3557
1,6,1,1,1,4,0,25-02800,13,2789
2,6,1,1,3,5,0,25-00703,6,2896
2,6,1,1,0,3,0,25-01000,9,5768
2,1,1,2,0,10,0,25-00503,N,3830
1,6,1,1,8,9,0,25-02800,6,4800
1,6,1,0,0,6,0,25-00503,5,126
1,1,1,1,8,9,0,25-00503,3,5021
1,4,1,1,5,4,0,25-01000,2,4161
2,4,1,1,1,7,0,25-00703,N,4832
1,N,6,1,9,1,0,25-00503,9,7087
1,1,1,2,5,6,0,25-00503,16,4929
2,6,1,1,0,1,0,25-00703,10,2594
1,1,1,2,5,4,0,25-00703,6,2593
1,1,8,1,7,5,0,25-01000,7,5404
2,6,1,0,0,5,0,25-02800,N,567
2,1,1,1,2,8,0,25-00503,14,5175
1,1,1,1,3,8,0,25-02800,N,5360
1,1,1,1,9,9,0,25-00703,9,2314
2,1,6,1,8,8,0,25-00503,11,715
1,1,1,1,8,8,0,25-01300,5,2071
2,4,1,1,3,9,0,25-00703,11,2909
2,1,1,1,1,8,0,25-01300,9,4196
2,3,1,1,4,2,0,25-01000,9,3082
1,N,1,1,9,9,0,25-01300,9,7525
2,1,1,1,1,8,0,25-00703,13,694
2,1,1,1,4,9,0,25-00703,13,1968
2,1,1,1,6,6,0,25-02800,9,1115
1,1,1,1,5,8,0,25-00703,N,5228
