SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP,target
1,6,1,1,7,0,25-00703,56,2,3,51,4969
2,1,1,1,3,0,25-02800,29,2,5,306,5278
2,1,1,1,3,0,25-00703,84,0,2,500,4488
2,1,6,1,2,0,25-01300,39,0,4,461,3719
2,1,1,1,8,0,25-00703,69,0,2,500,3001
1,2,1,1,0,0,25-01300,13,0,3,499,4437
2,1,1,1,7,0,25-00703,55,0,3,499,2864
2,N,1,2,9,4,25-00703,6,2,3,495,6595
2,N,1,2,9,0,25-00703,3,4,6,293,7293
2,6,1,1,7,0,25-02800,35,1,2,500,2711
2,1,1,1,3,0,25-00703,59,0,2,501,6105
2,1,1,1,0,0,25-00703,64,0,2,501,4231
2,6,1,1,5,0,25-02800,26,0,N,400,4330
1,N,1,1,9,0,25-01300,9,2,4,500,6986
2,6,1,2,5,0,25-00703,79,0,2,51,837
1,1,1,1,5,0,25-01000,50,0,2,500,621
2,6,1,0,0,0,25-00703,19,N,N,99,147
2,1,1,1,0,0,25-02800,59,0,2,19,6000
2,6,1,2,4,0,25-00703,40,0,N,210,6158
1,N,1,1,9,0,25-01300,0,2,5,280,6424
2,N,1,1,9,0,25-00503,8,1,3,500,7342
1,4,1,2,8,0,25-00703,64,0,N,500,6013
2,5,1,1,7,0,25-00703,62,0,2,500,3214
2,6,2,1,9,0,25-01300,47,0,N,501,6135
1,1,1,1,6,0,25-00703,58,0,2,494,998
1,1,1,1,7,0,25-01300,66,0,3,501,4892
1,6,1,1,3,0,25-00503,57,0,2,2,1354
1,N,1,1,9,0,25-01300,0,1,3,500,7058
1,6,1,2,7,0,25-01000,28,0,N,500,3852
1,6,1,1,1,0,25-02800,17,0,3,499,2530
2,6,1,1,2,0,25-00703,25,0,5,450,1400
2,6,1,1,0,0,25-01000,14,2,4,500,5738
2,1,1,2,0,0,25-00503,68,0,2,296,4288
1,6,1,1,8,0,25-02800,33,0,N,501,4384
1,6,1,0,0,0,25-00503,21,N,N,99,124
1,1,1,1,7,0,25-00503,38,1,3,500,4698
1,4,1,1,5,0,25-01000,41,2,3,228,4473
2,4,1,1,0,0,25-00703,62,0,2,17,4461
1,N,6,1,N,0,25-00503,5,3,5,363,7247
1,1,1,2,6,0,25-00503,30,2,4,253,5458
2,6,1,1,0,0,25-00703,35,0,3,500,2666
1,1,1,2,6,0,25-00703,45,1,4,501,3594
1,1,8,1,7,0,25-01000,49,2,4,298,5562
2,6,1,0,0,0,25-02800,86,N,N,N,648
2,1,1,1,2,0,25-00503,59,0,2,501,5220
1,1,1,1,2,0,25-02800,81,0,2,445,4878
1,1,1,1,9,0,25-00703,59,0,4,501,1694
2,1,6,1,8,0,25-00503,43,2,4,500,947
1,1,1,1,9,0,25-01300,40,2,4,501,2580
2,4,1,1,3,0,25-00703,63,0,N,172,2806
2,1,1,1,1,0,25-01300,66,0,2,211,3967
2,3,1,1,5,0,25-01000,91,0,N,326,3639
1,N,1,1,N,0,25-01300,2,1,3,501,7633
2,1,1,1,2,0,25-00703,38,0,6,300,976
2,1,1,1,4,0,25-00703,54,1,3,501,1872
2,1,1,1,6,0,25-02800,84,0,2,500,1031
1,1,1,1,5,0,25-00703,75,0,2,467,5314
1,1,1,1,8,0,25-00503,33,1,3,501,2035
2,1,1,1,8,0,25-02800,76,0,2,501,3956
1,6,1,1,1,0,25-00503,28,1,4,501,2013
1,2,1,2,9,0,25-00503,60,0,N,501,1216
2,3,1,1,9,0,25-00703,69,0,N,51,1067
1,4,2,2,4,4,25-00703,54,0,N,249,4762
1,6,1,1,1,0,25-01300,19,2,4,224,1212
1,1,1,1,9,0,25-01000,56,3,5,483,1547
1,1,6,1,8,0,25-01300,37,2,4,499,2238
1,1,1,1,6,0,25-01300,39,0,2,500,6130
2,1,1,1,6,0,25-01300,29,0,2,499,537
1,1,1,1,3,0,25-00503,73,0,2,371,6375
2,6,1,1,2,0,25-01300,23,0,3,501,783
2,N,1,1,9,0,25-01000,7,2,4,500,7359
2,1,1,1,8,0,25-01000,42,2,4,501,3729
1,N,1,1,N,0,25-00703,6,4,6,25,7560
1,6,1,2,3,0,25-00703,30,0,3,3,5248
2,6,1,2,3,0,25-01000,81,0,N,227,5426
1,6,2,0,2,0,25-00703,21,N,N,N,453
2,1,1,1,7,0,25-00703,64,0,2,498,1389
2,6,2,2,2,4,25-00703,27,2,3,0,842
2,6,1,1,1,4,25-01300,20,0,2,500,1962
1,1,1,2,8,0,25-00503,33,0,2,500,852
1,1,1,1,8,0,25-02800,58,0,4,500,2296
2,3,1,2,1,0,25-00703,67,0,N,83,3434
1,6,1,1,9,0,25-00503,46,0,N,501,505
1,6,6,2,4,0,25-00703,51,0,4,380,5129
2,6,1,1,2,0,25-01300,19,1,3,501,4599
1,1,1,1,5,0,25-00503,30,1,3,500,1847
2,1,1,1,0,0,25-00703,58,0,2,500,3820
1,1,1,2,9,0,25-00703,58,0,2,501,831
1,1,1,1,5,0,25-01300,69,0,2,437,4536
2,N,1,1,N,0,25-00703,15,1,4,433,7197
2,6,1,1,5,0,25-02800,33,0,4,38,2809
1,1,1,2,8,0,25-00703,54,0,2,499,4571
1,6,1,2,1,0,25-00503,23,0,3,110,925
1,6,2,1,0,0,25-01000,18,2,5,501,5520
2,3,1,2,3,0,25-01000,88,0,N,160,2489
2,1,6,1,7,0,25-01000,33,0,2,501,1403
1,6,1,2,2,0,25-02800,56,0,N,96,4936
2,3,1,0,0,0,25-01300,85,N,N,N,320
1,1,1,1,7,0,25-01300,62,0,3,501,6381
1,6,1,0,1,0,25-00703,17,N,N,95,0
2,1,2,2,4,0,25-01000,30,1,3,233,5283
1,6,1,1,0,0,25-01300,16,2,5,484,2172
1,1,1,1,8,0,25-01300,49,1,4,499,5139
2,N,6,2,9,0,25-00503,9,2,4,444,7207
1,1,1,2,7,0,25-02800,40,0,2,501,2023
2,1,1,1,3,0,25-01000,67,0,3,499,3896
2,1,1,1,7,0,25-01000,49,2,4,501,4592
1,1,1,1,8,0,25-00703,37,3,5,501,4389
2,3,1,1,3,0,25-00503,68,0,N,193,1397
2,N,6,1,N,0,25-02800,1,4,6,501,7402
1,1,1,1,9,0,25-02800,51,1,3,501,3704
1,1,1,1,8,0,25-00703,49,0,3,500,6222
1,1,1,1,3,0,25-01000,71,0,2,381,5270
1,6,1,1,2,0,25-00703,22,1,4,51,2689
2,3,1,1,3,0,25-00703,88,0,N,180,6542
2,1,1,1,0,0,25-00703,72,0,2,500,2719
2,N,6,2,9,0,25-00503,7,2,5,371,6706
2,6,1,2,0,0,25-02800,27,3,4,172,4307
1,N,1,1,9,0,25-00703,3,2,4,268,6713
1,6,6,2,5,0,25-00703,54,0,4,398,5374
1,1,1,1,7,0,25-02800,33,0,2,500,5410
2,6,1,1,8,0,25-01300,41,1,2,501,4101
1,N,1,1,N,0,25-02800,3,3,5,501,7393
2,1,1,1,8,0,25-02800,33,2,4,500,4741
1,4,1,1,6,0,25-00703,82,0,N,497,3491
1,6,1,1,0,0,25-01300,63,0,N,216,4455
1,6,1,0,1,0,25-00503,16,N,N,96,42
2,1,1,2,2,0,25-00703,72,0,2,199,1663
2,6,6,1,2,0,25-02800,24,0,3,501,5231
