,feature,divergence
1,AGEP,3.1823270389552807
10,DENSITY,2.117383187944105
13,PINCP,1.965601675041522
15,POVPIP,0.3591045226725768
0,PUMA,0.236818184749523
12,EDU,0.12336206916626505
14,PINCP_DECILE,0.11696081336224223
11,INDP_CAT,0.09222652155863902
7,NPF,0.07077803010179157
3,MSP,0.033259065759339033
5,RAC1P,0.026256900897862905
6,NOC,0.025215796045702923
4,HISP,0.009998287086349048
16,DVET,0.008007804692786037
17,DREM,0.00672708773213828
8,HOUSING_TYPE,0.004186775927717826
9,OWN_RENT,0.003357871628106357
19,DEYE,0.0019303421217029791
18,DPHY,0.001883277428727577
2,SEX,0.0016628452553670847
20,DEAR,0.000118350249717597
