,feature,divergence
23,WGTP,4.089165166516652
14,PINCP,3.6449049375484814
22,PWGTP,3.023504273504272
1,AGEP,2.7397243713733075
11,INDP,1.8940095398428733
13,EDU,1.8412759812264687
15,PINCP_DECILE,1.444966571155683
0,PUMA,0.9127364686283618
7,NPF,0.752426781714096
12,INDP_CAT,0.7159307298495348
16,POVPIP,0.5679739814548668
3,MSP,0.34425849669752107
10,DENSITY,0.3004503067484663
6,NOC,0.20341033273171558
5,RAC1P,0.09379239973436689
18,DREM,0.08506708428112371
19,DPHY,0.07880141709641034
9,OWN_RENT,0.06883784792163118
2,SEX,0.035993267588359634
8,HOUSING_TYPE,0.023032591096362555
4,HISP,0.021634965527286852
21,DEAR,0.020909718982196953
20,DEYE,0.019537452155621783
17,DVET,0.012024048096192385
